Rank,Year,Artist,Song1,Chart_Year
99,1964,Terry Stafford,Suspicion,1995
100,1964,The Shangri-Las,Leader Of The Pack,1995
51,1959,The Skyliners,Tomorrow,1995
52,1964,Roy Orbison And The Candy Men,Yo Te Amo Maria,1995
53,1969,Frank Sinatra,Blue Lace,1995
54,1959,Bobby Darin,Bullmoose,1995
55,1961,Del Shannon,Jody,1995
56,1960,The Capris [New York],Indian Girl,1995
57,1961,The Marcels,Goodbye To Love,1995
58,1956,Elvis Presley,Don't Be Cruel,1995
59,1956,The Channels,Now You Know (I Love You So),1995
60,1969,Elvis Presley,You'll Think Of Me,1995
61,1957,The Diamonds,Faithful And True,1995
62,1958,Chuck Berry,Around And Around,1995
63,1957,The Dell-Vikings,Don't Be A Fool,1995
64,1963,The Beatles,I Saw Her Standing There,1995
65,1961,Ben E. King,On The Horizon,1995
66,1957,Danny And The Juniors,Sometimes (When I'm All Alone),1995
67,1960,Elvis Presley With The Jordanaires,I Gotta Know,1995
68,1959,Percy Faith And His Orchestra,Go-Go-Po-Go,1995
69,1962,The Earls,Let's Waddle,1995
70,1958,The Platters,No Matter What You Are,1995
71,1960,Bobby Darin,That's The Way Love Is,1995
72,1957,Johnny Mathis,The Twelfth Of Never,1995
73,1959,Dion And The Belmonts,I've Cried Before,1995
74,1957,The Chantels,Come My Little Baby,1995
75,1956,Fats Domino,Honey Chile,1995
76,1957,The Rays,Daddy Cool,1995
77,1958,Little Anthony And The Imperials,Two People In The World,1995
78,1959,The Isley Brothers,Shout - Part 2,1995
79,1959,Dion And The Belmonts,That's My Desire,1995
80,1968,The Vogues,I Keep It Hid,1995
81,1967,The Doors,The Crystal Ship,1995
82,1966,Percy Sledge,Love Me Like You Mean It,1995
83,1963,Lesley Gore,Danny,1995
84,1961,Roy Orbison,Candy Man,1995
85,1957,Billy Ward And His Dominoes,Lucinda,1995
86,1966,The Beach Boys,Let's Go Away For Awhile,1995
87,1957,Johnny Mathis,The Twelfth Of Never,1995
88,1970,The Beatles,You Know My Name (Look Up My Number),1995
89,1958,Ritchie Valens,La Bamba,1995
90,1960,The Drifters,Nobody But Me,1995
91,1966,The Association,Don't Blame It On Me,1995
92,1972,Led Zeppelin,Stairway To Heaven [Stereo],1995
93,1957,Elvis Presley With The Jordanaires,(Let Me Be Your) Teddy Bear,1995
94,1971,John Lennon / Plastic Ono Band,It's So Hard,1995
95,1958,The Platters,Out Of My Mind,1995
96,1954,The Cadillacs,I Wonder Why,1995
97,1959,Phil Phillips With The Twilights,Juella,1995
98,1965,The Beatles,I'm Down,1995
99,1964,Terry Stafford,Judy,1995
100,1964,The Shangri-Las,What Is Love,1995
101,1958,Jerry Butler And The Impressions,For Your Precious Love,1995
102,1962,The Duprees,My Own True Love,1995
103,1965,Mel Carter,"Hold Me, Thrill Me, Kiss Me",1995
104,1959,The Dubs,Chapel Of Dreams,1995
105,1967,Frankie Valli,Can't Take My Eyes Off You,1995
106,1970,Simon And Garfunkel,Bridge Over Troubled Water,1995
107,1962,The Shirelles,Soldier Boy,1995
108,1980,Frank Sinatra,"Theme From New York, New York",1995
109,1959,The Drifters,There Goes My Baby,1995
110,1966,The Beatles,Run For Your Life,1995
111,1979,Bob Seger And The Silver Bullet Band,Old Time Rock & RollBob Seger,1995
112,1957,Paul Anka,Diana,1995
113,1963,The Beach Boys,Surfer Girl,1995
114,1961,Gene Chandler,Duke Of Earl,1995
115,1960,Rosie And The Originals,Angel Baby,1995
116,1962,The Drifters,Up On The Roof,1995
117,1962,Elvis Presley With The Jordanaires,Return To Sender,1995
118,1958,Tommy Edwards,It's All In The Game,1995
119,1961,Shep And The Limelites,Daddy's Home,1995
120,1968,Richard Harris,Mac Arthur Park,1995
121,1964,The 4 Seasons,Dawn (Go Away),1995
122,1958,Frankie Ford,Sea Cruise,1995
123,1958,Ritchie Valens,Donna,1995
124,1957,Elvis Presley,All Shook Up,1995
125,1972,Elvis Presley,Burning Love,1995
126,1958,The Students,I'm So Young,1995
127,1963,The Tymes,So Much In Love,1995
128,1956,Frankie Lymon And The Teenagers,The A.B.C's Of Love,1995
129,1972,The Moody Blues,Nights In White Satin,1995
130,1961,The Jive Five,My True Story,1995
131,1960,The Passions,I Only Want You,1995
132,1964,The Beatles,She Loves You,1995
133,1964,The Dixie Cups,Chapel Of Love,1995
134,1956,The Dells,Oh What A Nite,1995
135,1960,The Demensions,Over The Rainbow,1995
136,1958,Jackie Wilson,Lonely Teardrops,1995
137,1956,Elvis Presley,Heartbreak Hotel,1995
138,1963,The Duprees,Have You Heard,1995
139,1957,Norman Fox And The Rob-Roys,Tell Me WhyThe Rob-Roys,1995
140,1959,Frankie Avalon,Venus,1995
141,1965,Sonny And Cher,I Got You Babe,1995
142,1964,The Animals,The House Of The Rising Sun,1995
143,1963,Randy And The Rainbows,Denise,1995
144,1957,Bobby Helms,My Special Angel,1995
145,1956,Elvis Presley,"I Want You, I Need You, I Love You",1995
146,1963,The Earls,Eyes,1995
147,1972,Harry Chapin,Taxi,1995
148,1967,Aretha Franklin,Respect,1995
149,1975,The Four Seasons,"December, 1963 (Oh, What A Night)",1995
150,1957,Buddy Holly,Peggy Sue,1995
101,1958,Jerry Butler And The Impressions,Sweet Was The Wine,1995
102,1962,The Duprees,Ginny,1995
103,1965,Mel Carter,A Sweet Little Girl,1995
104,1959,The Dubs,Is There A Love For Me,1995
105,1967,Frankie Valli,The Trouble With Me,1995
106,1970,Simon And Garfunkel,Keep The Customer Satisfied,1995
107,1962,The Shirelles,Love Is A Swingin' Thing,1995
108,1980,Frank Sinatra,That's What God Looks Like To Me,1995
109,1959,The Drifters,Oh My Love,1995
110,1966,The Beatles,In My Life,1995
111,1979,Bob Seger And The Silver Bullet Band,Sunspot Baby,1995
112,1957,Paul Anka,Don't Gamble With Love,1995
113,1963,The Beach Boys,Little Deuce Coupe,1995
114,1961,Gene Chandler,Kissin' In The Kitchen,1995
115,1960,Rosie And The Originals,Give Me Love,1995
116,1962,The Drifters,Another Night With The Boys,1995
117,1962,Elvis Presley With The Jordanaires,Where Do You Come From,1995
118,1958,Tommy Edwards,Please Love Me Forever,1995
119,1961,Shep And The Limelites,This I Know,1995
120,1968,Richard Harris,Didn't We,1995
121,1964,The 4 Seasons,No Surfin' Today,1995
122,1958,Frankie Ford,Roberta,1995
123,1958,Ritchie Valens,La Bamba,1995
124,1957,Elvis Presley,That's When Your Heartaches Begin,1995
125,1972,Elvis Presley,It's A Matter Of Time,1995
126,1958,The Students,Every Day Of The Week,1995
127,1963,The Tymes,Roscoe James McClain,1995
128,1956,Frankie Lymon And The Teenagers,Share,1995
129,1972,The Moody Blues,Cities,1995
130,1961,The Jive Five,When I Was Single,1995
131,1960,The Passions,This Is My Love,1995
132,1964,The Beatles,I'll Get You,1995
133,1964,The Dixie Cups,Ain't That Nice,1995
134,1956,The Dells,Jo-Jo,1995
135,1960,The Demensions,Nursery Rhime Rock,1995
136,1958,Jackie Wilson,In The Blue Of Evening,1995
137,1956,Elvis Presley,I Was The One,1995
138,1963,The Duprees,Love Eyes,1995
139,1957,Norman Fox And The Rob-Roys,Audry,1995
140,1959,Frankie Avalon,I'm Broke,1995
141,1965,Sonny And Cher,It's Gonna Rain,1995
142,1964,The Animals,Talkin' 'Bout You,1995
143,1963,Randy And The Rainbows,Come Back,1995
144,1957,Bobby Helms,Standing At The End Of My World,1995
145,1956,Elvis Presley,My Baby Left Me,1995
146,1963,The Earls,Look My Way,1995
147,1972,Harry Chapin,Empty,1995
148,1967,Aretha Franklin,Dr. Feelgood,1995
149,1975,The Four Seasons,Slip Away,1995
150,1957,Buddy Holly,Everyday,1995
151,1960,Safaris,Image Of A Girl,1995
152,1957,Jerry Lee Lewis And His Pumping Piano,Great Balls Of Fire,1995
153,1965,The Mama's And The Papa's,California Dreamin',1995
