Rank,Year,Artist,Song1,Chart_Year
99,1960,Fats Domino,My Girl Josephine,1981
100,1961,The Marcels,Blue Moon,1981
51,1958,Dion And The Belmonts,Teen Angel,1981
52,1958,Chuck Berry,Around And Around,1981
53,1955,The Platters,"Bark, Battle And Ball",1981
54,1964,The Righteous Brothers,There's A Woman,1981
55,1963,Earls,Don't Forget,1981
56,1965,Simon And Garfunkel,We've Got A Groovey Thing Goin',1981
57,1963,The Duprees,Love Eyes,1981
58,1963,The Ronettes,Tedesco And Pitman,1981
59,1977,Billy Joel,Get It Right The First Time,1981
60,1968,Jay And The Americans,Since I Don't Have You,1981
61,1959,The Skyliners,Tomorrow,1981
62,1961,The Angels,A Moment Ago,1981
63,1954,The Cadillacs,I Wonder Why,1981
64,1972,Led Zeppelin,Stairway To Heaven [Stereo],1981
65,1957,The Five Satins,Wish I Had My Baby,1981
66,1959,The Flamingos,Goodnight Sweetheart,1981
67,1956,Elvis Presley,I Was The One,1981
68,1957,Danny And The Juniors,Sometimes (When I'm All Alone),1981
69,1977,Debby Boone,Hasta Mañana,1981
70,1956,Elvis Presley,Don't Be Cruel,1981
71,1956,The Channels,Now You Know (I Love You So),1981
72,1957,The Diamonds,Faithful And True,1981
73,1980,Kenny Rogers,Sweet Music Man,1981
74,1971,Chicago,Colour My World,1981
75,1959,Dion And The Belmonts,That's My Desire,1981
76,1964,The Temptations,(Talking 'Bout) Nobody But My Baby,1981
77,1966,The Beach Boys,Let's Go Away For Awhile,1981
78,1960,Elvis Presley With The Jordanaires,A Mess Of Blues,1981
79,1958,The Platters,No Matter What You Are,1981
80,1961,Chubby Checker,Twistin' U.S.A.,1981
81,1975,The Four Seasons,Slip Away,1981
82,1969,Elvis Presley,Charro,1981
83,1958,Ritchie Valens,La Bamba,1981
84,1962,The Drifters,Another Night With The Boys,1981
85,1956,Elvis Presley,My Baby Left Me,1981
86,1975,Bruce Springsteen,Meeting Across The River,1981
87,1973,Barbra Streisand,What Are You Doing The Rest Of Your Life?,1981
88,1954,The Moonglows,Tempting,1981
89,1972,Harry Chapin,Empty,1981
90,1966,The Association,Don't Blame It On Me,1981
91,1957,Fats Domino,I'm In The Mood For Love,1981
92,1964,The Supremes,Ask Any Girl,1981
93,1957,Elvis Presley,That's When Your Heartaches Begin,1981
94,1964,Barbra Streisand,People,1981
95,1956,Fats Domino,Don't Blame It On Me,1981
96,1961,Gene Chandler,Kissin' In The Kitchen,1981
97,1970,The Beatles,You Know My Name (Look Up My Number),1981
98,1955,The Nutmegs,Make Me Lose My Mind,1981
99,1960,Fats Domino,Natural Born Lover,1981
100,1961,The Marcels,Goodbye To Love,1981
101,1959,Percy Faith And His Orchestra,"The Theme From ""A Summer Place""",1981
102,1964,The Beatles,She Loves You,1981
103,1962,Vito And The Salutations,Gloria,1981
104,1963,Randy And The Rainbows,Denise,1981
105,1966,The 4 Seasons,Opus 17 (Don't You Worry 'Bout Me),1981
106,1959,The Passions,Just To Be With You,1981
107,1962,The Earls,Remember Then,1981
108,1960,The Jesters [doowop],The Wind,1981
109,1961,Fats Domino,Let The Four Winds Blow,1981
110,1957,Paul Anka,Diana,1981
111,1966,The Happenings,See You In September,1981
112,1960,The Shirelles,Will You Love Me Tomorrow,1981
113,1964,The Dave Clark Five,Because,1981
114,1957,Johnny Mathis,Chances Are,1981
115,1961,The Tokens,The Lion Sleeps Tonight,1981
116,1967,Frankie Valli,Can't Take My Eyes Off You,1981
117,1960,The Capris [New York],There's A Moon Out Tonight,1981
118,1961,Del Shannon,Runaway,1981
119,1958,The Platters,Twilight Time,1981
120,1962,The Excellents,Coney Island Baby,1981
121,1957,The Crickets,That'll Be The Day,1981
122,1964,Petula Clark,Downtown,1981
123,1976,Barbra Streisand,"Love Theme From ""A Star Is Born"" (Evergreen)",1981
124,1968,Elvis Presley,If I Can Dream,1981
125,1963,Beach Boys,Surfin' U.S.A.,1981
126,1962,The Shirelles,Soldier Boy,1981
127,1978,Barry Manilow,Even Now,1981
128,1956,The Heartbeats [Doo Wop],A Thousand Miles Away,1981
129,1973,Billy Joel,Piano Man,1981
130,1964,The Drifters,Under The Boardwalk,1981
131,1954,Johnny Ace,Pledging My Love,1981
132,1959,The Dubs,Chapel Of Dreams,1981
133,1970,The Beatles,The Long And Winding Road,1981
134,1980,John Lennon,(Just Like) Starting OverYoko Ono,1981
135,1974,Barry Manilow,Mandy,1981
136,1963,Lesley Gore,It's My Party,1981
137,1953,The Harp-Tones,A Sunday Kind Of Love,1981
138,1969,Elvis Presley,In The Ghetto,1981
139,1965,The 4 Seasons,Let's Hang On!,1981
140,1960,"The Chimes [60s, Brooklyn]",Once In Awhile,1981
141,1957,The Paragons [Doo-Wop],Florence,1981
142,1959,Paul Anka,Put Your Head On My Shoulder,1981
143,1959,Frankie Avalon,Venus,1981
144,1964,The Beatles,And I Love Her,1981
145,1961,The Cleftones,Heart And Soul,1981
146,1958,The Videos,"Trickle, Trickle",1981
147,1965,The Beatles,Help!,1981
148,1957,Johnny Mathis,Chances Are,1981
149,1954,The Chords [New York],Sh-boom,1981
150,1968,Richard Harris,Mac Arthur Park,1981
101,1959,Percy Faith And His Orchestra,Go-Go-Po-Go,1981
102,1964,The Beatles,I'll Get You,1981
103,1962,Vito And The Salutations,Let's Untwist The Twist,1981
104,1963,Randy And The Rainbows,Come Back,1981
105,1966,The 4 Seasons,Beggars' Parade,1981
106,1959,The Passions,Oh Melancholy Me,1981
107,1962,The Earls,Let's Waddle,1981
108,1960,The Jesters [doowop],Sally Green,1981
109,1961,Fats Domino,Good Hearted Man,1981
110,1957,Paul Anka,Don't Gamble With Love,1981
111,1966,The Happenings,He Thinks He's A Hero,1981
112,1960,The Shirelles,Boys,1981
113,1964,The Dave Clark Five,Theme Without A Name,1981
114,1957,Johnny Mathis,The Twelfth Of Never,1981
115,1961,The Tokens,Tina,1981
116,1967,Frankie Valli,The Trouble With Me,1981
117,1960,The Capris [New York],Indian Girl,1981
118,1961,Del Shannon,Jody,1981
119,1958,The Platters,Out Of My Mind,1981
120,1962,The Excellents,You Baby You,1981
121,1957,The Crickets,I'm Lookin' For Someone To Love,1981
122,1964,Petula Clark,You'd Better Love Me,1981
123,1976,Barbra Streisand,I Believe In Love,1981
124,1968,Elvis Presley,Edge Of Reality,1981
125,1963,Beach Boys,Shut Down,1981
126,1962,The Shirelles,Love Is A Swingin' Thing,1981
127,1978,Barry Manilow,I Was A Fool (To Let You Go),1981
128,1956,The Heartbeats [Doo Wop],Oh Baby Don't,1981
129,1973,Billy Joel,You're My Home,1981
130,1964,The Drifters,I Don't Want To Go On Without You,1981
131,1954,Johnny Ace,No Money,1981
132,1959,The Dubs,Is There A Love For Me,1981
133,1970,The Beatles,For You Blue,1981
134,1980,John Lennon,Kiss Kiss Kiss,1981
135,1974,Barry Manilow,Something's Comin' Up,1981
136,1963,Lesley Gore,Danny,1981
137,1953,The Harp-Tones,I'll Never Tell,1981
138,1969,Elvis Presley,Any Day Now,1981
139,1965,The 4 Seasons,On Broadway Tonight,1981
140,1960,"The Chimes [60s, Brooklyn]",Summer Night,1981
141,1957,The Paragons [Doo-Wop],Hey Little School Girl,1981
142,1959,Paul Anka,Don't Ever Leave Me,1981
143,1959,Frankie Avalon,I'm Broke,1981
144,1964,The Beatles,If I Fell,1981
145,1961,The Cleftones,How Do You Feel,1981
146,1958,The Videos,"Moonglow, You Know",1981
147,1965,The Beatles,I'm Down,1981
148,1957,Johnny Mathis,The Twelfth Of Never,1981
149,1954,The Chords [New York],Little Maiden,1981
150,1968,Richard Harris,Didn't We,1981
151,1981,John Lennon,WomanYoko Ono,1981
152,1958,The Aquatones,She's The One For Me,1981
153,1958,Frankie Ford,Sea Cruise,1981
154,1960,The Crests,Step By Step,1981
155,1965,Lou Christie,Lightnin' Strikes,1981
156,1969,The Beatles,Something,1981
157,1957,Elvis Presley With The Jordanaires,Loving You,1981
158,1970,Diana Ross,Ain't No Mountain High Enough,1981
159,1964,Roy Orbison And The Candy Men,Pretty Woman,1981
160,1967,Lulu,The Boat That I Row,1981
161,1959,Bobby Darin,Dream Lover,1981
162,1957,The Chantels,Maybe,1981
163,1967,The Union Gap Featuring Gary Puckett,"Woman, Woman",1981
164,1964,The Animals,The House Of The Rising Sun,1981
165,1963,Paul And Paula,Young Lovers,1981
166,1981,Christopher Cross,Arthur's Theme (Best That You Can Do),1981
167,1962,The Duprees,My Own True Love,1981
168,1957,Buddy Holly,Peggy Sue,1981
169,1971,The Rolling Stones,Brown Sugar,1981
170,1958,Harvey And The Moonglows,Ten Commandments Of Love,1981
171,1957,The Silhouettes,Get A Job,1981
172,1966,The 4 Seasons,I've Got You Under My Skin,1981
173,1965,The Beach Boys,California Girls,1981
174,1972,Elvis Presley,Burning Love,1981
175,1958,The Monotones,Book Of Love,1981
176,1956,Willows,Church Bells May Ring,1981
177,1959,Jan And Dean,Baby Talk,1981
178,1965,Bob Dylan,Like A Rolling Stone,1981
179,1959,Johnny Mathis,Misty,1981
180,1965,The Beach Boys,Barbara Ann,1981
181,1958,Ricky Nelson,Poor Little Fool,1981
182,1958,Elvis Presley,One NightElvis Presley With The Jordanaires,1981
183,1958,Buddy Holly,Rave On,1981
184,1963,Vito And The Salutations,Unchained Melody,1981
185,1980,Barbra Streisand And Barry Gibb,GuiltyBarbra Streisand,1981
186,1972,Roberta Flack,The First Time Ever I Saw Your Face,1981
187,1964,The Beach Boys,"Fun, Fun, Fun",1981
188,1965,The Mama's And The Papa's,California Dreamin',1981
189,1966,The Beatles,Michelle,1981
190,1960,Bobby Darin,Beyond The Sea,1981
191,1958,Conway Twitty,It's Only Make Believe,1981
192,1961,Connie Francis,Where The Boys Are,1981
193,1969,The Archies,"Sugar, Sugar",1981
194,1965,The Beach Boys,"Help Me, Rhonda",1981
195,1960,The Skyliners,Pennies From Heaven,1981
196,1963,Lenny Welch,Since I Fell For You,1981
197,1975,Judy Collins,Send In The Clowns,1981
198,1958,Lee Andrews And The Hearts,Try The Impossible,1981
199,1964,The 4 Seasons,Ronnie,1981
200,1981,Kim Carnes,Bette Davis Eyes,1981
151,1981,John Lennon,Beautiful Boys,1981
152,1958,The Aquatones,You,1981
153,1958,Frankie Ford,Roberta,1981
154,1960,The Crests,Gee (But I'd Give The World),1981
155,1965,Lou Christie,Cryin' In The Streets,1981
156,1969,The Beatles,Come Together,1981
157,1957,Elvis Presley With The Jordanaires,(Let Me Be Your) Teddy Bear,1981
158,1970,Diana Ross,Can't It Wait Until Tomorrow,1981
159,1964,Roy Orbison And The Candy Men,Yo Te Amo Maria,1981
160,1967,Lulu,To Sir With Love,1981
161,1959,Bobby Darin,Bullmoose,1981
162,1957,The Chantels,Come My Little Baby,1981
163,1967,The Union Gap Featuring Gary Puckett,Don't Make Promises,1981
164,1964,The Animals,Talkin' 'Bout You,1981
165,1963,Paul And Paula,Ba-Hey-Be,1981
166,1981,Christopher Cross,Minstrel Gigolo (Edit),1981
167,1962,The Duprees,Ginny,1981
168,1957,Buddy Holly,Everyday,1981
169,1971,The Rolling Stones,Bitch,1981
170,1958,Harvey And The Moonglows,Mean Old Blues,1981
171,1957,The Silhouettes,I Am Lonely,1981
172,1966,The 4 Seasons,Huggin' My Pillow,1981
173,1965,The Beach Boys,Let Him Run Wild,1981
174,1972,Elvis Presley,It's A Matter Of Time,1981
175,1958,The Monotones,You Never Loved Me,1981
176,1956,Willows,Baby Tell Me,1981
177,1959,Jan And Dean,"Jeanette, Get Your Hair Done",1981
178,1965,Bob Dylan,Gates Of Eden,1981
179,1959,Johnny Mathis,The Story Of Our Love,1981
180,1965,The Beach Boys,Girl Don't Tell Me,1981
181,1958,Ricky Nelson,Don't Leave Me This Way,1981
182,1958,Elvis Presley,I Got Stung,1981
183,1958,Buddy Holly,Take Your Time,1981
184,1963,Vito And The Salutations,"Hey, Hey, Baby",1981
185,1980,Barbra Streisand And Barry Gibb,Life Story,1981
186,1972,Roberta Flack,Trade Winds,1981
187,1964,The Beach Boys,Why Do Fools Fall In Love,1981
188,1965,The Mama's And The Papa's,Somebody Groovy,1981
189,1966,The Beatles,Girl,1981
190,1960,Bobby Darin,That's The Way Love Is,1981
191,1958,Conway Twitty,I'll Try,1981
192,1961,Connie Francis,No One,1981
193,1969,The Archies,Melody Hill,1981
194,1965,The Beach Boys,"Kiss Me, Baby",1981
195,1960,The Skyliners,I'll Be Seeing You,1981
196,1963,Lenny Welch,Are You Sincere,1981
197,1975,Judy Collins,Houses,1981
198,1958,Lee Andrews And The Hearts,Nobody's Home,1981
199,1964,The 4 Seasons,Born To Wander,1981
200,1981,Kim Carnes,Miss You Tonite,1981
201,1958,The Fascinators,Chapel Bells,1981
202,1958,Big Bopper,Chantilly Lace,1981
203,1958,The Flamingos,Lovers Never Say Goodbye,1981
204,1964,The Beatles,And I Love Her,1981
205,1962,The 4 Seasons,Big Girls Don't Cry,1981
206,1970,Elton John,Your Song,1981
207,1961,The Lettermen,The Way You Look Tonight,1981
208,1957,Jerry Lee Lewis,Whole Lot Of Shakin' Going On,1981
209,1963,Jan And Dean,Surf City,1981
210,1957,Elvis Presley With The Jordanaires,Loving You,1981
211,1955,Moonglows,Most Of All,1981
212,1961,Shep And The Limelites,Daddy's Home,1981
213,1960,The Shells,Baby Oh Baby,1981
214,1960,The Temptations [Goldisc],Barbara,1981
215,1963,The Angels,My Boyfriend's Back,1981
216,1960,Rosie And The Originals,Angel Baby,1981
217,1971,Bread,If,1981
218,1957,Johnnie And Joe,Over The Mountain Across The Sea,1981
219,1955,Chuck Berry And His Combo,Maybellene,1981
220,1972,The Moody Blues,Nights In White Satin,1981
221,1964,The 4 Seasons,Save It For Me,1981
222,1974,Olivia Newton-John,I Honestly Love You,1981
223,1961,The Jive Five,My True Story,1981
224,1976,Barry Manilow,Weekend In New England,1981
225,1969,The Brooklyn Bridge,Blessed Is The Rain,1981
226,1959,The Knockouts,Darling Lorraine,1981
227,1961,Roy Orbison,Crying,1981
228,1964,The Beatles,All My Loving,1981
229,1959,The Mystics [New York],Hushabye,1981
230,1955,The Harptones,Life Is But A Dream,1981
231,1961,Ricky Nelson,Travelin' Man,1981
232,1965,Barry McGuire,Eve Of Destruction,1981
233,1972,Don McLean,Vincent,1981
234,1973,Dawn Featuring Tony Orlando,Tie A Yellow Ribbon Round The Ole Oak Tree,1981
235,1971,Rod Stewart,Reason To Believe,1981
236,1956,The Schoolboys [DooWop],Shirley,1981
237,1962,Neil Sedaka,Breaking Up Is Hard To Do,1981
238,1968,The Grass Roots,Midnight Confessions,1981
239,1966,The Beach Boys,Wouldn't It Be Nice,1981
240,1958,Bobby Darin,Splish Splash,1981
241,1958,The Students,I'm So Young,1981
242,1962,Freddy Cannon,Palisades Park,1981
243,1981,Sheena Easton,For Your Eyes OnlyBill Conti,1981
244,1958,The Shields,You Cheated,1981
245,1965,Jay And The Americans,Some Enchanted Evening,1981
246,1963,Lesley Gore,You Don't Own Me,1981
247,1980,Christopher Cross,Sailing,1981
248,1977,Bee Gees,Stayin' Alive,1981
249,1979,Commodores,Still,1981
250,1957,The Tune Weavers,"Happy, Happy Birthday BabyPaul Gayten",1981
201,1958,The Fascinators,I Wonder Who,1981
202,1958,Big Bopper,Purple People Eater Meets Witch Doctor,1981
203,1958,The Flamingos,That Love Is You,1981
204,1964,The Beatles,If I Fell,1981
205,1962,The 4 Seasons,Connie-O,1981
206,1970,Elton John,Take Me To The Pilot,1981
207,1961,The Lettermen,That's My Desire,1981
208,1957,Jerry Lee Lewis,It'll Be Me,1981
209,1963,Jan And Dean,She's My Summer Girl,1981
210,1957,Elvis Presley With The Jordanaires,(Let Me Be Your) Teddy Bear,1981
211,1955,Moonglows,She's Gone,1981
212,1961,Shep And The Limelites,This I Know,1981
213,1960,The Shells,What's In An Angel's Eyes,1981
214,1960,The Temptations [Goldisc],Someday,1981
215,1963,The Angels,(Love Me) Now,1981
216,1960,Rosie And The Originals,Give Me Love,1981
217,1971,Bread,Take Comfort,1981
218,1957,Johnnie And Joe,"My Baby's Gone, On, On",1981
219,1955,Chuck Berry And His Combo,Wee Wee Hours,1981
220,1972,The Moody Blues,Cities,1981
221,1964,The 4 Seasons,Funny Face,1981
222,1974,Olivia Newton-John,Home Ain't Home Anymore,1981
223,1961,The Jive Five,When I Was Single,1981
224,1976,Barry Manilow,Say The Words,1981
225,1969,The Brooklyn Bridge,Welcome Me Love,1981
226,1959,The Knockouts,Riot In Room 3C,1981
227,1961,Roy Orbison,Candy Man,1981
228,1964,The Beatles,This Boy,1981
229,1959,The Mystics [New York],Adam And Eve,1981
230,1955,The Harptones,You Know You're Doing Me Wrong,1981
231,1961,Ricky Nelson,Hello Mary Lou,1981
232,1965,Barry McGuire,What Exactly's The Matter With Me,1981
233,1972,Don McLean,Castles In The Air,1981
234,1973,Dawn Featuring Tony Orlando,I Can't Believe How Much I Love You,1981
235,1971,Rod Stewart,Maggie May,1981
236,1956,The Schoolboys [DooWop],Please Say You Want Me,1981
237,1962,Neil Sedaka,As Long As I Live,1981
238,1968,The Grass Roots,Who Will You Be Tomorrow,1981
239,1966,The Beach Boys,God Only Knows,1981
240,1958,Bobby Darin,"Judy, Don't Be Moody",1981
241,1958,The Students,Every Day Of The Week,1981
242,1962,Freddy Cannon,"June, July, And August",1981
243,1981,Sheena Easton,For Your Eyes Only (Instrumental),1981
244,1958,The Shields,That's The Way It's Gonna Be,1981
245,1965,Jay And The Americans,Girl,1981
246,1963,Lesley Gore,"Run Bobby, Run",1981
247,1980,Christopher Cross,Poor Shirley,1981
248,1977,Bee Gees,If I Can't Have You,1981
249,1979,Commodores,Such A Woman,1981
250,1957,The Tune Weavers,Yo Yo Walk,1981
251,1978,Barry Manilow,Can't Smile Without You,1981
252,1964,The Beatles,Twist And Shout,1981
253,1978,Anne Murray,You Needed Me,1981
254,1978,The BeatlesA,Sgt. Pepper's Lonely Hearts Club BandA,1981
255,1967,The Tremeloes,Silence Is Golden,1981
256,1962,Shelley Fabares,Johnny Angel,1981
257,1968,The Union Gap Featuring Gary Puckett,Young Girl,1981
258,1975,Barry Manilow,Could It Be Magic,1981
259,1967,The Turtles,Happy Together,1981
260,1974,Frankie Valli,My Eyes Adored You,1981
261,1975,Morris Albert,Feelings,1981
262,1960,Bobby Rydell,Volare,1981
263,1962,Elvis Presley With The Jordanaires,Return To Sender,1981
264,1963,Dion (Di Muci),Donna The Prima Donna,1981
265,1963,The 4 Seasons,Walk Like A Man,1981
266,1975,Eagles,Take It To The Limit,1981
267,1963,The Tymes,So Much In Love,1981
268,1965,The 4 Seasons,"Bye, Bye, Baby (Baby, Goodbye)",1981
269,1958,Tommy Edwards,It's All In The Game,1981
270,1975,Barry Manilow,I Write The Songs,1981
271,1964,The Shangri-Las,Leader Of The Pack,1981
272,1957,The Dubs,Don't Ask Me (To Be Lonely),1981
273,1959,Mark Dinning,Teen Angel,1981
274,1970,Carpenters,We've Only Just Begun,1981
275,1967,The Association,Never My Love,1981
276,1956,The Cleftones,Little Girl Of Mine,1981
277,1981,Daryl Hall And John Oates,Private Eyes,1981
278,1965,The Supremes,Stop! In The Name Of Love,1981
279,1968,Dion,"Abraham, Martin And John",1981
280,1957,The Channels,That's My Desire,1981
281,1978,Commodores,Three Times A Lady,1981
282,1953,The Orioles,Crying In The Chapel,1981
283,1965,The Righteous Brothers,Hung On You,1981
284,1966,The Beatles,Here There And Everywhere,1981
285,1956,Clyde McPhatter,Treasure Of Love,1981
286,1958,The Students,I'm So Young,1981
287,1967,The Rolling Stones,Let's Spend The Night Together,1981
288,1960,The Ventures,Walk – Don't Run,1981
289,1961,The Corsairs,Smoky Places,1981
290,1957,The Platters,I'm Sorry,1981
291,1969,Neil Diamond,Sweet Caroline (Good Times Never Seemed So Good),1981
292,1979,Blondie,Heart Of Glass,1981
293,1964,The Beach Boys,I Get Around,1981
294,1969,The Rolling Stones,Honky Tonk Women,1981
295,1957,Charlie Gracie,Butterfly,1981
296,1956,The Clovers,Devil Or Angel,1981
297,1955,The El Dorados,At My Front Door,1981
298,1959,Rock-A-Teens,Woo-Hoo,1981
299,1966,The Casinos,Then You Can Tell Me Goodbye,1981
300,1978,Barry Manilow,Copacabana (At The Copa) [Long Version],1981
251,1978,Barry Manilow,Sunrise,1981
252,1964,The Beatles,There's A Place,1981
253,1978,Anne Murray,I Still Wish The Very Best For You,1981
