Rank,Year,Artist,Song1,Chart_Year
1,1956,The Five Satins,In The Still Of The Nite,1981
2,1954,The Penguins,Hey Senorita,1981
3,1957,Mello-Kings,"Tonite, Tonite",1981
4,1977,Elvis Presley,My Way,1981
5,1961,Elvis Presley,Can't Help Falling In Love,1981
6,1958,The Skyliners,Since I Don't Have You,1981
7,1959,Bobby Darin,Mack The Knife,1981
8,1956,Elvis Presley,Love Me Tender,1981
9,1954,Bill Haley And His Comets,Thirteen Women (And Only One Man In Town),1981
10,1958,The Crests,16 Candles,1981
11,1968,The Beatles,Hey Jude,1981
12,1964,The 4 Seasons,Rag Doll,1981
13,1958,The Fidelity's,The Things I Love,1981
14,1965,Jay And The Americans,"Cara, Mia",1981
15,1970,Elvis Presley,The Wonder Of You,1981
16,1971,John Lennon / Plastic Ono Band,Imagine,1981
17,1962,The 4 Seasons,Sherry,1981
18,1955,The Platters,The Great Pretender,1981
19,1962,The Duprees,You Belong To Me,1981
20,1957,Elvis Presley,Jailhouse Rock,1981
21,1969,Frank Sinatra,My Way,1981
22,1958,The Elegants,Little Star,1981
23,1965,The Beatles,Yesterday,1981
24,1961,Dion,Runaround Sue,1981
25,1960,Elvis Presley With The Jordanaires,Are You Lonesome To-night?,1981
26,1959,Dion And The Belmonts,A Teenager In Love,1981
27,1980,Frank Sinatra,"Theme From New York, New York",1981
28,1965,The Rolling Stones,(I Can't Get No) Satisfaction,1981
29,1956,Elvis Presley,Don't Be Cruel,1981
30,1968,Brooklyn Bridge,Worst That Could Happen,1981
31,1957,The Dell-Vikings,Come Go With Me,1981
32,1956,The Platters,My Prayer,1981
33,1955,The Teenagers Featuring Frankie Lymon,Why Do Fools Fall In Love,1981
34,1964,The 4 Seasons,Dawn (Go Away),1981
35,1956,Fats Domino,Blueberry Hill,1981
36,1958,Little Anthony And The Imperials,Tears On My Pillow,1981
37,1969,Elvis Presley,Suspicious Minds,1981
38,1957,The Charts,Deserie,1981
39,1957,The Dubs,Could This Be Magic,1981
40,1971,Don McLean,American Pie - Part I,1981
41,1961,Dion,The Wanderer,1981
42,1957,The Rays,Silhouettes,1981
43,1963,The Beatles,I Want To Hold Your Hand,1981
44,1967,The Doors,Light My Fire,1981
45,1981,Diana Ross And Lionel Richie,Endless Love (Vocal),1981
46,1960,Safaris,Image Of A Girl,1981
47,1970,Simon And Garfunkel,Bridge Over Troubled Water,1981
48,1957,Billy Ward And His Dominoes,Star Dust,1981
49,1958,The Danleers,One Summer Night,1981
50,1957,The Dell-Vikings,Whispering Bells,1981
1,1956,The Five Satins,The Jones Girl,1981
2,1954,The Penguins,Earth Angel,1981
3,1957,Mello-Kings,Do Baby Do,1981
4,1977,Elvis Presley,America,1981
5,1961,Elvis Presley,Rock-A-Hula Baby,1981
6,1958,The Skyliners,"One Night, One Night",1981
7,1959,Bobby Darin,Was There A Call For Me,1981
8,1956,Elvis Presley,Anyway You Want Me (That's How I'll Be),1981
9,1954,Bill Haley And His Comets,(We're Gonna) Rock Around The Clock,1981
10,1958,The Crests,Beside You,1981
11,1968,The Beatles,Revolution,1981
12,1964,The 4 Seasons,Silence Is Golden,1981
13,1958,The Fidelity's,Hold On To What'Cha Got (And Get One More),1981
14,1965,Jay And The Americans,When It's All Over,1981
15,1970,Elvis Presley,Mama Liked The Roses,1981
16,1971,John Lennon / Plastic Ono Band,It's So Hard,1981
17,1962,The 4 Seasons,I've Cried Before,1981
18,1955,The Platters,I'm Just A Dancing Partner,1981
19,1962,The Duprees,Take Me As I Am,1981
20,1957,Elvis Presley,Treat Me Nice,1981
21,1969,Frank Sinatra,Blue Lace,1981
22,1958,The Elegants,Getting Dizzy,1981
23,1965,The Beatles,Act Naturally,1981
24,1961,Dion,Runaway Girl,1981
25,1960,Elvis Presley With The Jordanaires,I Gotta Know,1981
26,1959,Dion And The Belmonts,I've Cried Before,1981
27,1980,Frank Sinatra,That's What God Looks Like To Me,1981
28,1965,The Rolling Stones,The Under Assistant West Coast Promotion Man,1981
29,1956,Elvis Presley,Hound Dog,1981
30,1968,Brooklyn Bridge,"Your Kite, My Kite.",1981
31,1957,The Dell-Vikings,How Can I Find True Love,1981
32,1956,The Platters,Heaven On Earth,1981
33,1955,The Teenagers Featuring Frankie Lymon,Please Be Mine,1981
34,1964,The 4 Seasons,No Surfin' Today,1981
35,1956,Fats Domino,Honey Chile,1981
36,1958,Little Anthony And The Imperials,Two People In The World,1981
37,1969,Elvis Presley,You'll Think Of Me,1981
38,1957,The Charts,Zoop,1981
39,1957,The Dubs,Such Lovin',1981
40,1971,Don McLean,American Pie - Part II,1981
41,1961,Dion,The Majestic,1981
42,1957,The Rays,Daddy Cool,1981
43,1963,The Beatles,I Saw Her Standing There,1981
44,1967,The Doors,The Crystal Ship,1981
45,1981,Diana Ross And Lionel Richie,Endless Love (Instrumental),1981
46,1960,Safaris,4 Steps To Love,1981
47,1970,Simon And Garfunkel,Keep The Customer Satisfied,1981
48,1957,Billy Ward And His Dominoes,Lucinda,1981
49,1958,The Danleers,Wheelin' And A-Dealin',1981
50,1957,The Dell-Vikings,Don't Be A Fool,1981
51,1958,Dion And The Belmonts,I Wonder Why,1981
52,1958,Chuck Berry,Johnny B. Goode,1981
53,1955,The Platters,Only You (And You Alone),1981
54,1964,The Righteous Brothers,You've Lost That Lovin' Feelin',1981
55,1963,Earls,I Believe,1981
56,1965,Simon And Garfunkel,The Sounds Of Silence,1981
57,1963,The Duprees,Have You Heard,1981
58,1963,The Ronettes,Be My Baby,1981
59,1977,Billy Joel,Just The Way You Are,1981
60,1968,Jay And The Americans,This Magic Moment,1981
61,1959,The Skyliners,This I Swear,1981
62,1961,The Angels,Til,1981
63,1954,The Cadillacs,Gloria,1981
64,1972,Led Zeppelin,Stairway To Heaven [Mono],1981
65,1957,The Five Satins,To The Aisle,1981
66,1959,The Flamingos,I Only Have Eyes For You,1981
67,1956,Elvis Presley,Heartbreak Hotel,1981
68,1957,Danny And The Juniors,At The Hop,1981
69,1977,Debby Boone,You Light Up My Life,1981
70,1956,Elvis Presley,Hound Dog,1981
71,1956,The Channels,The Closer You Are,1981
72,1957,The Diamonds,Little Darlin',1981
73,1980,Kenny Rogers,Lady,1981
74,1971,Chicago,Beginnings,1981
75,1959,Dion And The Belmonts,Where Or When,1981
76,1964,The Temptations,My Girl,1981
77,1966,The Beach Boys,Good Vibrations,1981
78,1960,Elvis Presley With The Jordanaires,It's Now Or Never,1981
79,1958,The Platters,Smoke Gets In Your Eyes,1981
80,1961,Chubby Checker,The Twist,1981
81,1975,The Four Seasons,"December, 1963 (Oh, What A Night)",1981
82,1969,Elvis Presley,Memories,1981
83,1958,Ritchie Valens,Donna,1981
84,1962,The Drifters,Up On The Roof,1981
85,1956,Elvis Presley,"I Want You, I Need You, I Love You",1981
86,1975,Bruce Springsteen,Born To Run,1981
87,1973,Barbra Streisand,The Way We Were,1981
88,1954,The Moonglows,Sincerely,1981
89,1972,Harry Chapin,Taxi,1981
90,1966,The Association,Cherish,1981
91,1957,Fats Domino,I'm Walkin',1981
92,1964,The Supremes,Baby Love,1981
93,1957,Elvis Presley,All Shook Up,1981
94,1964,Barbra Streisand,I Am Woman,1981
95,1956,Fats Domino,Bo Weevil,1981
96,1961,Gene Chandler,Duke Of Earl,1981
97,1970,The Beatles,Let It Be,1981
98,1955,The Nutmegs,Story Untold,1981
