Rank,Year,Artist,Song1,Chart_Year
170,1963,The Chiffons,He's So Fine,1973
171,1961,Bobby Lewis,Tossin' And Turnin',1973
172,1962,The Isley Brothers,Twist And ShoutThe I.B. Special Instrumental,1973
173,1961,The Edsels,Bells,1973
174,1955,The Five Keys,Close Your Eyes,1973
175,1960,The Drifters,Save The Last Dance For Me,1973
176,1957,The Everly Brothers,Bye Bye Love,1973
177,1958,Little Anthony And The Imperials,Tears On My Pillow,1973
178,1964,The Ronettes,Walking In The Rain,1973
179,1963,Dion (Di Muci),Donna The Prima Donna,1973
180,1962,The Crystals,He's A Rebel,1973
181,1965,Mel Carter,"Hold Me, Thrill Me, Kiss Me",1973
182,1964,Gary Lewis And The Playboys,This Diamond Ring,1973
183,1961,Del Shannon,Hats Off To Larry,1973
184,1956,The Dells,Oh What A Nite,1973
185,1963,The 4 Seasons,Walk Like A Man,1973
186,1959,The Fireflies,You Were Mine,1973
187,1958,Dion And The Belmonts,I Wonder Why,1973
188,1963,Four Seasons,Candy Girl,1973
189,1972,Elton John,Crocodile Rock,1973
190,1963,Inez Foxx,Mockingbird,1973
191,1966,The Beach Boys,Wouldn't It Be Nice,1973
192,1955,Al Hibbler,Unchained Melody,1973
193,1958,The Everly Brothers,All I Have To Do Is Dream,1973
194,1965,The Mama's And The Papa's,California Dreamin',1973
195,1965,The Vogues,Five O'Clock World,1973
196,1965,Bob Lind,Cheryl's Goin' Home,1973
197,1971,Chicago,Beginnings,1973
198,1959,Little Anthony And The Imperials,"Shimmy, Shimmy, Ko-Ko Bop",1973
199,1967,Lulu,The Boat That I Row,1973
200,1959,Wilbert Harrison,Kansas City,1973
151,1966,Janis Ian,Letter To Jon,1973
152,1958,The Shields,That's The Way It's Gonna Be,1973
153,1967,The Young Rascals,Sueño,1973
154,1957,Bobby Helms,Standing At The End Of My World,1973
155,1963,Little Peggy March,Wind-Up Doll,1973
156,1957,The Five Satins,Wish I Had My Baby,1973
157,1961,The Cleftones,How Do You Feel,1973
158,1966,Percy Sledge,Love Me Like You Mean It,1973
159,1967,Frankie Valli,The Trouble With Me,1973
160,1958,The Elegants,Getting Dizzy,1973
161,1959,Lloyd Price,Have You Ever Had The Blues,1973
162,1965,The Byrds,She Don't Care About Time,1973
163,1961,Barry Mann,"Love, True Love",1973
164,1963,Lenny Welch,Are You Sincere,1973
165,1967,The Turtles,Like The Seasons,1973
166,1959,The Flamingos,Goodnight Sweetheart,1973
167,1963,The Beatles,I Saw Her Standing There,1973
168,1959,Dion And The Belmonts,That's My Desire,1973
169,1970,Simon And Garfunkel,Keep The Customer Satisfied,1973
170,1963,The Chiffons,Oh My Lover,1973
171,1961,Bobby Lewis,"Oh Yes, I Love You",1973
172,1962,The Isley Brothers,Spanish Twist,1973
173,1961,The Edsels,Rama Lama Ding Dong,1973
174,1955,The Five Keys,"Doggone It, You Did It",1973
175,1960,The Drifters,Nobody But Me,1973
176,1957,The Everly Brothers,I Wonder If I Care As Much,1973
177,1958,Little Anthony And The Imperials,Two People In The World,1973
178,1964,The Ronettes,How Does It Feel?,1973
179,1963,Dion (Di Muci),You're Mine,1973
180,1962,The Crystals,I Love You Eddie,1973
181,1965,Mel Carter,A Sweet Little Girl,1973
182,1964,Gary Lewis And The Playboys,Tijuana Wedding,1973
183,1961,Del Shannon,"Don't Gild The Lily, Lily",1973
184,1956,The Dells,Jo-Jo,1973
185,1963,The 4 Seasons,Lucky Ladybug,1973
186,1959,The Fireflies,Stella Got A Fella,1973
187,1958,Dion And The Belmonts,Teen Angel,1973
188,1963,Four Seasons,Marlena,1973
189,1972,Elton John,Elderberry Wine,1973
190,1963,Inez Foxx,Jaybirds,1973
191,1966,The Beach Boys,God Only Knows,1973
192,1955,Al Hibbler,Daybreak,1973
193,1958,The Everly Brothers,Claudette,1973
194,1965,The Mama's And The Papa's,Somebody Groovy,1973
195,1965,The Vogues,Nothing To Offer You,1973
196,1965,Bob Lind,Elusive Butterfly,1973
197,1971,Chicago,Colour My World,1973
198,1959,Little Anthony And The Imperials,I'm Still In Love With You,1973
199,1967,Lulu,To Sir With Love,1973
200,1959,Wilbert Harrison,"Listen, My Darling",1973
201,1957,The Velvetones,I Love Her So,1973
202,1967,The Association,Never My Love,1973
203,1958,Ricky Nelson,Poor Little Fool,1973
204,1958,Frankie Ford,Sea Cruise,1973
205,1964,Marianne Faithfull,As Tears Go By,1973
206,1956,Mickey And Sylvia,Love Is Strange,1973
207,1962,Dee Dee Sharp,Mashed Potato Time,1973
208,1964,The Beatles,And I Love Her,1973
209,1957,Lee Andrews And The Hearts,Long Lonely Nights,1973
210,1957,Johnnie And Joe,Over The Mountain Across The Sea,1973
211,1956,Willows,Church Bells May Ring,1973
212,1960,The Crests,Step By Step,1973
213,1964,The Shangri-Las,Remember (Walking In The Sand),1973
214,1961,The Lettermen,The Way You Look Tonight,1973
215,1966,Frank Sinatra,Strangers In The Night,1973
216,1960,The Everly Brothers,Cathy's Clown,1973
217,1962,The Excellents,Coney Island Baby,1973
218,1961,Linda Scott,I've Told Every Little Star,1973
219,1965,Lou Christie,Lightnin' Strikes,1973
220,1961,Roy Orbison,Crying,1973
221,1956,The Cleftones,Little Girl Of Mine,1973
222,1958,Jimmy Clanton And His Rockets,You Aim To Please,1973
223,1957,Elvis Presley,All Shook Up,1973
224,1961,The Dovells,Bristol Stomp,1973
225,1956,Little Richard And His Band,Long Tall Sally,1973
226,1957,Robert And Johnny,We Belong Together,1973
227,1957,The Everly Brothers,Wake Up Little Susie,1973
228,1964,Dionne Warwick,Walk On By,1973
229,1958,The Kodoks,"Oh Gee, Oh Gosh",1973
230,1963,The Drifters,On Broadway,1973
231,1968,The Grass Roots,Midnight Confessions,1973
232,1968,Jay And The Americans,This Magic Moment,1973
233,1954,LaVern Baker and The Gliders,Tweedlee Dee,1973
234,1966,The Chiffons,Sweet Talkin' Guy,1973
235,1958,Bobby Day,Rock-In Robin,1973
236,1970,Carpenters,(They Long To Be) Close To You,1973
237,1964,Martha And The Vandellas,Dancing In The Street,1973
238,1967,The Box Tops,The Letter,1973
239,1956,Clyde McPhatter,Treasure Of Love,1973
240,1963,The Surfaris,Wipe Out,1973
241,1961,Connie Francis,Where The Boys Are,1973
242,1964,The Temptations,My Girl,1973
243,1959,Dinah Washington,What A Diff'rence A Day Makes,1973
244,1966,The Cyrkle,Red Rubber Ball,1973
245,1960,"The Chimes [60s, Brooklyn]",Once In Awhile,1973
246,1962,Jimmy Clanton,Venus In Blue Jeans,1973
247,1968,Brooklyn Bridge,Worst That Could Happen,1973
248,1966,Sam And Dave,Hold On! I'm A Comin',1973
249,1961,The Chantels,Look In My Eyes,1973
250,1968,The Rolling Stones,Jumpin' Jack Flash,1973
201,1957,The Velvetones,Glory Of Love,1973
202,1967,The Association,Requiem For The Masses,1973
203,1958,Ricky Nelson,Don't Leave Me This Way,1973
204,1958,Frankie Ford,Roberta,1973
205,1964,Marianne Faithfull,Greensleeves,1973
206,1956,Mickey And Sylvia,I'm Going Home,1973
207,1962,Dee Dee Sharp,Set My Heart At Ease,1973
208,1964,The Beatles,If I Fell,1973
209,1957,Lee Andrews And The Hearts,The Clock,1973
210,1957,Johnnie And Joe,"My Baby's Gone, On, On",1973
211,1956,Willows,Baby Tell Me,1973
212,1960,The Crests,Gee (But I'd Give The World),1973
213,1964,The Shangri-Las,It's Easier To Cry,1973
214,1961,The Lettermen,That's My Desire,1973
215,1966,Frank Sinatra,"Oh, You Crazy Moon",1973
216,1960,The Everly Brothers,Always It's You,1973
217,1962,The Excellents,You Baby You,1973
218,1961,Linda Scott,Three Guesses,1973
219,1965,Lou Christie,Cryin' In The Streets,1973
220,1961,Roy Orbison,Candy Man,1973
221,1956,The Cleftones,You're Driving Me Mad,1973
222,1958,Jimmy Clanton And His Rockets,Just A Dream,1973
223,1957,Elvis Presley,That's When Your Heartaches Begin,1973
224,1961,The Dovells,Letters Of Love,1973
225,1956,Little Richard And His Band,Slippin' And Slidin' (Peepin' And Hidin'),1973
226,1957,Robert And Johnny,Walking In The Rain,1973
227,1957,The Everly Brothers,Maybe Tomorrow,1973
228,1964,Dionne Warwick,Any Old Time Of Day,1973
229,1958,The Kodoks,Make Believe World,1973
230,1963,The Drifters,Let The Music Play,1973
231,1968,The Grass Roots,Who Will You Be Tomorrow,1973
232,1968,Jay And The Americans,Since I Don't Have You,1973
233,1954,LaVern Baker and The Gliders,Tomorrow Night,1973
234,1966,The Chiffons,Did You Ever Go Steady,1973
235,1958,Bobby Day,Over And Over,1973
236,1970,Carpenters,I Kept On Loving You,1973
237,1964,Martha And The Vandellas,There He Is (At My Door),1973
238,1967,The Box Tops,Happy Times,1973
239,1956,Clyde McPhatter,When You're Sincere,1973
240,1963,The Surfaris,Surfer Joe,1973
241,1961,Connie Francis,No One,1973
242,1964,The Temptations,(Talking 'Bout) Nobody But My Baby,1973
243,1959,Dinah Washington,Come On Home,1973
244,1966,The Cyrkle,How Can I Leave Her,1973
245,1960,"The Chimes [60s, Brooklyn]",Summer Night,1973
246,1962,Jimmy Clanton,Highway Bound,1973
247,1968,Brooklyn Bridge,"Your Kite, My Kite.",1973
248,1966,Sam And Dave,I Got Everything I Need,1973
249,1961,The Chantels,Glad To Be Back,1973
250,1968,The Rolling Stones,Child Of The Moon,1973
251,1960,Joe Jones And His Orchestra,You Talk Too Much,1973
252,1958,Jerry Butler And The Impressions,For Your Precious Love,1973
253,1968,Tommy James And The Shondells,Crimson And Clover,1973
254,1968,B. J. Thomas,Hooked On A Feeling,1973
255,1968,Richard Harris,Mac Arthur Park,1973
256,1961,The Jive Five,My True Story,1973
257,1962,Ruby And The Romantics,Our Day Will Come,1973
258,1956,Shirley And Lee,Let The Good Times Roll,1973
259,1966,? (Question Mark) And The Mysterians,96 Tears,1973
260,1962,Freddy Cannon,Palisades Park,1973
261,1958,Thomas Wayne With The DeLons,Tragedy,1973
262,1964,The Devotions,Rip Van Winkle,1973
263,1962,The Crystals,Uptown,1973
264,1971,Don McLean,American Pie - Part I,1973
265,1967,Jay And The Techniques,"Apples, Peaches, Pumpkin Pie",1973
266,1965,Billy Joe Royal,Down In The Boondocks,1973
267,1959,Bobby Darin,Dream Lover,1973
268,1964,The Beach Boys,"Fun, Fun, Fun",1973
269,1968,The Union Gap Featuring Gary Puckett,Young Girl,1973
270,1960,Brenda Lee,I'm Sorry,1973
271,1960,Ray Peterson,Tell Laura I Love Her,1973
272,1968,The Vogues,"Turn Around, Look At Me",1973
273,1959,The Clovers,Love Potion No. 9,1973
274,1971,Rod Stewart,Reason To Believe,1973
275,1957,The Channels,That's My Desire,1973
276,1961,Gene Pitney,Town Without Pity,1973
277,1957,Elvis Presley With The Jordanaires,Loving You,1973
278,1962,Neil Sedaka,Next Door To An Angel,1973
279,1969,The 5th Dimension,Medle,1973
280,1968,Merrilee Rush And The Turnabouts,Angel Of The Morning,1973
281,1962,The Orlons,The Conservative,1973
282,1957,Huey Smith And The Clowns,Rocking Pneumonia And The Boogie Woogie Flu (Part 1),1973
283,1960,The Ventures,Walk – Don't Run,1973
284,1961,Bobby Vee,Take Good Care Of My Baby,1973
285,1959,The Coasters,Poison Ivy,1973
286,1961,U.S. Bonds,Quarter To Three,1973
287,1970,Freda Payne,Band Of Gold,1973
288,1969,Classics IV Featuring Dennis Yost,Traces,1973
289,1970,Elvis Presley,The Wonder Of You,1973
290,1967,The Union Gap Featuring Gary Puckett,"Woman, Woman",1973
291,1955,Little Richard And His Band,Tutti-Frutti,1973
292,1963,"Peter, Paul And Mary",Blowin' In The Wind,1973
293,1966,The Hollies,Bus Stop,1973
294,1956,The Clovers,Devil Or Angel,1973
295,1964,Gene Pitney,It Hurts To Be In Love,1973
296,1968,Simon And Garfunkel,Mrs. Robinson,1973
