Rank,Year,Artist,Song1,Chart_Year
1,1956,The Five Satins,In The Still Of The Nite,1973
2,1954,The Penguins,Hey Senorita,1973
3,1958,The Crests,16 Candles,1973
4,1957,Mello-Kings,"Tonite, Tonite",1973
5,1959,Dion And The Belmonts,A Teenager In Love,1973
6,1958,Little Anthony And The Imperials,Tears On My Pillow,1973
7,1959,The Dubs,Chapel Of Dreams,1973
8,1958,The Skyliners,Since I Don't Have You,1973
9,1957,The Paragons [Doo-Wop],Florence,1973
10,1962,The Shirelles,Soldier Boy,1973
11,1955,The Platters,The Great Pretender,1973
12,1958,Big Bopper,Chantilly Lace,1973
13,1954,Bill Haley And His Comets,Thirteen Women (And Only One Man In Town),1973
14,1961,Gene Chandler,Duke Of Earl,1973
15,1964,The 4 Seasons,Rag Doll,1973
16,1961,The Marcels,Blue Moon,1973
17,1954,The Cadillacs,Gloria,1973
18,1962,The 4 Seasons,Sherry,1973
19,1955,The Teenagers Featuring Frankie Lymon,Why Do Fools Fall In Love,1973
20,1957,The Chantels,Maybe,1973
21,1958,The Monotones,Book Of Love,1973
22,1957,The Rays,Silhouettes,1973
23,1958,Ritchie Valens,Donna,1973
24,1961,Don And Juan,What's Your Name,1973
25,1962,The Duprees,You Belong To Me,1973
26,1954,The Moonglows,Sincerely,1973
27,1963,The Marvelettes,Locking Up My Heart,1973
28,1966,The Association,Cherish,1973
29,1958,The Students,I'm So Young,1973
30,1957,The Diamonds,Little Darlin',1973
31,1957,The Dubs,Could This Be Magic,1973
32,1963,The Angels,My Boyfriend's Back,1973
33,1964,The Shangri-Las,Leader Of The Pack,1973
34,1960,The Jesters [doowop],The Wind,1973
35,1961,Dion,Runaround Sue,1973
36,1960,Safaris,Image Of A Girl,1973
37,1960,The Shirelles,Will You Love Me Tomorrow,1973
38,1962,Shelley Fabares,Johnny Angel,1973
39,1960,Rosie And The Originals,Angel Baby,1973
40,1965,The Rolling Stones,(I Can't Get No) Satisfaction,1973
41,1955,The Nutmegs,Story Untold,1973
42,1958,The Flamingos,Lovers Never Say Goodbye,1973
43,1956,The Platters,My Prayer,1973
44,1963,The Beach Boys,Surfer Girl,1973
45,1956,Elvis Presley,Love Me Tender,1973
46,1956,Elvis Presley,Heartbreak Hotel,1973
47,1958,Chuck Berry,Johnny B. Goode,1973
48,1966,The Happenings,See You In September,1973
49,1956,Elvis Presley,Hound Dog,1973
50,1961,Del Shannon,Runaway,1973
1,1956,The Five Satins,The Jones Girl,1973
2,1954,The Penguins,Earth Angel,1973
3,1958,The Crests,Beside You,1973
4,1957,Mello-Kings,Do Baby Do,1973
5,1959,Dion And The Belmonts,I've Cried Before,1973
6,1958,Little Anthony And The Imperials,Two People In The World,1973
7,1959,The Dubs,Is There A Love For Me,1973
8,1958,The Skyliners,"One Night, One Night",1973
9,1957,The Paragons [Doo-Wop],Hey Little School Girl,1973
10,1962,The Shirelles,Love Is A Swingin' Thing,1973
11,1955,The Platters,I'm Just A Dancing Partner,1973
12,1958,Big Bopper,Purple People Eater Meets Witch Doctor,1973
13,1954,Bill Haley And His Comets,(We're Gonna) Rock Around The Clock,1973
14,1961,Gene Chandler,Kissin' In The Kitchen,1973
15,1964,The 4 Seasons,Silence Is Golden,1973
16,1961,The Marcels,Goodbye To Love,1973
17,1954,The Cadillacs,I Wonder Why,1973
18,1962,The 4 Seasons,I've Cried Before,1973
19,1955,The Teenagers Featuring Frankie Lymon,Please Be Mine,1973
20,1957,The Chantels,Come My Little Baby,1973
21,1958,The Monotones,You Never Loved Me,1973
22,1957,The Rays,Daddy Cool,1973
23,1958,Ritchie Valens,La Bamba,1973
24,1961,Don And Juan,Chicken Necks,1973
25,1962,The Duprees,Take Me As I Am,1973
26,1954,The Moonglows,Tempting,1973
27,1963,The Marvelettes,Forever,1973
28,1966,The Association,Don't Blame It On Me,1973
29,1958,The Students,Every Day Of The Week,1973
30,1957,The Diamonds,Faithful And True,1973
31,1957,The Dubs,Such Lovin',1973
32,1963,The Angels,(Love Me) Now,1973
33,1964,The Shangri-Las,What Is Love,1973
34,1960,The Jesters [doowop],Sally Green,1973
35,1961,Dion,Runaway Girl,1973
36,1960,Safaris,4 Steps To Love,1973
37,1960,The Shirelles,Boys,1973
38,1962,Shelley Fabares,Where's It Gonna Get Me?,1973
39,1960,Rosie And The Originals,Give Me Love,1973
40,1965,The Rolling Stones,The Under Assistant West Coast Promotion Man,1973
41,1955,The Nutmegs,Make Me Lose My Mind,1973
42,1958,The Flamingos,That Love Is You,1973
43,1956,The Platters,Heaven On Earth,1973
44,1963,The Beach Boys,Little Deuce Coupe,1973
45,1956,Elvis Presley,Anyway You Want Me (That's How I'll Be),1973
46,1956,Elvis Presley,I Was The One,1973
47,1958,Chuck Berry,Around And Around,1973
48,1966,The Happenings,He Thinks He's A Hero,1973
49,1956,Elvis Presley,Don't Be Cruel,1973
50,1961,Del Shannon,Jody,1973
51,1959,Mark Dinning,Teen Angel,1973
52,1963,The Ronettes,Be My Baby,1973
53,1955,Bo Diddley,Bo Diddley,1973
54,1962,Marcie Blane,Bobby's Girl,1973
55,1959,Bobby Darin,Mack The Knife,1973
56,1953,The Harp-Tones,A Sunday Kind Of Love,1973
57,1963,The Tymes,So Much In Love,1973
58,1957,The Dell-Vikings,Come Go With Me,1973
59,1964,The 4 Seasons,Dawn (Go Away),1973
60,1958,Danny And The Juniors,Rock And Roll Is Here To Stay,1973
61,1959,Santo And Johnny,Sleep Walk,1973
62,1965,Simon And Garfunkel,The Sounds Of Silence,1973
63,1961,Chubby Checker,The Twist,1973
64,1959,Frankie Avalon,Venus,1973
65,1953,The Crows,Gee,1973
66,1962,The Cascades,Rhythm Of The Rain,1973
67,1957,The Charts,Deserie,1973
68,1958,The Danleers,One Summer Night,1973
69,1957,Danny And The Juniors,At The Hop,1973
70,1963,The Duprees,Have You Heard,1973
71,1960,The Capris [New York],There's A Moon Out Tonight,1973
72,1962,The 4 Seasons,Big Girls Don't Cry,1973
73,1956,Elvis Presley,Don't Be Cruel,1973
74,1964,The Drifters,Under The Boardwalk,1973
75,1958,Chuck Berry,Sweet Little Sixteen,1973
76,1964,The Dixie Cups,Chapel Of Love,1973
77,1957,Paul Anka,Diana,1973
78,1964,The Beatles,She Loves You,1973
79,1954,Joe Turner And His Blues Kings,"Shake, Rattle And Roll",1973
80,1955,The Platters,Only You (And You Alone),1973
81,1958,The Platters,Smoke Gets In Your Eyes,1973
82,1957,The Silhouettes,Get A Job,1973
83,1962,Brian Hyland,Sealed With A Kiss,1973
84,1961,Little Caesar And The Romans,Those Oldies But Goodies (Remind Me Of You)The Romans,1973
85,1962,The Earls,Remember Then,1973
86,1957,Elvis Presley,Jailhouse Rock,1973
87,1956,Fats Domino,Blueberry Hill,1973
88,1965,The Beatles,Yesterday,1973
89,1968,The Beatles,Hey Jude,1973
90,1963,Bobby Vinton,Blue Velvet,1973
91,1963,Randy And The Rainbows,Denise,1973
92,1964,Roy Orbison And The Candy Men,Pretty Woman,1973
93,1963,Lesley Gore,It's My Party,1973
94,1958,The Pastels [New York],Been So Long,1973
95,1960,Maurice Williams And The Zodiacs,Stay,1973
96,1962,Jay And The Americans,Dawning,1973
97,1960,The Shells,Baby Oh Baby,1973
98,1954,Johnny Ace,Pledging My Love,1973
99,1961,The Angels,Til,1973
100,1961,Shep And The Limelites,Daddy's Home,1973
51,1959,Mark Dinning,Bye Now Baby,1973
52,1963,The Ronettes,Tedesco And Pitman,1973
53,1955,Bo Diddley,I'm A Man,1973
54,1962,Marcie Blane,A Time To Dream,1973
55,1959,Bobby Darin,Was There A Call For Me,1973
56,1953,The Harp-Tones,I'll Never Tell,1973
57,1963,The Tymes,Roscoe James McClain,1973
58,1957,The Dell-Vikings,How Can I Find True Love,1973
59,1964,The 4 Seasons,No Surfin' Today,1973
60,1958,Danny And The Juniors,School Boy Romance,1973
61,1959,Santo And Johnny,All Night Diner,1973
62,1965,Simon And Garfunkel,We've Got A Groovey Thing Goin',1973
63,1961,Chubby Checker,Twistin' U.S.A.,1973
64,1959,Frankie Avalon,I'm Broke,1973
65,1953,The Crows,I Love You So,1973
66,1962,The Cascades,Let Me Be,1973
67,1957,The Charts,Zoop,1973
68,1958,The Danleers,Wheelin' And A-Dealin',1973
69,1957,Danny And The Juniors,Sometimes (When I'm All Alone),1973
70,1963,The Duprees,Love Eyes,1973
71,1960,The Capris [New York],Indian Girl,1973
72,1962,The 4 Seasons,Connie-O,1973
73,1956,Elvis Presley,Hound Dog,1973
74,1964,The Drifters,I Don't Want To Go On Without You,1973
75,1958,Chuck Berry,Reelin And Rocking,1973
76,1964,The Dixie Cups,Ain't That Nice,1973
77,1957,Paul Anka,Don't Gamble With Love,1973
78,1964,The Beatles,I'll Get You,1973
79,1954,Joe Turner And His Blues Kings,You Know I Love You,1973
80,1955,The Platters,"Bark, Battle And Ball",1973
81,1958,The Platters,No Matter What You Are,1973
82,1957,The Silhouettes,I Am Lonely,1973
83,1962,Brian Hyland,Summer Job,1973
84,1961,Little Caesar And The Romans,She Don't Wanna Dance (No More),1973
85,1962,The Earls,Let's Waddle,1973
86,1957,Elvis Presley,Treat Me Nice,1973
87,1956,Fats Domino,Honey Chile,1973
88,1965,The Beatles,Act Naturally,1973
89,1968,The Beatles,Revolution,1973
90,1963,Bobby Vinton,Is There A Place (Where I Can Go),1973
91,1963,Randy And The Rainbows,Come Back,1973
92,1964,Roy Orbison And The Candy Men,Yo Te Amo Maria,1973
93,1963,Lesley Gore,Danny,1973
94,1958,The Pastels [New York],My One And Only Dream,1973
95,1960,Maurice Williams And The Zodiacs,Do You Believe,1973
96,1962,Jay And The Americans,She Cried,1973
97,1960,The Shells,What's In An Angel's Eyes,1973
98,1954,Johnny Ace,No Money,1973
99,1961,The Angels,A Moment Ago,1973
100,1961,Shep And The Limelites,This I Know,1973
101,1959,The Crests,The Angels Listened In,1973
102,1965,The 4 Seasons,Let's Hang On!,1973
103,1959,The Coasters,Charlie Brown,1973
104,1965,Jay And The Americans,"Cara, Mia",1973
105,1959,The Skyliners,This I Swear,1973
106,1958,Harvey And The Moonglows,Ten Commandments Of Love,1973
107,1954,The Chords [New York],Sh-boom,1973
108,1956,The Heartbeats [Doo Wop],A Thousand Miles Away,1973
109,1965,The Beach Boys,California Girls,1973
110,1962,Neil Sedaka,Breaking Up Is Hard To Do,1973
111,1958,Bobby Darin,Splish Splash,1973
112,1961,Joey Dee And The Starliters,Peppermint Twist - Part I,1973
113,1967,The Doors,Light My Fire,1973
114,1959,The Mystics [New York],Hushabye,1973
115,1961,Dion,The Wanderer,1973
116,1964,The Righteous Brothers,You've Lost That Lovin' Feelin',1973
117,1962,The Drifters,Up On The Roof,1973
118,1956,Carl Perkins,Blue Suede Shoes,1973
119,1961,The Regents [New York],Barbara-Ann,1973
120,1963,Beach Boys,Surfin' U.S.A.,1973
121,1957,Jerry Lee Lewis And His Pumping Piano,Great Balls Of Fire,1973
122,1964,Petula Clark,Downtown,1973
123,1956,The Channels,The Closer You Are,1973
124,1958,Lloyd Price,Stagger Lee,1973
125,1959,Percy Faith And His Orchestra,"The Theme From ""A Summer Place""",1973
126,1957,Lee Andrews And The Hearts,Teardrops,1973
127,1963,Dusty Springfield,I Only Want To Be With You,1973
128,1957,The Dell-Vikings,Whispering Bells,1973
129,1966,The Supremes,You Keep Me Hangin' On,1973
130,1960,Neil Sedaka,Calendar Girl,1973
131,1964,The Supremes,Baby Love,1973
132,1961,Neil Sedaka,"Happy Birthday, Sweet Sixteen",1973
133,1961,The Tokens,The Lion Sleeps Tonight,1973
134,1958,The Platters,Twilight Time,1973
135,1959,The Drifters,There Goes My Baby,1973
136,1959,The Fleetwoods,Mr. Blue,1973
137,1956,The Teen Queens,Eddie My Love,1973
138,1961,Elvis Presley,Can't Help Falling In Love,1973
139,1957,Jerry Lee Lewis,Whole Lot Of Shakin' Going On,1973
140,1955,The Cadillacs,Speedoo,1973
141,1959,Paul Anka,Put Your Head On My Shoulder,1973
142,1961,The Echoes [New York],Baby Blue,1973
143,1957,The Tune Weavers,"Happy, Happy Birthday BabyPaul Gayten",1973
144,1960,Roy Orbison,Only The Lonely (Know The Way I Feel),1973
145,1962,Little Eva,The Loco-Motion,1973
146,1961,The Blue Jays,Lover's Island,1973
147,1963,Lesley Gore,You Don't Own Me,1973
148,1961,Dee Clark,Raindrops,1973
149,1957,Buddy Holly,Peggy Sue,1973
150,1958,Ritchie Valens,Donna,1973
101,1959,The Crests,I Thank The Moon,1973
102,1965,The 4 Seasons,On Broadway Tonight,1973
103,1959,The Coasters,Three Cool Cats,1973
104,1965,Jay And The Americans,When It's All Over,1973
105,1959,The Skyliners,Tomorrow,1973
106,1958,Harvey And The Moonglows,Mean Old Blues,1973
107,1954,The Chords [New York],Little Maiden,1973
108,1956,The Heartbeats [Doo Wop],Oh Baby Don't,1973
109,1965,The Beach Boys,Let Him Run Wild,1973
110,1962,Neil Sedaka,As Long As I Live,1973
111,1958,Bobby Darin,"Judy, Don't Be Moody",1973
112,1961,Joey Dee And The Starliters,Peppermint Twist - Part II,1973
113,1967,The Doors,The Crystal Ship,1973
114,1959,The Mystics [New York],Adam And Eve,1973
115,1961,Dion,The Majestic,1973
116,1964,The Righteous Brothers,There's A Woman,1973
117,1962,The Drifters,Another Night With The Boys,1973
118,1956,Carl Perkins,"Honey, Don't!",1973
119,1961,The Regents [New York],I'm So Lonely,1973
120,1963,Beach Boys,Shut Down,1973
121,1957,Jerry Lee Lewis And His Pumping Piano,You Win Again,1973
122,1964,Petula Clark,You'd Better Love Me,1973
123,1956,The Channels,Now You Know (I Love You So),1973
124,1958,Lloyd Price,You Need Love,1973
125,1959,Percy Faith And His Orchestra,Go-Go-Po-Go,1973
126,1957,Lee Andrews And The Hearts,The Girl Around The Corner,1973
127,1963,Dusty Springfield,Once Upon A Time,1973
128,1957,The Dell-Vikings,Don't Be A Fool,1973
129,1966,The Supremes,Remove This Doubt,1973
130,1960,Neil Sedaka,The Same Old Fool,1973
131,1964,The Supremes,Ask Any Girl,1973
132,1961,Neil Sedaka,Don't Lead Me On,1973
133,1961,The Tokens,Tina,1973
134,1958,The Platters,Out Of My Mind,1973
135,1959,The Drifters,Oh My Love,1973
136,1959,The Fleetwoods,You Mean Everything To Me,1973
137,1956,The Teen Queens,Just Goofed,1973
138,1961,Elvis Presley,Rock-A-Hula Baby,1973
139,1957,Jerry Lee Lewis,It'll Be Me,1973
140,1955,The Cadillacs,Let Me Explain,1973
141,1959,Paul Anka,Don't Ever Leave Me,1973
142,1961,The Echoes [New York],Boomerang,1973
143,1957,The Tune Weavers,Yo Yo Walk,1973
144,1960,Roy Orbison,Here Comes That Song Again,1973
145,1962,Little Eva,He Is The Boy,1973
146,1961,The Blue Jays,You're Gonna Cry,1973
147,1963,Lesley Gore,"Run Bobby, Run",1973
148,1961,Dee Clark,I Want To Love You,1973
149,1957,Buddy Holly,Everyday,1973
150,1958,Ritchie Valens,La Bamba,1973
151,1966,Janis Ian,Society's Child (Baby I've Been Thinking),1973
152,1958,The Shields,You Cheated,1973
153,1967,The Young Rascals,Groovin',1973
154,1957,Bobby Helms,My Special Angel,1973
155,1963,Little Peggy March,I Will Follow Him,1973
156,1957,The Five Satins,To The Aisle,1973
157,1961,The Cleftones,Heart And Soul,1973
158,1966,Percy Sledge,When A Man Loves A Woman,1973
159,1967,Frankie Valli,Can't Take My Eyes Off You,1973
160,1958,The Elegants,Little Star,1973
161,1959,Lloyd Price,Personality,1973
162,1965,The Byrds,Turn! Turn! Turn! (To Everything There Is A Season),1973
163,1961,Barry Mann,"Who Put The Bomp (In The Bomp, Bomp, Bomp)",1973
164,1963,Lenny Welch,Since I Fell For You,1973
165,1967,The Turtles,Happy Together,1973
166,1959,The Flamingos,I Only Have Eyes For You,1973
167,1963,The Beatles,I Want To Hold Your Hand,1973
168,1959,Dion And The Belmonts,Where Or When,1973
169,1970,Simon And Garfunkel,Bridge Over Troubled Water,1973
