Rank,Year,Artist,Song1,Chart_Year
65,1955,The Teenagers Featuring Frankie Lymon,Why Do Fools Fall In Love,1985
66,1957,Fats DominoFats Domino Sings,The Big Beat,1985
67,1964,The Temptations,My Girl,1985
68,1963,The Beatles,I Want To Hold Your Hand,1985
69,1967,The Turtles,Happy Together,1985
70,1958,Little Anthony And The Imperials,Tears On My Pillow,1985
71,1958,The Danleers,One Summer Night,1985
72,1969,Elvis Presley,Memories,1985
73,1955,The Platters,The Great Pretender,1985
74,1964,The Righteous Brothers,You've Lost That Lovin' Feelin',1985
75,1962,The Drifters,Up On The Roof,1985
76,1969,Frank Sinatra,My Way,1985
77,1964,The Ronettes,Walking In The Rain,1985
78,1960,Safaris,Image Of A Girl,1985
79,1975,Bruce Springsteen,Born To Run,1985
80,1957,Fats Domino,Valley Of Tears,1985
81,1970,Carpenters,(They Long To Be) Close To You,1985
82,1963,The Tymes,So Much In Love,1985
83,1959,Percy Faith And His Orchestra,"The Theme From ""A Summer Place""",1985
84,1958,The Platters,Smoke Gets In Your Eyes,1985
85,1959,The Skyliners,This I Swear,1985
86,1960,The Capris [New York],There's A Moon Out Tonight,1985
87,1957,Johnny Mathis,Chances Are,1985
88,1956,The Channels,The Closer You Are,1985
89,1958,Conway Twitty,It's Only Make Believe,1985
90,1961,The Tokens,The Lion Sleeps Tonight,1985
91,1970,The Beatles,The Long And Winding Road,1985
92,1965,Simon And Garfunkel,The Sounds Of Silence,1985
93,1966,The Righteous Brothers,(You're My) Soul And Inspiration,1985
94,1972,The Moody Blues,Nights In White Satin,1985
95,1960,Elvis Presley With The Jordanaires,It's Now Or Never,1985
96,1981,Diana Ross And Lionel Richie,Endless Love (Vocal),1985
97,1958,Ritchie Valens,Donna,1985
98,1958,The Platters,Twilight Time,1985
99,1957,Elvis Presley,All Shook Up,1985
100,1961,Del Shannon,Runaway,1985
51,1965,The Rolling Stones,The Under Assistant West Coast Promotion Man,1985
52,1969,Elvis Presley,You'll Think Of Me,1985
53,1957,Danny And The Juniors,Sometimes (When I'm All Alone),1985
54,1967,Lulu,To Sir With Love,1985
55,1965,The Supremes,Everything Is Good About You,1985
56,1958,Dion And The Belmonts,Teen Angel,1985
57,1985,USA For Africa,Grace,1985
58,1964,The Drifters,I Don't Want To Go On Without You,1985
59,1968,Brooklyn Bridge,"Your Kite, My Kite.",1985
60,1958,The Aquatones,You,1985
61,1961,The Angels,A Moment Ago,1985
62,1957,The Rays,Daddy Cool,1985
63,1971,John Lennon / Plastic Ono Band,It's So Hard,1985
64,1957,The Dell-Vikings,Don't Be A Fool,1985
65,1955,The Teenagers Featuring Frankie Lymon,Please Be Mine,1985
66,1957,Fats DominoFats Domino Sings,I Want You To Know,1985
67,1964,The Temptations,(Talking 'Bout) Nobody But My Baby,1985
68,1963,The Beatles,I Saw Her Standing There,1985
69,1967,The Turtles,Like The Seasons,1985
70,1958,Little Anthony And The Imperials,Two People In The World,1985
71,1958,The Danleers,Wheelin' And A-Dealin',1985
72,1969,Elvis Presley,Charro,1985
73,1955,The Platters,I'm Just A Dancing Partner,1985
74,1964,The Righteous Brothers,There's A Woman,1985
75,1962,The Drifters,Another Night With The Boys,1985
76,1969,Frank Sinatra,Blue Lace,1985
77,1964,The Ronettes,How Does It Feel?,1985
78,1960,Safaris,4 Steps To Love,1985
79,1975,Bruce Springsteen,Meeting Across The River,1985
80,1957,Fats Domino,It's You I Love,1985
81,1970,Carpenters,I Kept On Loving You,1985
82,1963,The Tymes,Roscoe James McClain,1985
83,1959,Percy Faith And His Orchestra,Go-Go-Po-Go,1985
84,1958,The Platters,No Matter What You Are,1985
85,1959,The Skyliners,Tomorrow,1985
86,1960,The Capris [New York],Indian Girl,1985
87,1957,Johnny Mathis,The Twelfth Of Never,1985
88,1956,The Channels,Now You Know (I Love You So),1985
89,1958,Conway Twitty,I'll Try,1985
90,1961,The Tokens,Tina,1985
91,1970,The Beatles,For You Blue,1985
92,1965,Simon And Garfunkel,We've Got A Groovey Thing Goin',1985
93,1966,The Righteous Brothers,B Side Blues,1985
94,1972,The Moody Blues,Cities,1985
95,1960,Elvis Presley With The Jordanaires,A Mess Of Blues,1985
96,1981,Diana Ross And Lionel Richie,Endless Love (Instrumental),1985
97,1958,Ritchie Valens,La Bamba,1985
98,1958,The Platters,Out Of My Mind,1985
99,1957,Elvis Presley,That's When Your Heartaches Begin,1985
100,1961,Del Shannon,Jody,1985
101,1968,Richard Harris,Mac Arthur Park,1985
102,1980,Frank Sinatra,"Theme From New York, New York",1985
103,1959,Bobby Darin,Dream Lover,1985
104,1966,The Association,Cherish,1985
105,1984,Bruce Springsteen,Born In The U.S.A.,1985
106,1964,The Beatles,Twist And Shout,1985
107,1954,The Cadillacs,Gloria,1985
108,1961,The Marcels,Blue Moon,1985
109,1962,The Earls,Remember Then,1985
110,1958,Harvey And The Moonglows,Ten Commandments Of Love,1985
111,1954,Johnny Ace,Pledging My Love,1985
112,1959,Dion And The Belmonts,A Teenager In Love,1985
113,1957,The Five Satins,To The Aisle,1985
114,1961,The Everly Brothers,Crying In The Rain,1985
115,1963,The Duprees,Have You Heard,1985
116,1971,Rod Stewart,Reason To Believe,1985
117,1967,The Doors,Light My Fire,1985
118,1967,Tommy James And The Shondells,I Think We're Alone Now,1985
119,1954,The Moonglows,Sincerely,1985
120,1957,The Crickets,That'll Be The Day,1985
121,1956,Elvis Presley,"I Want You, I Need You, I Love You",1985
122,1961,Connie Francis,Where The Boys Are,1985
123,1958,Tommy Edwards,It's All In The Game,1985
124,1959,The Dubs,Chapel Of Dreams,1985
125,1959,The Impalas,Sorry (I Ran All The Way Home),1985
126,1958,The Everly Brothers,Devoted To You,1985
127,1965,Four Tops,I Can't Help Myself,1985
128,1968,The Foundations,Build Me Up Buttercup,1985
129,1957,The Diamonds,The Stroll,1985
130,1957,Buddy Holly,Peggy Sue,1985
131,1963,Elvis Presley With The JordanairesElvis Sings - Vol. 1A,Blue HawaiiA,1985
132,1961,Shep And The Limelites,Daddy's Home,1985
133,1979,Smokey Robinson,Cruisin',1985
134,1968,Marvin Gaye,I Heard It Through The Grapevine,1985
135,1966,The Beach Boys,Good Vibrations,1985
136,1957,The Chantels,He's Gone,1985
137,1956,Elvis Presley,Hound Dog,1985
138,1966,Four Tops,Reach Out I'll Be There,1985
139,1958,Buddy Holly,Rave On,1985
140,1971,Chicago,Beginnings,1985
141,1972,Harry Chapin,Taxi,1985
142,1958,The Teddy Bears,"To Know Him, Is To Love Him",1985
143,1964,The Beatles,She Loves You,1985
144,1966,Brenda And The Tabulations,Dry Your Eyes,1985
145,1956,Elvis Presley,Heartbreak Hotel,1985
146,1964,Jackie Ross,Selfish One,1985
147,1958,The Everly Brothers,All I Have To Do Is Dream,1985
148,1967,Aretha Franklin,Respect,1985
149,1968,Creedence Clearwater Revival,Proud Mary,1985
150,1970,The Beatles,Let It Be,1985
101,1968,Richard Harris,Didn't We,1985
102,1980,Frank Sinatra,That's What God Looks Like To Me,1985
103,1959,Bobby Darin,Bullmoose,1985
104,1966,The Association,Don't Blame It On Me,1985
105,1984,Bruce Springsteen,Shut Out The Light,1985
106,1964,The Beatles,There's A Place,1985
107,1954,The Cadillacs,I Wonder Why,1985
108,1961,The Marcels,Goodbye To Love,1985
109,1962,The Earls,Let's Waddle,1985
110,1958,Harvey And The Moonglows,Mean Old Blues,1985
111,1954,Johnny Ace,No Money,1985
112,1959,Dion And The Belmonts,I've Cried Before,1985
113,1957,The Five Satins,Wish I Had My Baby,1985
114,1961,The Everly Brothers,I'm Not Angry,1985
115,1963,The Duprees,Love Eyes,1985
116,1971,Rod Stewart,Maggie May,1985
117,1967,The Doors,The Crystal Ship,1985
118,1967,Tommy James And The Shondells,"Gone, Gone, Gone.",1985
119,1954,The Moonglows,Tempting,1985
120,1957,The Crickets,I'm Lookin' For Someone To Love,1985
121,1956,Elvis Presley,My Baby Left Me,1985
122,1961,Connie Francis,No One,1985
123,1958,Tommy Edwards,Please Love Me Forever,1985
124,1959,The Dubs,Is There A Love For Me,1985
125,1959,The Impalas,"Fool, Fool, Fool",1985
126,1958,The Everly Brothers,Bird Dog,1985
127,1965,Four Tops,Sad Souvenirs,1985
128,1968,The Foundations,New Direction,1985
129,1957,The Diamonds,Land Of Beauty,1985
130,1957,Buddy Holly,Everyday,1985
131,1963,Elvis Presley With The JordanairesElvis Sings - Vol. 1A,No MoreB1,1985
132,1961,Shep And The Limelites,This I Know,1985
133,1979,Smokey Robinson,Ever Had A Dream,1985
134,1968,Marvin Gaye,You're What's Happening (In The World Today),1985
135,1966,The Beach Boys,Let's Go Away For Awhile,1985
136,1957,The Chantels,The Plea,1985
137,1956,Elvis Presley,Don't Be Cruel,1985
138,1966,Four Tops,Until You Love Someone,1985
139,1958,Buddy Holly,Take Your Time,1985
140,1971,Chicago,Colour My World,1985
141,1972,Harry Chapin,Empty,1985
142,1958,The Teddy Bears,Don't You Worry My Little Pet,1985
143,1964,The Beatles,I'll Get You,1985
144,1966,Brenda And The Tabulations,The Wash,1985
145,1956,Elvis Presley,I Was The One,1985
146,1964,Jackie Ross,Everything But Love,1985
147,1958,The Everly Brothers,Claudette,1985
148,1967,Aretha Franklin,Dr. Feelgood,1985
149,1968,Creedence Clearwater Revival,Born On The Bayou,1985
150,1970,The Beatles,You Know My Name (Look Up My Number),1985
151,1968,The Grass Roots,Midnight Confessions,1985
152,1958,Big Bopper,Chantilly Lace,1985
153,1962,The Excellents,Coney Island Baby,1985
154,1957,Elvis Presley With The Jordanaires,Loving You,1985
155,1969,The Archies,"Sugar, Sugar",1985
156,1961,Chubby Checker,The Twist,1985
157,1959,The Drifters,There Goes My Baby,1985
158,1960,The Jesters [doowop],The Wind,1985
159,1967,Frankie Valli,Can't Take My Eyes Off You,1985
160,1960,The Passions,I Only Want You,1985
161,1960,The Everly Brothers,So Sad (To Watch Good Love Go Bad),1985
162,1965,The Mama's And The Papa's,California Dreamin',1985
163,1977,Billy Joel,Just The Way You Are,1985
164,1964,The Marvelettes,Too Many Fish In The Sea,1985
165,1959,Johnny Mathis,Misty,1985
166,1970,Neil Diamond,Solitary Man,1985
167,1962,Marcie Blane,Bobby's Girl,1985
168,1962,Vito And The Salutations,Gloria,1985
169,1957,The Crickets,"Oh, Boy!",1985
170,1958,Lee Andrews And The Hearts,Try The Impossible,1985
171,1959,Frankie Avalon,Venus,1985
172,1984,Bruce Springsteen,Dancing In The Dark,1985
173,1963,Patti La Belle And The Blue Belles,Down The Aisle (Wedding Song),1985
174,1962,Elvis Presley With The Jordanaires,Return To Sender,1985
175,1961,The Cleftones,Heart And Soul,1985
176,1967,The Young Rascals,How Can I Be Sure,1985
177,1984,Don Henley,The Boys Of Summer,1985
178,1963,Randy And The Rainbows,Denise,1985
179,1964,The Dave Clark Five,Because,1985
180,1959,Fleetwoods,Come Softly To Me,1985
181,1983,The Police,Every Breath You Take,1985
182,1972,Elvis Presley,Burning Love,1985
183,1961,Fats Domino,Jambalaya (On The Bayou),1985
184,1966,Percy Sledge,When A Man Loves A Woman,1985
185,1962,The Shirelles,Soldier Boy,1985
186,1963,Vito And The Salutations,Unchained Melody,1985
187,1965,Lou Christie,Lightnin' Strikes,1985
188,1962,The Crystals,He's A Rebel,1985
189,1984,Band Aid,Do They Know It's Christmas?,1985
190,1958,The Students,I'm So Young,1985
191,1960,Bobby Darin,Beyond The Sea,1985
192,1964,The Dixie Cups,Chapel Of Love,1985
193,1970,Freda Payne,Band Of Gold,1985
194,1964,Manfred Mann,Do Wah Diddy Diddy,1985
195,1953,The Orioles,Crying In The Chapel,1985
196,1964,Roy Orbison And The Candy Men,Pretty Woman,1985
197,1959,Dion And The Belmonts,Where Or When,1985
198,1960,The Demensions,Over The Rainbow,1985
199,1973,Billy Joel,Piano Man,1985
200,1980,Bette Midler,The Rose,1985
151,1968,The Grass Roots,Who Will You Be Tomorrow,1985
152,1958,Big Bopper,Purple People Eater Meets Witch Doctor,1985
153,1962,The Excellents,You Baby You,1985
154,1957,Elvis Presley With The Jordanaires,(Let Me Be Your) Teddy Bear,1985
155,1969,The Archies,Melody Hill,1985
156,1961,Chubby Checker,Twistin' U.S.A.,1985
157,1959,The Drifters,Oh My Love,1985
158,1960,The Jesters [doowop],Sally Green,1985
159,1967,Frankie Valli,The Trouble With Me,1985
160,1960,The Passions,This Is My Love,1985
161,1960,The Everly Brothers,Lucille,1985
162,1965,The Mama's And The Papa's,Somebody Groovy,1985
163,1977,Billy Joel,Get It Right The First Time,1985
164,1964,The Marvelettes,A Need For Love,1985
165,1959,Johnny Mathis,The Story Of Our Love,1985
166,1970,Neil Diamond,The Time Is Now,1985
167,1962,Marcie Blane,A Time To Dream,1985
168,1962,Vito And The Salutations,Let's Untwist The Twist,1985
169,1957,The Crickets,Not Fade Away,1985
170,1958,Lee Andrews And The Hearts,Nobody's Home,1985
171,1959,Frankie Avalon,I'm Broke,1985
172,1984,Bruce Springsteen,Pink Cadillac,1985
173,1963,Patti La Belle And The Blue Belles,C'est La Vie (So Goes Life),1985
174,1962,Elvis Presley With The Jordanaires,Where Do You Come From,1985
175,1961,The Cleftones,How Do You Feel,1985
176,1967,The Young Rascals,I'm So Happy Now,1985
177,1984,Don Henley,A Month Of Sundays,1985
178,1963,Randy And The Rainbows,Come Back,1985
179,1964,The Dave Clark Five,Theme Without A Name,1985
180,1959,Fleetwoods,I Care So Much,1985
181,1983,The Police,Murder By Numbers,1985
182,1972,Elvis Presley,It's A Matter Of Time,1985
183,1961,Fats Domino,I Hear You Knocking,1985
184,1966,Percy Sledge,Love Me Like You Mean It,1985
185,1962,The Shirelles,Love Is A Swingin' Thing,1985
186,1963,Vito And The Salutations,"Hey, Hey, Baby",1985
187,1965,Lou Christie,Cryin' In The Streets,1985
188,1962,The Crystals,I Love You Eddie,1985
189,1984,Band Aid,Feed The World,1985
190,1958,The Students,Every Day Of The Week,1985
191,1960,Bobby Darin,That's The Way Love Is,1985
192,1964,The Dixie Cups,Ain't That Nice,1985
193,1970,Freda Payne,The Easiest Way To Fall,1985
194,1964,Manfred Mann,What You Gonna Do?,1985
195,1953,The Orioles,Don't You Think I Ought To Know,1985
196,1964,Roy Orbison And The Candy Men,Yo Te Amo Maria,1985
197,1959,Dion And The Belmonts,That's My Desire,1985
198,1960,The Demensions,Nursery Rhime Rock,1985
199,1973,Billy Joel,You're My Home,1985
200,1980,Bette Midler,Stay With Me,1985
201,1966,Ike And Tina Turner,River Deep - Mountain High,1985
202,1977,Debby Boone,You Light Up My Life,1985
203,1965,The Beatles,Help!,1985
204,1965,Mel Carter,"Hold Me, Thrill Me, Kiss Me",1985
205,1970,The Jackson 5,I'll Be There,1985
206,1968,Elvis Presley,If I Can Dream,1985
207,1964,The 4 Seasons,Dawn (Go Away),1985
208,1971,Climax,Precious And Few,1985
209,1960,Rosie And The Originals,Angel Baby,1985
210,1967,The Beatles,Strawberry Fields Forever,1985
211,1966,The Temptations,Ain't Too Proud To Beg,1985
212,1961,Ricky Nelson,Travelin' Man,1985
213,1963,The Crystals,Da Doo Ron Ron (When He Walked Me Home),1985
214,1958,Elvis Presley,Don't,1985
215,1960,The Drifters,Save The Last Dance For Me,1985
216,1971,Derek And The Dominos,Layla,1985
217,1964,The Supremes,Where Did Our Love Go,1985
218,1972,Luther Ingram,(If Loving You Is Wrong) I Don't Want To Be Right,1985
219,1958,Ricky Nelson,Poor Little Fool,1985
220,1967,The Association,Never My Love,1985
221,1971,Nilsson,Without You,1985
222,1964,The Supremes,Baby Love,1985
223,1963,Lesley Gore,You Don't Own Me,1985
224,1970,Smokey Robinson And The Miracles,The Tears Of A Clown,1985
225,1981,Commodores,Oh No,1985
226,1964,The Shangri-Las,Leader Of The Pack,1985
227,1965,The Beach Boys,California Girls,1985
228,1982,Barbra Streisand,Memory,1985
229,1984,Stevie Wonder,I Just Called To Say I Love You,1985
230,1960,The Shells,Baby Oh Baby,1985
231,1958,Elvis Presley,One NightElvis Presley With The Jordanaires,1985
232,1957,Sam Cooke,You Send Me,1985
233,1965,The Miracles,Ooo Baby Baby,1985
234,1966,The 4 Seasons,Opus 17 (Don't You Worry 'Bout Me),1985
235,1961,Roy Orbison,Crying,1985
236,1957,Paul Anka,Diana,1985
237,1964,Martha And The Vandellas,Dancing In The Street,1985
238,1966,Swingin' Medallions,Double Shot (Of My Baby's Love),1985
239,1958,The Flamingos,Lovers Never Say Goodbye,1985
240,1958,The Shields,You Cheated,1985
241,1980,Kenny Rogers,Lady,1985
242,1964,Petula Clark,Downtown,1985
243,1958,The Videos,"Trickle, Trickle",1985
244,1957,Connie Francis,Who's Sorry Now,1985
245,1969,The Beatles,Something,1985
246,1960,The Platters,Harbor Lights,1985
247,1956,"Elvis PresleyELVIS, Volume 1A",Rip It UpA,1985
248,1968,Jay And The Americans,This Magic Moment,1985
249,1955,Moonglows,Most Of All,1985
250,1973,Barbra Streisand,The Way We Were,1985
201,1966,Ike And Tina Turner,I'll Keep You Happy,1985
202,1977,Debby Boone,Hasta Mañana,1985
203,1965,The Beatles,I'm Down,1985
204,1965,Mel Carter,A Sweet Little Girl,1985
205,1970,The Jackson 5,One More Chance,1985
206,1968,Elvis Presley,Edge Of Reality,1985
207,1964,The 4 Seasons,No Surfin' Today,1985
208,1971,Climax,Park Preserve,1985
209,1960,Rosie And The Originals,Give Me Love,1985
210,1967,The Beatles,Penny Lane,1985
211,1966,The Temptations,You'll Lose A Precious Love,1985
212,1961,Ricky Nelson,Hello Mary Lou,1985
213,1963,The Crystals,Git' It,1985
214,1958,Elvis Presley,I Beg Of You,1985
215,1960,The Drifters,Nobody But Me,1985
216,1971,Derek And The Dominos,I Am Yours,1985
217,1964,The Supremes,He Means The World To Me,1985
218,1972,Luther Ingram,Puttin' Game Down,1985
219,1958,Ricky Nelson,Don't Leave Me This Way,1985
220,1967,The Association,Requiem For The Masses,1985
221,1971,Nilsson,Gotta Get Up,1985
222,1964,The Supremes,Ask Any Girl,1985
223,1963,Lesley Gore,"Run Bobby, Run",1985
224,1970,Smokey Robinson And The Miracles,Promise Me,1985
225,1981,Commodores,Lovin' You,1985
226,1964,The Shangri-Las,What Is Love,1985
227,1965,The Beach Boys,Let Him Run Wild,1985
228,1982,Barbra Streisand,"Evergreen (Love Theme From ""A Star Is Born"")",1985
229,1984,Stevie Wonder,I Just Called To Say I Love You (Instrumental),1985
230,1960,The Shells,What's In An Angel's Eyes,1985
231,1958,Elvis Presley,I Got Stung,1985
232,1957,Sam Cooke,Summertime,1985
233,1965,The Miracles,All That's Good,1985
234,1966,The 4 Seasons,Beggars' Parade,1985
235,1961,Roy Orbison,Candy Man,1985
236,1957,Paul Anka,Don't Gamble With Love,1985
237,1964,Martha And The Vandellas,There He Is (At My Door),1985
238,1966,Swingin' Medallions,Here It Comes Again,1985
239,1958,The Flamingos,That Love Is You,1985
240,1958,The Shields,That's The Way It's Gonna Be,1985
241,1980,Kenny Rogers,Sweet Music Man,1985
242,1964,Petula Clark,You'd Better Love Me,1985
243,1958,The Videos,"Moonglow, You Know",1985
244,1957,Connie Francis,You Were Only Fooling (While I Was Falling In Love),1985
245,1969,The Beatles,Come Together,1985
246,1960,The Platters,Sleepy Lagoon,1985
247,1956,"Elvis PresleyELVIS, Volume 1A",Love MeB1,1985
248,1968,Jay And The Americans,Since I Don't Have You,1985
249,1955,Moonglows,She's Gone,1985
250,1973,Barbra Streisand,What Are You Doing The Rest Of Your Life?,1985
251,1963,The Angels,My Boyfriend's Back,1985
252,1963,The Earls,Never,1985
253,1956,The Schoolboys [DooWop],Shirley,1985
254,1963,Lesley Gore,It's My Party,1985
255,1957,Elvis Presley With The Jordanaires,Loving You,1985
256,1964,Mary Wells,My Guy,1985
257,1957,Lee Andrews And The Hearts,Teardrops,1985
258,1972,Don McLean,Vincent,1985
259,1959,The Isley Brothers,Shout - Part 1,1985
260,1964,J. Frank Wilson And The Cavaliers,Last Kiss,1985
261,1959,The Passions,Just To Be With You,1985
262,1961,"The Chimes [60s, Brooklyn]",Only Love,1985
263,1960,Bobby Rydell,Volare,1985
264,1969,Brooklyn Bridge,Your Husband - My Wife,1985
265,1974,Carl Carlton,Everlasting Love,1985
266,1964,The Beatles,And I Love Her,1985
267,1956,The Clovers,Devil Or Angel,1985
268,1963,Lenny Welch,Since I Fell For You,1985
269,1969,Elvis Presley,In The Ghetto,1985
270,1967,Procol Harum,A Whiter Shade Of Pale,1985
271,1970,Diana Ross,Ain't No Mountain High Enough,1985
272,1966,The Supremes,You Can't Hurry Love,1985
273,1962,The Duprees,My Own True Love,1985
274,1958,Danny And The Juniors,Rock And Roll Is Here To Stay,1985
275,1960,The Everly Brothers,Cathy's Clown,1985
276,1978,The BeatlesA,Sgt. Pepper's Lonely Hearts Club BandA,1985
277,1972,Elvis Presley,Always On My Mind,1985
278,1957,The Dubs,Don't Ask Me (To Be Lonely),1985
279,1968,Otis Redding,(Sittin' On) The Dock Of The Bay,1985
280,1981,John Lennon,WomanYoko Ono,1985
281,1962,The 4 Seasons,Big Girls Don't Cry,1985
282,1969,The Jackson 5,I Want You Back,1985
283,1960,Ray Peterson,Tell Laura I Love Her,1985
284,1962,Brian Hyland,Sealed With A Kiss,1985
285,1967,Jefferson Airplane,Somebody To Love,1985
286,1966,Frank Sinatra,Strangers In The Night,1985
287,1954,The Chords [New York],Sh-boom,1985
288,1955,The Nutmegs,Story Untold,1985
289,1984,Peabo Bryson,If Ever You're In My Arms Again,1985
290,1958,Jack Scott,My True Love,1985
291,1959,Mark Dinning,Teen Angel,1985
292,1953,The Harp-Tones,A Sunday Kind Of Love,1985
293,1973,Jim Croce,Time In A Bottle,1985
294,1959,Paul Anka,Put Your Head On My Shoulder,1985
295,1956,The Heartbeats [Doo Wop],A Thousand Miles Away,1985
296,1985,Whitney Houston,Saving All My Love For You,1985
297,1965,Bob Dylan,Like A Rolling Stone,1985
298,1965,The 4 Seasons,Let's Hang On!,1985
299,1967,Strawberry Alarm Clock,Incense And Peppermints,1985
300,1969,Zager And Evans,In The Year 2525 (Exordium & Terminus),1985
251,1963,The Angels,(Love Me) Now,1985
