Rank,Year,Artist,Song1,Chart_Year
1,1956,The Five Satins,In The Still Of The Nite,1985
2,1954,The Penguins,Hey Senorita,1985
3,1977,Elvis Presley,My Way,1985
4,1957,Mello-Kings,"Tonite, Tonite",1985
5,1961,Elvis Presley,Can't Help Falling In Love,1985
6,1958,The Fidelity's,The Things I Love,1985
7,1968,The Beatles,Hey Jude,1985
8,1959,Bobby Darin,Mack The Knife,1985
9,1958,The Skyliners,Since I Don't Have You,1985
10,1962,The Duprees,You Belong To Me,1985
11,1970,Elvis Presley,The Wonder Of You,1985
12,1956,Elvis Presley,Love Me Tender,1985
13,1963,Earls,I Believe,1985
14,1956,Elvis Presley,Don't Be Cruel,1985
15,1954,Bill Haley And His Comets,Thirteen Women (And Only One Man In Town),1985
16,1957,Elvis Presley,Jailhouse Rock,1985
17,1971,Don McLean,American Pie - Part I,1985
18,1965,The Righteous Brothers,Hung On You,1985
19,1963,The Ronettes,Be My Baby,1985
20,1966,The Happenings,See You In September,1985
21,1958,The Crests,16 Candles,1985
22,1964,The 4 Seasons,Rag Doll,1985
23,1965,Jay And The Americans,"Cara, Mia",1985
24,1960,Elvis Presley With The Jordanaires,Are You Lonesome To-night?,1985
25,1956,Fats Domino,Blueberry Hill,1985
26,1960,The Shirelles,Will You Love Me Tomorrow,1985
27,1962,The 4 Seasons,Sherry,1985
28,1956,The Platters,My Prayer,1985
29,1972,Led Zeppelin,Stairway To Heaven [Mono],1985
30,1957,The Dell-Vikings,Come Go With Me,1985
31,1959,The Flamingos,I Only Have Eyes For You,1985
32,1982,Willie Nelson,Always On My Mind,1985
33,1961,Gene Chandler,Duke Of Earl,1985
34,1955,The Platters,Only You (And You Alone),1985
35,1958,The Elegants,Little Star,1985
36,1957,The Chantels,Maybe,1985
37,1970,Simon And Garfunkel,Bridge Over Troubled Water,1985
38,1961,Dion,Runaround Sue,1985
39,1957,Johnny Mathis,Chances Are,1985
40,1957,The Diamonds,Little Darlin',1985
41,1957,Billy Ward And His Dominoes,Star Dust,1985
42,1977,Heatwave,Always And Forever,1985
43,1958,Jackie Wilson,Lonely Teardrops,1985
44,1965,The Beatles,Yesterday,1985
45,1961,Ben E. King,Stand By Me,1985
46,1961,Dion,The Wanderer,1985
47,1978,Barry Manilow,Even Now,1985
48,1960,"The Chimes [60s, Brooklyn]",Once In Awhile,1985
49,1958,Chuck Berry,Johnny B. Goode,1985
50,1957,The Charts,Deserie,1985
1,1956,The Five Satins,The Jones Girl,1985
2,1954,The Penguins,Earth Angel,1985
3,1977,Elvis Presley,America,1985
4,1957,Mello-Kings,Do Baby Do,1985
5,1961,Elvis Presley,Rock-A-Hula Baby,1985
6,1958,The Fidelity's,Hold On To What'Cha Got (And Get One More),1985
7,1968,The Beatles,Revolution,1985
8,1959,Bobby Darin,Was There A Call For Me,1985
9,1958,The Skyliners,"One Night, One Night",1985
10,1962,The Duprees,Take Me As I Am,1985
11,1970,Elvis Presley,Mama Liked The Roses,1985
12,1956,Elvis Presley,Anyway You Want Me (That's How I'll Be),1985
13,1963,Earls,Don't Forget,1985
14,1956,Elvis Presley,Hound Dog,1985
15,1954,Bill Haley And His Comets,(We're Gonna) Rock Around The Clock,1985
16,1957,Elvis Presley,Treat Me Nice,1985
17,1971,Don McLean,American Pie - Part II,1985
18,1965,The Righteous Brothers,Unchained Melody,1985
19,1963,The Ronettes,Tedesco And Pitman,1985
20,1966,The Happenings,He Thinks He's A Hero,1985
21,1958,The Crests,Beside You,1985
22,1964,The 4 Seasons,Silence Is Golden,1985
23,1965,Jay And The Americans,When It's All Over,1985
24,1960,Elvis Presley With The Jordanaires,I Gotta Know,1985
25,1956,Fats Domino,Honey Chile,1985
26,1960,The Shirelles,Boys,1985
27,1962,The 4 Seasons,I've Cried Before,1985
28,1956,The Platters,Heaven On Earth,1985
29,1972,Led Zeppelin,Stairway To Heaven [Stereo],1985
30,1957,The Dell-Vikings,How Can I Find True Love,1985
31,1959,The Flamingos,Goodnight Sweetheart,1985
32,1982,Willie Nelson,The Party's Over,1985
33,1961,Gene Chandler,Kissin' In The Kitchen,1985
34,1955,The Platters,"Bark, Battle And Ball",1985
35,1958,The Elegants,Getting Dizzy,1985
36,1957,The Chantels,Come My Little Baby,1985
37,1970,Simon And Garfunkel,Keep The Customer Satisfied,1985
38,1961,Dion,Runaway Girl,1985
39,1957,Johnny Mathis,The Twelfth Of Never,1985
40,1957,The Diamonds,Faithful And True,1985
41,1957,Billy Ward And His Dominoes,Lucinda,1985
42,1977,Heatwave,Super Soul Sister,1985
43,1958,Jackie Wilson,In The Blue Of Evening,1985
44,1965,The Beatles,Act Naturally,1985
45,1961,Ben E. King,On The Horizon,1985
46,1961,Dion,The Majestic,1985
47,1978,Barry Manilow,I Was A Fool (To Let You Go),1985
48,1960,"The Chimes [60s, Brooklyn]",Summer Night,1985
49,1958,Chuck Berry,Around And Around,1985
50,1957,The Charts,Zoop,1985
51,1965,The Rolling Stones,(I Can't Get No) Satisfaction,1985
52,1969,Elvis Presley,Suspicious Minds,1985
53,1957,Danny And The Juniors,At The Hop,1985
54,1967,Lulu,The Boat That I Row,1985
55,1965,The Supremes,My World Is Empty Without You,1985
56,1958,Dion And The Belmonts,I Wonder Why,1985
57,1985,USA For Africa,We Are The WorldQuincy Jones,1985
58,1964,The Drifters,Under The Boardwalk,1985
59,1968,Brooklyn Bridge,Worst That Could Happen,1985
60,1958,The Aquatones,She's The One For Me,1985
61,1961,The Angels,Til,1985
62,1957,The Rays,Silhouettes,1985
63,1971,John Lennon / Plastic Ono Band,Imagine,1985
64,1957,The Dell-Vikings,Whispering Bells,1985
