Rank,Year,Artist,Song1,Chart_Year
295,1960,The Everly Brothers,Cathy's Clown,1989
296,1958,Lee Andrews And The Hearts,Try The Impossible,1989
297,1964,The Dixie Cups,Chapel Of Love,1989
298,1957,Buddy Holly,Peggy Sue,1989
299,1966,The Mama's And The Papa's,"Monday, Monday",1989
300,1956,The Six Teens,A Casual Look,1989
251,1957,The Dubs,Darling,1989
252,1957,The Silhouettes,I Am Lonely,1989
253,1957,The Everly Brothers,Maybe Tomorrow,1989
254,1967,The Monkees,Goin' Down,1989
255,1964,Jay And The Americans,Goodbye Boys Goodbye (Ciao Ragazzi Ciao),1989
256,1960,Ray Peterson,Wedding Day,1989
257,1955,Moonglows,She's Gone,1989
258,1964,The Supremes,He Means The World To Me,1989
259,1957,The Everly Brothers,I Wonder If I Care As Much,1989
260,1971,Derek And The Dominos,I Am Yours,1989
261,1963,The Rivieras [Indiana],H B Goose Step,1989
262,1966,The Young Rascals,Mustang Sally,1989
263,1955,The Nutmegs,Make Me Lose My Mind,1989
264,1966,The Troggs,With A Girl Like You,1989
265,1970,Freda Payne,The Easiest Way To Fall,1989
266,1959,Wilbert Harrison,"Listen, My Darling",1989
267,1961,Roy Orbison,Love Hurts,1989
268,1977,Debby Boone,Hasta Mañana,1989
269,1963,The Beatles,P. S. I Love You,1989
270,1956,The Dells,Jo-Jo,1989
271,1965,Bob Dylan,Gates Of Eden,1989
272,1961,Don And Juan,Chicken Necks,1989
273,1962,Steve Lawrence,If You Love Her Tell Her So,1989
274,1964,The Animals,Talkin' 'Bout You,1989
275,1971,Bread,Take Comfort,1989
276,1956,The Teen Queens,Just Goofed,1989
277,1957,The Tune Weavers,Yo Yo Walk,1989
278,1965,Four Tops,Sad Souvenirs,1989
279,1966,The Cyrkle,How Can I Leave Her,1989
280,1969,The Brooklyn Bridge,Welcome Me Love,1989
281,1955,Chuck Berry And His Combo,Wee Wee Hours,1989
282,1957,Connie Francis,You Were Only Fooling (While I Was Falling In Love),1989
283,1969,Neil Diamond,Dig In,1989
284,1977,Eagles,Pretty Maids All In A Row,1989
285,1969,The Beatles,Come Together,1989
286,1971,Rod Stewart,Maggie May,1989
287,1959,The Everly Brothers,Since You Broke My Heart,1989
288,1962,Paul And Paula,Bobby Is The One,1989
289,1965,The Beatles,I'm Down,1989
290,1968,Elvis Presley,Edge Of Reality,1989
291,1957,Sam Cooke,Summertime,1989
292,1959,Paul Anka,Don't Ever Leave Me,1989
293,1961,The Corsairs,Thinkin' (Maybe She's Changed Her Ways),1989
294,1959,The Drifters,Oh My Love,1989
295,1960,The Everly Brothers,Always It's You,1989
296,1958,Lee Andrews And The Hearts,Nobody's Home,1989
297,1964,The Dixie Cups,Ain't That Nice,1989
298,1957,Buddy Holly,Everyday,1989
299,1966,The Mama's And The Papa's,Got A Feelin',1989
300,1956,The Six Teens,Teen Age Promise,1989
301,1969,The Rolling Stones,Honky Tonk Women,1989
302,1973,Barbra Streisand,The Way We Were,1989
303,1960,Roy Orbison,Blue Angel,1989
304,1957,Bobby Helms,My Special Angel,1989
305,1981,Diana Ross And Lionel Richie,Endless Love (Vocal),1989
306,1958,Bobby Darin,Splish Splash,1989
307,1965,The 4 Seasons,Let's Hang On!,1989
308,1955,The Cleftones,You Baby You,1989
309,1959,Johnny Horton,The Battle Of New Orleans,1989
310,1958,Cozy Cole,Topsy I,1989
311,1963,The Chiffons,He's So Fine,1989
312,1966,The 4 Seasons,I've Got You Under My Skin,1989
313,1959,The Crests,The Angels Listened In,1989
314,1959,Dinah Washington,What A Diff'rence A Day Makes,1989
315,1965,The Vogues,You're The One,1989
316,1969,Jr. Walker And The All Stars,What Does It Take (To Win Your Love),1989
317,1959,Phil Phillips With The Twilights,Sea Of Love,1989
318,1969,The Brooklyn Bridge,Blessed Is The Rain,1989
319,1958,The Monotones,Book Of Love,1989
320,1957,Johnnie And Joe,Over The Mountain Across The Sea,1989
321,1968,Bobby Goldsboro,Honey,1989
322,1970,The Beatles,The Long And Winding Road,1989
323,1958,The Everly Brothers,All I Have To Do Is Dream,1989
324,1965,The Beach Boys,"Help Me, Rhonda",1989
325,1958,The Flamingos,Lovers Never Say Goodbye,1989
326,1966,The Left Banke,Walk Away Renee,1989
327,1965,Barry McGuire,Eve Of Destruction,1989
328,1966,The Righteous Brothers,(You're My) Soul And Inspiration,1989
329,1966,Frank Sinatra,Strangers In The Night,1989
330,1959,Johnny Mathis,Misty,1989
331,1964,J. Frank Wilson And The Cavaliers,Last Kiss,1989
332,1958,Ed Townsend,For Your Love,1989
333,1965,The Beach Boys,California Girls,1989
334,1966,Four Tops,Reach Out I'll Be There,1989
335,1962,Vito And The Salutations,Gloria,1989
336,1972,Harry Chapin,Taxi,1989
337,1963,Jay And The Americans,Only In America,1989
338,1964,The Beatles,A Hard Day's Night,1989
339,1967,The Rolling Stones,Let's Spend The Night Together,1989
340,1959,The Coasters,Charlie Brown,1989
341,1962,The Tornadoes,Telstar,1989
342,1954,Bill Haley And His Comets,"Shake, Rattle And Roll",1989
343,1963,The Angels,My Boyfriend's Back,1989
344,1956,Gene Vincent And His Blue Caps,Be-Bop-A-Lula,1989
345,1960,Jackie Wilson,Night,1989
346,1976,ABBA,Dancing Queen,1989
347,1959,Marty Robbins,El Paso,1989
348,1959,Paul Anka,Lonely Boy,1989
349,1961,Timi Yuro,Hurt,1989
350,1962,"Bobby ""Boris"" Pickett And The Crypt-Kickers",Monster Mash,1989
301,1969,The Rolling Stones,You Can't Always Get What You Want,1989
302,1973,Barbra Streisand,What Are You Doing The Rest Of Your Life?,1989
303,1960,Roy Orbison,Today's Teardrops,1989
304,1957,Bobby Helms,Standing At The End Of My World,1989
305,1981,Diana Ross And Lionel Richie,Endless Love (Instrumental),1989
306,1958,Bobby Darin,"Judy, Don't Be Moody",1989
307,1965,The 4 Seasons,On Broadway Tonight,1989
308,1955,The Cleftones,I Was Dreaming,1989
309,1959,Johnny Horton,All For The Love Of A Girl,1989
310,1958,Cozy Cole,Topsy II,1989
311,1963,The Chiffons,Oh My Lover,1989
312,1966,The 4 Seasons,Huggin' My Pillow,1989
313,1959,The Crests,I Thank The Moon,1989
314,1959,Dinah Washington,Come On Home,1989
315,1965,The Vogues,Some Words,1989
316,1969,Jr. Walker And The All Stars,Brainwasher (Part 1),1989
317,1959,Phil Phillips With The Twilights,Juella,1989
318,1969,The Brooklyn Bridge,Welcome Me Love,1989
319,1958,The Monotones,You Never Loved Me,1989
320,1957,Johnnie And Joe,"My Baby's Gone, On, On",1989
321,1968,Bobby Goldsboro,Danny,1989
322,1970,The Beatles,For You Blue,1989
323,1958,The Everly Brothers,Claudette,1989
324,1965,The Beach Boys,"Kiss Me, Baby",1989
325,1958,The Flamingos,That Love Is You,1989
326,1966,The Left Banke,I Haven't Got The Nerve,1989
327,1965,Barry McGuire,What Exactly's The Matter With Me,1989
328,1966,The Righteous Brothers,B Side Blues,1989
329,1966,Frank Sinatra,"Oh, You Crazy Moon",1989
330,1959,Johnny Mathis,The Story Of Our Love,1989
331,1964,J. Frank Wilson And The Cavaliers,That's How Much I Love You,1989
332,1958,Ed Townsend,Over And Over Again,1989
333,1965,The Beach Boys,Let Him Run Wild,1989
334,1966,Four Tops,Until You Love Someone,1989
335,1962,Vito And The Salutations,Let's Untwist The Twist,1989
336,1972,Harry Chapin,Empty,1989
337,1963,Jay And The Americans,My Clair De Lune,1989
338,1964,The Beatles,I Should Have Known Better,1989
339,1967,The Rolling Stones,Ruby Tuesday,1989
340,1959,The Coasters,Three Cool Cats,1989
341,1962,The Tornadoes,Jungle Fever,1989
342,1954,Bill Haley And His Comets,A. B. C. Boogie,1989
343,1963,The Angels,(Love Me) Now,1989
344,1956,Gene Vincent And His Blue Caps,Woman Love,1989
345,1960,Jackie Wilson,Doggin' Around,1989
346,1976,ABBA,That's Me,1989
347,1959,Marty Robbins,Running Gun,1989
348,1959,Paul Anka,Your Love,1989
349,1961,Timi Yuro,I Apologize,1989
350,1962,"Bobby ""Boris"" Pickett And The Crypt-Kickers",Monsters' Mash Party,1989
351,1960,Sam Cooke,Wonderful World,1989
352,1960,Brenda Lee,I'm Sorry,1989
353,1967,Diana Ross And The Supremes,Reflections,1989
354,1957,Paul Anka,You Are My Destiny,1989
355,1975,Bruce Springsteen,Born To Run,1989
356,1955,The Cadillacs,Speedoo,1989
357,1970,Smokey Robinson And The Miracles,The Tears Of A Clown,1989
358,1964,Terry Stafford,Suspicion,1989
359,1967,Jackie Wilson,(Your Love Keeps Lifting Me) Higher And Higher,1989
360,1960,The Drifters,Save The Last Dance For Me,1989
361,1967,Procol Harum,A Whiter Shade Of Pale,1989
362,1960,The Shells,Baby Oh Baby,1989
363,1962,Jay And The Americans,Dawning,1989
364,1962,Mr. Acker Bilk,Stranger On The Shore,1989
365,1969,Creedence Clearwater Revival,Bad Moon Rising,1989
366,1964,The Shangri-Las,Leader Of The Pack,1989
367,1956,Carl Perkins,Blue Suede Shoes,1989
368,1961,Barry Mann,"Who Put The Bomp (In The Bomp, Bomp, Bomp)",1989
369,1967,The Beatles,Strawberry Fields Forever,1989
370,1968,The Grass Roots,Midnight Confessions,1989
371,1959,The Fleetwoods,Mr. Blue,1989
372,1966,The 4 Seasons,Opus 17 (Don't You Worry 'Bout Me),1989
373,1965,Sam The Sham And The Pharaohs,Wooly Bully,1989
374,1970,Diana Ross,Ain't No Mountain High Enough,1989
375,1966,The Beatles,Michelle,1989
376,1964,The Beatles,And I Love Her,1989
377,1959,The Knockouts,Darling Lorraine,1989
378,1962,The Exciters,Tell Him,1989
379,1968,The Beatles,Hey Jude,1989
380,1961,Gene Pitney,Town Without Pity,1989
381,1970,Elton John,Your Song,1989
382,1957,Buddy Knox With The Rhythm Orchids,Party Doll,1989
383,1961,The Everly Brothers,Crying In The Rain,1989
384,1959,Neil Sedaka,Oh! Carol,1989
385,1953,The Flamingos,Golden Teardrops,1989
386,1964,The Beach Boys,"Fun, Fun, Fun",1989
387,1957,Fats Domino,I'm Walkin',1989
388,1957,Little Joe And The Thrillers,Peanuts,1989
389,1968,The Foundations,Build Me Up Buttercup,1989
390,1963,Chantay's,Pipeline,1989
391,1963,The Beach Boys,Surfer Girl,1989
392,1967,Cream,Sunshine Of Your Love,1989
393,1975,The Four Seasons,"December, 1963 (Oh, What A Night)",1989
394,1962,Brian Hyland,Sealed With A Kiss,1989
395,1956,Guy Mitchell,Singing The Blues,1989
396,1962,The Marvelettes,Beechwood 4-5789,1989
397,1965,The Jive Five (Featuring Eugene Pitt),I'm A Happy Man,1989
398,1958,Dion And The Belmonts,No One Knows,1989
399,1958,The Everly Brothers,All I Have To Do Is Dream,1989
400,1958,The Pastels [New York],Been So Long,1989
351,1960,Sam Cooke,Along The Navajo Trail,1989
352,1960,Brenda Lee,Thats All You Gotta Do,1989
353,1967,Diana Ross And The Supremes,Going Down For The Third Time,1989
354,1957,Paul Anka,When I Stop Loving You (That'll Be The Day),1989
355,1975,Bruce Springsteen,Meeting Across The River,1989
356,1955,The Cadillacs,Let Me Explain,1989
357,1970,Smokey Robinson And The Miracles,Promise Me,1989
358,1964,Terry Stafford,Judy,1989
359,1967,Jackie Wilson,I'm The One To Do It,1989
360,1960,The Drifters,Nobody But Me,1989
361,1967,Procol Harum,Lime Street Blues,1989
362,1960,The Shells,What's In An Angel's Eyes,1989
363,1962,Jay And The Americans,She Cried,1989
364,1962,Mr. Acker Bilk,Cielito Lindo,1989
365,1969,Creedence Clearwater Revival,Lodi,1989
366,1964,The Shangri-Las,What Is Love,1989
367,1956,Carl Perkins,"Honey, Don't!",1989
368,1961,Barry Mann,"Love, True Love",1989
369,1967,The Beatles,Penny Lane,1989
370,1968,The Grass Roots,Who Will You Be Tomorrow,1989
371,1959,The Fleetwoods,You Mean Everything To Me,1989
372,1966,The 4 Seasons,Beggars' Parade,1989
373,1965,Sam The Sham And The Pharaohs,Ain't Gonna Move,1989
374,1970,Diana Ross,Can't It Wait Until Tomorrow,1989
375,1966,The Beatles,Girl,1989
376,1964,The Beatles,If I Fell,1989
377,1959,The Knockouts,Riot In Room 3C,1989
378,1962,The Exciters,Hard Way To Go,1989
379,1968,The Beatles,Revolution,1989
380,1961,Gene Pitney,Air Mail Special Delivery,1989
381,1970,Elton John,Take Me To The Pilot,1989
382,1957,Buddy Knox With The Rhythm Orchids,My Baby's Gone,1989
383,1961,The Everly Brothers,I'm Not Angry,1989
384,1959,Neil Sedaka,One Way Ticket (To The Blues),1989
385,1953,The Flamingos,Carried Away,1989
386,1964,The Beach Boys,Why Do Fools Fall In Love,1989
387,1957,Fats Domino,I'm In The Mood For Love,1989
388,1957,Little Joe And The Thrillers,Lilly Lou,1989
389,1968,The Foundations,New Direction,1989
390,1963,Chantay's,Move It,1989
391,1963,The Beach Boys,Little Deuce Coupe,1989
392,1967,Cream,Swlabr,1989
393,1975,The Four Seasons,Slip Away,1989
394,1962,Brian Hyland,Summer Job,1989
395,1956,Guy Mitchell,Crazy With Love,1989
396,1962,The Marvelettes,"Someday, Someway",1989
397,1965,The Jive Five (Featuring Eugene Pitt),"Kiss, Kiss, Kiss",1989
398,1958,Dion And The Belmonts,I Can't Go On (Rosalie),1989
399,1958,The Everly Brothers,Claudette,1989
400,1958,The Pastels [New York],My One And Only Dream,1989
401,1967,The Association,Never My Love,1989
402,1959,The Skyliners,It Happened Today,1989
403,1960,Ray Charles,Georgia On My Mind,1989
404,1968,Steppenwolf,Born To Be Wild,1989
405,1958,The Students,I'm So Young,1989
406,1965,Bob Dylan,Positively 4th Street,1989
407,1959,The Viscounts [USA],Harlem Nocturne,1989
408,1967,Soul Survivors,Expressway To Your Heart,1989
409,1957,The Coasters,Searchin',1989
410,1962,Ray Charles,I Can't Stop Loving You,1989
411,1958,Pony-Tails,Born Too Late,1989
412,1963,Barbara Lewis,Hello Stranger,1989
413,1959,The Genies,Who's That Knocking,1989
414,1970,The Supremes,Up The Ladder To The Roof,1989
415,1965,The Byrds,Turn! Turn! Turn! (To Everything There Is A Season),1989
416,1963,The 4 Seasons,Walk Like A Man,1989
417,1973,Skylark,Wildflower,1989
418,1962,The Duprees,My Own True Love,1989
419,1958,Connie Francis,Stupid Cupid,1989
420,1970,The Grass Roots,Temptation Eyes,1989
421,1964,The Beatles,Love Me Do,1989
422,1969,Brooklyn Bridge,Your Husband - My Wife,1989
423,1960,Neil Sedaka,Calendar Girl,1989
424,1958,Harvey And The Moonglows,Ten Commandments Of Love,1989
425,1963,The Crystals,Then He Kissed Me,1989
426,1972,Roberta Flack,The First Time Ever I Saw Your Face,1989
427,1978,The BeatlesA,Sgt. Pepper's Lonely Hearts Club BandA,1989
428,1967,Van Morrison,Brown Eyed Girl,1989
429,1960,Ben E. King,Spanish Harlem,1989
430,1968,Tommy James And The Shondells,Mony Mony,1989
431,1969,Jay And The Americans,Walkin' In The Rain,1989
432,1957,The Crickets,That'll Be The Day,1989
433,1966,The Critters,Mr. Dieingly Sad,1989
434,1968,The Union Gap Featuring Gary Puckett,Young Girl,1989
435,1959,Mark Dinning,Teen Angel,1989
436,1960,Bobby Rydell,Volare,1989
437,1966,The Casinos,Then You Can Tell Me Goodbye,1989
438,1968,The Monkees,Valleri,1989
439,1966,Isley Brothers,This Old Heart Of Mine (Is Weak For You),1989
440,1966,The Supremes,You Can't Hurry Love,1989
441,1959,Fleetwoods,Come Softly To Me,1989
442,1965,The Beach Boys,Barbara Ann,1989
443,1971,Paul Stookey,Wedding Song (There Is Love),1989
444,1959,The Shirelles,Dedicated To The One I Love,1989
445,1963,Beach Boys,Surfin' U.S.A.,1989
446,1967,Four Tops,Bernadette,1989
447,1963,Jan And Dean,Surf City,1989
448,1958,The Fascinators,Chapel Bells,1989
449,1958,Big Bopper,Chantilly Lace,1989
450,1963,Vito And The Salutations,Unchained Melody,1989
401,1967,The Association,Requiem For The Masses,1989
402,1959,The Skyliners,Lonely Way,1989
403,1960,Ray Charles,Carry Me Back To Old Virginny,1989
404,1968,Steppenwolf,Everybody's Next One,1989
405,1958,The Students,Everyday Of The Week,1989
406,1965,Bob Dylan,From A Buick 6,1989
407,1959,The Viscounts [USA],Dig,1989
408,1967,Soul Survivors,Hey Gyp,1989
409,1957,The Coasters,Young Blood,1989
410,1962,Ray Charles,Born To Lose,1989
411,1958,Pony-Tails,Come On Joey Dance With Me,1989
412,1963,Barbara Lewis,Think A Little Sugar,1989
413,1959,The Genies,The First Time,1989
414,1970,The Supremes,"Bill, When Are You Coming Back",1989
415,1965,The Byrds,She Don't Care About Time,1989
416,1963,The 4 Seasons,Lucky Ladybug,1989
417,1973,Skylark,The Writing's On The Wall,1989
418,1962,The Duprees,Ginny,1989
419,1958,Connie Francis,Carolina Moon,1989
420,1970,The Grass Roots,Keepin' Me Down,1989
421,1964,The Beatles,P.S. I Love You,1989
422,1969,Brooklyn Bridge,Upside Down (Inside Out),1989
423,1960,Neil Sedaka,The Same Old Fool,1989
424,1958,Harvey And The Moonglows,Mean Old Blues,1989
425,1963,The Crystals,Brother Julius,1989
426,1972,Roberta Flack,Trade Winds,1989
427,1978,The BeatlesA,With A Little Help From My FriendsB1,1989
428,1967,Van Morrison,Goodbye Baby (Baby Goodbye),1989
429,1960,Ben E. King,First Taste Of Love,1989
430,1968,Tommy James And The Shondells,One Two Three And I Fell,1989
431,1969,Jay And The Americans,(I'd Kill) For The Love Of A Lady,1989
432,1957,The Crickets,I'm Lookin' For Someone To Love,1989
433,1966,The Critters,It Just Won't Be That Way,1989
434,1968,The Union Gap Featuring Gary Puckett,I'm Losing You,1989
435,1959,Mark Dinning,Bye Now Baby,1989
436,1960,Bobby Rydell,I'd Do It Again,1989
437,1966,The Casinos,I Still Love You,1989
438,1968,The Monkees,Tapioca Tundra,1989
439,1966,Isley Brothers,There's No Love Left,1989
440,1966,The Supremes,Put Yourself In My Place,1989
441,1959,Fleetwoods,I Care So Much,1989
442,1965,The Beach Boys,Girl Don't Tell Me,1989
443,1971,Paul Stookey,Give A Damn,1989
444,1959,The Shirelles,Look A Here Baby,1989
445,1963,Beach Boys,Shut Down,1989
446,1967,Four Tops,I Got A Feeling,1989
447,1963,Jan And Dean,She's My Summer Girl,1989
448,1958,The Fascinators,I Wonder Who,1989
449,1958,Big Bopper,Purple People Eater Meets Witch Doctor,1989
450,1963,Vito And The Salutations,"Hey, Hey, Baby",1989
451,1957,Crest's,My Juanita,1989
452,1957,Frankie Lymon,Goody Goody,1989
453,1966,The Beatles,Yellow Submarine,1989
454,1961,The Dreamlovers,When We Get Married,1989
455,1958,Brook Benton,It's Just A Matter Of Time,1989
456,1960,Carla Thomas,Gee Whiz (Look At His Eyes),1989
457,1963,Jackie Wilson,Baby Workout,1989
458,1974,The Stylistics,You Make Me Feel Brand New,1989
459,1965,The Lovin' Spoonful,Do You Believe In Magic,1989
460,1966,The Beatles,Nowhere Man,1989
461,1973,Paul Simon,Kodachrome,1989
462,1962,Ruby And The Romantics,Our Day Will Come,1989
463,1966,Jimmy Ruffin,What Becomes Of The Brokenhearted,1989
464,1962,Dion,Love Came To Me,1989
465,1961,The Caslons,Anniversary Of Love,1989
466,1966,The Beatles,Yellow Submarine,1989
467,1958,The Five Discs,I Remember,1989
468,1961,Bobby Lewis,Tossin' And Turnin',1989
469,1966,The Monkees,Last Train To Clarksville,1989
470,1969,Zager And Evans,In The Year 2525 (Exordium & Terminus),1989
471,1963,The Drifters,On Broadway,1989
472,1965,The Supremes,Stop! In The Name Of Love,1989
473,1971,Carole King,It's Too Late,1989
474,1967,The Cowsills,"The Rain, The Park And Other Things",1989
475,1970,Carpenters,We've Only Just Begun,1989
476,1969,The Archies,"Sugar, Sugar",1989
477,1972,Elton John,Crocodile Rock,1989
478,1970,Badfinger,Come And Get It,1989
479,1967,Scott McKenzie,San Francisco (Be Sure To Wear Flowers In Your Hair),1989
480,1955,Little Richard And His Band,Tutti-Frutti,1989
481,1973,John Lennon,Mind Games,1989
482,1956,Chuck Berry And His Combo,Roll Over Beethoven,1989
483,1966,Shadows Of Knight,Gloria,1989
484,1963,Freddie Scott,"Hey, Girl",1989
485,1966,The Lovin' Spoonful,Summer In The City,1989
486,1974,The Hollies,The Air That I Breathe,1989
487,1967,The Association,Windy,1989
488,1964,The Reflections [Detroit],(Just Like) Romeo And Juliet,1989
489,1966,Los Bravos,Black Is Black,1989
490,1955,The Turbans,When You Dance,1989
491,1958,Bobby Day,Rock-In Robin,1989
492,1958,Frankie Ford,Sea Cruise,1989
493,1976,Elvis Presley,Moody Blue,1989
494,1956,Clyde McPhatter,Treasure Of Love,1989
495,1987,Bill Medley And Jennifer Warnes,"(I've Had) The Time Of My Life (Love Theme From ""Dirty Dancing"")Mickey And Sylvia",1989
496,1958,Elvis Presley,Don't,1989
497,1970,The Jackson 5,I'll Be There,1989
498,1967,Strawberry Alarm Clock,Incense And Peppermints,1989
499,1958,Chuck Berry,Sweet Little Sixteen,1989
500,1966,Swingin' Medallions,Double Shot (Of My Baby's Love),1989
451,1957,Crest's,Sweetest One,1989
452,1957,Frankie Lymon,Creation Of Love,1989
453,1966,The Beatles,Eleanor Rigby,1989
454,1961,The Dreamlovers,Just Because,1989
455,1958,Brook Benton,Hurtin' Inside,1989
456,1960,Carla Thomas,For You,1989
457,1963,Jackie Wilson,I'm Going Crazy (Gotta Get You Off My Mind),1989
458,1974,The Stylistics,Only For The Children,1989
459,1965,The Lovin' Spoonful,On The Road Again,1989
460,1966,The Beatles,What Goes On,1989
461,1973,Paul Simon,Tenderness,1989
462,1962,Ruby And The Romantics,Moonlight And Music,1989
463,1966,Jimmy Ruffin,Baby I've Got It,1989
464,1962,Dion,Little Girl,1989
465,1961,The Caslons,The Quiet One,1989
466,1966,The Beatles,Eleanor Rigby,1989
467,1958,The Five Discs,The World Is A Beautiful Place,1989
468,1961,Bobby Lewis,"Oh Yes, I Love You",1989
469,1966,The Monkees,Take A Giant Step,1989
470,1969,Zager And Evans,Little Kids,1989
471,1963,The Drifters,Let The Music Play,1989
472,1965,The Supremes,I'm In Love Again,1989
473,1971,Carole King,I Feel The Earth Move,1989
474,1967,The Cowsills,River Blue,1989
475,1970,Carpenters,All Of My Life,1989
476,1969,The Archies,Melody Hill,1989
477,1972,Elton John,Elderberry Wine,1989
478,1970,Badfinger,Rock Of All Ages,1989
479,1967,Scott McKenzie,What's The Difference,1989
480,1955,Little Richard And His Band,I'm Just A Lonely Guy,1989
481,1973,John Lennon,Meat City,1989
482,1956,Chuck Berry And His Combo,Drifting Heart,1989
483,1966,Shadows Of Knight,Dark Side,1989
484,1963,Freddie Scott,The Slide,1989
485,1966,The Lovin' Spoonful,Butchie's Tune,1989
486,1974,The Hollies,No More Riders,1989
487,1967,The Association,Sometime,1989
488,1964,The Reflections [Detroit],Can't You Tell By The Look In My Eyes,1989
489,1966,Los Bravos,I Want A Name,1989
490,1955,The Turbans,Let Me Show You (Around My Heart),1989
491,1958,Bobby Day,Over And Over,1989
492,1958,Frankie Ford,Roberta,1989
493,1976,Elvis Presley,She Thinks I Still Care,1989
494,1956,Clyde McPhatter,When You're Sincere,1989
495,1987,Bill Medley And Jennifer Warnes,Love Is Strange,1989
496,1958,Elvis Presley,I Beg Of You,1989
497,1970,The Jackson 5,One More Chance,1989
498,1967,Strawberry Alarm Clock,The Birdman Of Alkatrash,1989
499,1958,Chuck Berry,Reelin And Rocking,1989
500,1966,Swingin' Medallions,Here It Comes Again,1989
