Rank,Year,Artist,Song1,Chart_Year
79,1964,The 4 Seasons,Dawn (Go Away),1989
80,1962,The Drifters,Up On The Roof,1989
81,1955,The Teenagers Featuring Frankie Lymon,Why Do Fools Fall In Love,1989
82,1972,Led Zeppelin,Stairway To Heaven [Mono],1989
83,1969,Frank Sinatra,My Way,1989
84,1965,The Righteous Brothers,Hung On You,1989
85,1961,Roy Orbison,Crying,1989
86,1957,Danny And The Juniors,At The Hop,1989
87,1958,Eddie Cochran,Summertime Blues,1989
88,1984,Billy Joel,The Longest Time,1989
89,1957,Johnny Mathis,Chances Are,1989
90,1955,The Platters,The Great Pretender,1989
91,1963,Randy And The Rainbows,Denise,1989
92,1957,The Charts,Deserie,1989
93,1956,Elvis Presley,"I Want You, I Need You, I Love You",1989
94,1962,The Contours,Do You Love Me,1989
95,1969,Tommy James And The Shondells,Crystal Blue Persuasion,1989
96,1957,Elvis Presley With The Jordanaires,Loving You,1989
97,1967,Aretha Franklin,Respect,1989
98,1960,Safaris,Image Of A Girl,1989
99,1971,John Lennon / Plastic Ono Band,Imagine,1989
100,1964,The Beatles,She Loves You,1989
51,1957,The Rays,Daddy Cool,1989
52,1959,The Isley Brothers,Shout - Part 2,1989
53,1961,Ben E. King,On The Horizon,1989
54,1971,Don McLean,American Pie - Part II,1989
55,1957,The Chantels,Come My Little Baby,1989
56,1959,Percy Faith And His Orchestra,Go-Go-Po-Go,1989
57,1960,Elvis Presley With The Jordanaires,I Gotta Know,1989
58,1958,The Platters,No Matter What You Are,1989
59,1957,The Dubs,Such Lovin',1989
60,1966,Peaches And Herb,Let's Fall In Love,1989
61,1969,Elvis Presley,You'll Think Of Me,1989
62,1961,Dion,The Majestic,1989
63,1954,Johnny Ace,No Money,1989
64,1965,The Beatles,Act Naturally,1989
65,1961,Del Shannon,Jody,1989
66,1964,Roy Orbison And The Candy Men,Yo Te Amo Maria,1989
67,1957,The Diamonds,Faithful And True,1989
68,1961,Chubby Checker,Twistin' U.S.A.,1989
69,1962,The Excellents,You Baby You,1989
70,1959,The Passions,Oh Melancholy Me,1989
71,1967,The Turtles,Like The Seasons,1989
72,1957,Billy Ward And His Dominoes,Lucinda,1989
73,1980,Frank Sinatra,That's What God Looks Like To Me,1989
74,1961,Gene Chandler,Kissin' In The Kitchen,1989
75,1959,Dion And The Belmonts,That's My Desire,1989
76,1963,The Earls,I Keep A Tellin' You,1989
77,1959,The Skyliners,Tomorrow,1989
78,1958,The Aquatones,You,1989
79,1964,The 4 Seasons,No Surfin' Today,1989
80,1962,The Drifters,Another Night With The Boys,1989
81,1955,The Teenagers Featuring Frankie Lymon,Please Be Mine,1989
82,1972,Led Zeppelin,Stairway To Heaven [Stereo],1989
83,1969,Frank Sinatra,Blue Lace,1989
84,1965,The Righteous Brothers,Unchained Melody,1989
85,1961,Roy Orbison,Candy Man,1989
86,1957,Danny And The Juniors,Sometimes (When I'm All Alone),1989
87,1958,Eddie Cochran,Love Again,1989
88,1984,Billy Joel,Christie Lee,1989
89,1957,Johnny Mathis,The Twelfth Of Never,1989
90,1955,The Platters,I'm Just A Dancing Partner,1989
91,1963,Randy And The Rainbows,Come Back,1989
92,1957,The Charts,Zoop,1989
93,1956,Elvis Presley,My Baby Left Me,1989
94,1962,The Contours,Move Mr. Man,1989
95,1969,Tommy James And The Shondells,I'm Alive,1989
96,1957,Elvis Presley With The Jordanaires,(Let Me Be Your) Teddy Bear,1989
97,1967,Aretha Franklin,Dr. Feelgood,1989
98,1960,Safaris,4 Steps To Love,1989
99,1971,John Lennon / Plastic Ono Band,It's So Hard,1989
100,1964,The Beatles,I'll Get You,1989
101,1963,Lesley Gore,It's My Party,1989
102,1968,Creedence Clearwater Revival,Proud Mary,1989
