Rank,Year,Artist,Song1,Chart_Year
67,1961,Del Shannon,Runaway,1983
67,1961,Del Shannon,Jody,1983
68,1955,The Teenagers Featuring Frankie Lymon,Why Do Fools Fall In Love,1983
68,1955,The Teenagers Featuring Frankie Lymon,Please Be Mine,1983
69,1957,The Charts,Deserie,1983
69,1957,The Charts,Zoop,1983
70,1980,Frank Sinatra,"Theme From New York, New York",1983
70,1980,Frank Sinatra,That's What God Looks Like To Me,1983
71,1961,The Marcels,Blue Moon,1983
71,1961,The Marcels,Goodbye To Love,1983
72,1966,The Association,Cherish,1983
72,1966,The Association,Don't Blame It On Me,1983
73,1970,The Jackson 5,I'll Be There,1983
73,1970,The Jackson 5,One More Chance,1983
74,1982,Lionel Richie,Truly,1983
74,1982,Lionel Richie,Just Put Some Love In Your Heart,1983
75,1964,The Drifters,Under The Boardwalk,1983
75,1964,The Drifters,I Don't Want To Go On Without You,1983
76,1957,The Diamonds,Little Darlin',1983
76,1957,The Diamonds,Faithful And True,1983
77,1963,The Beatles,I Want To Hold Your Hand,1983
77,1963,The Beatles,I Saw Her Standing There,1983
78,1960,Safaris,Image Of A Girl,1983
78,1960,Safaris,4 Steps To Love,1983
79,1956,Elvis Presley,Hound Dog,1983
79,1956,Elvis Presley,Don't Be Cruel,1983
80,1968,Elvis Presley,If I Can Dream,1983
80,1968,Elvis Presley,Edge Of Reality,1983
81,1958,Lee Andrews And The Hearts,Try The Impossible,1983
81,1958,Lee Andrews And The Hearts,Nobody's Home,1983
82,1959,The Dubs,Chapel Of Dreams,1983
82,1959,The Dubs,Is There A Love For Me,1983
83,1963,Vito And The Salutations,Unchained Melody,1983
83,1963,Vito And The Salutations,"Hey, Hey, Baby",1983
84,1959,The Skyliners,This I Swear,1983
84,1959,The Skyliners,Tomorrow,1983
85,1954,The Moonglows,Sincerely,1983
85,1954,The Moonglows,Tempting,1983
86,1963,The Tymes,So Much In Love,1983
86,1963,The Tymes,Roscoe James McClain,1983
87,1960,The Capris [New York],There's A Moon Out Tonight,1983
87,1960,The Capris [New York],Indian Girl,1983
88,1954,The Cadillacs,Gloria,1983
88,1954,The Cadillacs,I Wonder Why,1983
89,1959,Dion And The Belmonts,A Teenager In Love,1983
89,1959,Dion And The Belmonts,I've Cried Before,1983
90,1959,Percy Faith And His Orchestra,"The Theme From ""A Summer Place""",1983
90,1959,Percy Faith And His Orchestra,Go-Go-Po-Go,1983
91,1964,The Righteous Brothers,You've Lost That Lovin' Feelin',1983
91,1964,The Righteous Brothers,There's A Woman,1983
92,1964,The Supremes,Baby Love,1983
92,1964,The Supremes,Ask Any Girl,1983
93,1961,Chubby Checker,The Twist,1983
93,1961,Chubby Checker,Twistin' U.S.A.,1983
94,1972,Led Zeppelin,Stairway To Heaven [Mono],1983
94,1972,Led Zeppelin,Stairway To Heaven [Stereo],1983
95,1972,Elvis Presley,Burning Love,1983
95,1972,Elvis Presley,It's A Matter Of Time,1983
96,1959,Dion And The Belmonts,Where Or When,1983
96,1959,Dion And The Belmonts,That's My Desire,1983
97,1961,Dion,The Wanderer,1983
97,1961,Dion,The Majestic,1983
98,1963,The Duprees,Have You Heard,1983
98,1963,The Duprees,Love Eyes,1983
99,1956,Elvis Presley,Heartbreak Hotel,1983
99,1956,Elvis Presley,I Was The One,1983
100,1958,Tommy Edwards,It's All In The Game,1983
100,1958,Tommy Edwards,Please Love Me Forever,1983
101,1965,Simon And Garfunkel,The Sounds Of Silence,1983
101,1965,Simon And Garfunkel,We've Got A Groovey Thing Goin',1983
102,1954,Johnny Ace,Pledging My Love,1983
102,1954,Johnny Ace,No Money,1983
103,1969,Elvis Presley,Memories,1983
103,1969,Elvis Presley,Charro,1983
104,1962,The Five Discs,Never Let You Go,1983
104,1962,The Five Discs,That Was The Time,1983
105,1956,Elvis Presley,"I Want You, I Need You, I Love You",1983
105,1956,Elvis Presley,My Baby Left Me,1983
106,1970,The Beatles,Let It Be,1983
106,1970,The Beatles,You Know My Name (Look Up My Number),1983
107,1958,Harvey And The Moonglows,Ten Commandments Of Love,1983
107,1958,Harvey And The Moonglows,Mean Old Blues,1983
108,1956,The Heartbeats [Doo Wop],A Thousand Miles Away,1983
108,1956,The Heartbeats [Doo Wop],Oh Baby Don't,1983
109,1958,The Videos,"Trickle, Trickle",1983
109,1958,The Videos,"Moonglow, You Know",1983
110,1963,The Ronettes,Be My Baby,1983
110,1963,The Ronettes,Tedesco And Pitman,1983
111,1963,The Chiffons,He's So Fine,1983
111,1963,The Chiffons,Oh My Lover,1983
112,1977,Billy Joel,Just The Way You Are,1983
112,1977,Billy Joel,Get It Right The First Time,1983
113,1959,Bobby Darin,Dream Lover,1983
113,1959,Bobby Darin,Bullmoose,1983
114,1959,The Impalas,Sorry (I Ran All The Way Home),1983
114,1959,The Impalas,"Fool, Fool, Fool",1983
115,1972,The Moody Blues,Nights In White Satin,1983
115,1972,The Moody Blues,Cities,1983
116,1983,Billy Joel,Uptown Girl,1983
116,1983,Billy Joel,Careless Talk,1983
117,1960,The Platters,Harbor Lights,1983
117,1960,The Platters,Sleepy Lagoon,1983
118,1964,The Temptations,My Girl,1983
118,1964,The Temptations,(Talking 'Bout) Nobody But My Baby,1983
119,1968,Richard Harris,Mac Arthur Park,1983
119,1968,Richard Harris,Didn't We,1983
120,1958,The Aquatones,She's The One For Me,1983
120,1958,The Aquatones,You,1983
121,1956,The Channels,The Closer You Are,1983
121,1956,The Channels,Now You Know (I Love You So),1983
122,1957,Elvis Presley,All Shook Up,1983
122,1957,Elvis Presley,That's When Your Heartaches Begin,1983
123,1963,Patti La Belle And The Blue Belles,Down The Aisle (Wedding Song),1983
123,1963,Patti La Belle And The Blue Belles,C'est La Vie (So Goes Life),1983
124,1970,The Jackson 5,ABC,1983
124,1970,The Jackson 5,The Young Folks,1983
125,1971,Chicago,Beginnings,1983
125,1971,Chicago,Colour My World,1983
126,1961,The Tokens,The Lion Sleeps Tonight,1983
126,1961,The Tokens,Tina,1983
127,1959,The Coasters,Poison Ivy,1983
127,1959,The Coasters,I'm A Hog For You,1983
128,1972,Harry Chapin,Taxi,1983
128,1972,Harry Chapin,Empty,1983
129,1957,The Chantels,He's Gone,1983
129,1957,The Chantels,The Plea,1983
130,1968,Jay And The Americans,This Magic Moment,1983
130,1968,Jay And The Americans,Since I Don't Have You,1983
131,1965,Lou Christie,Lightnin' Strikes,1983
131,1965,Lou Christie,Cryin' In The Streets,1983
132,1964,Mary Wells,My Guy,1983
132,1964,Mary Wells,Oh Little Boy (What Did You Do To Me),1983
133,1961,The Cleftones,Heart And Soul,1983
133,1961,The Cleftones,How Do You Feel,1983
134,1959,Frankie Avalon,Venus,1983
134,1959,Frankie Avalon,I'm Broke,1983
135,1966,The Beach Boys,Good Vibrations,1983
135,1966,The Beach Boys,Let's Go Away For Awhile,1983
136,1958,Buddy Holly,Rave On,1983
136,1958,Buddy Holly,Take Your Time,1983
137,1982,Laura Branigan,Gloria,1983
137,1982,Laura Branigan,Living A Lie,1983
138,1962,Shelley Fabares,Johnny Angel,1983
138,1962,Shelley Fabares,Where's It Gonna Get Me?,1983
139,1957,Elvis Presley With The Jordanaires,Loving You,1983
139,1957,Elvis Presley With The Jordanaires,(Let Me Be Your) Teddy Bear,1983
140,1966,The 4 Seasons,Opus 17 (Don't You Worry 'Bout Me),1983
140,1966,The 4 Seasons,Beggars' Parade,1983
141,1953,The Harp-Tones,A Sunday Kind Of Love,1983
141,1953,The Harp-Tones,I'll Never Tell,1983
142,1962,The Drifters,Up On The Roof,1983
142,1962,The Drifters,Another Night With The Boys,1983
143,1960,"The Chimes [60s, Brooklyn]",Once In Awhile,1983
143,1960,"The Chimes [60s, Brooklyn]",Summer Night,1983
144,1960,Fats Domino,My Girl Josephine,1983
144,1960,Fats Domino,Natural Born Lover,1983
145,1977,Debby Boone,You Light Up My Life,1983
145,1977,Debby Boone,Hasta Mañana,1983
146,1957,Elvis Presley With The Jordanaires,Loving You,1983
146,1957,Elvis Presley With The Jordanaires,(Let Me Be Your) Teddy Bear,1983
147,1961,The Marvelettes,Please Mr. Postman,1983
147,1961,The Marvelettes,So Long Baby,1983
148,1957,Paul Anka,Diana,1983
148,1957,Paul Anka,Don't Gamble With Love,1983
149,1958,Ritchie Valens,Donna,1983
149,1958,Ritchie Valens,La Bamba,1983
150,1963,Randy And The Rainbows,Denise,1983
150,1963,Randy And The Rainbows,Come Back,1983
151,1970,Diana Ross,Ain't No Mountain High Enough,1983
151,1970,Diana Ross,Can't It Wait Until Tomorrow,1983
152,1962,The Exciters,Tell Him,1983
152,1962,The Exciters,Hard Way To Go,1983
153,1957,The Crickets,That'll Be The Day,1983
153,1957,The Crickets,I'm Lookin' For Someone To Love,1983
154,1955,The Nutmegs,Story Untold,1983
154,1955,The Nutmegs,Make Me Lose My Mind,1983
155,1965,Four Tops,I Can't Help Myself,1983
155,1965,Four Tops,Sad Souvenirs,1983
156,1958,The Platters,Twilight Time,1983
156,1958,The Platters,Out Of My Mind,1983
157,1962,Elvis Presley With The Jordanaires,Return To Sender,1983
157,1962,Elvis Presley With The Jordanaires,Where Do You Come From,1983
158,1966,The Supremes,You Can't Hurry Love,1983
158,1966,The Supremes,Put Yourself In My Place,1983
159,1965,The Toys,A Lover's Concerto,1983
159,1965,The Toys,This Night,1983
160,1958,Elvis Presley,One NightElvis Presley With The Jordanaires,1983
160,1958,Elvis Presley,I Got Stung,1983
161,1963,The Earls,Never,1983
161,1963,The Earls,I Keep A Tellin' You,1983
162,1980,Kenny Rogers,Lady,1983
162,1980,Kenny Rogers,Sweet Music Man,1983
163,1961,Connie Francis,Where The Boys Are,1983
163,1961,Connie Francis,No One,1983
164,1957,Buddy Holly,Peggy Sue,1983
164,1957,Buddy Holly,Everyday,1983
165,1956,Willows,Church Bells May Ring,1983
165,1956,Willows,Baby Tell Me,1983
166,1964,The Dave Clark Five,Because,1983
166,1964,The Dave Clark Five,Theme Without A Name,1983
167,1958,The Shields,You Cheated,1983
167,1958,The Shields,That's The Way It's Gonna Be,1983
168,1956,"Elvis PresleyELVIS, Volume 1A",Rip It UpA,1983
168,1956,"Elvis PresleyELVIS, Volume 1A",Love MeB1,1983
169,1961,Dion,Runaround Sue,1983
169,1961,Dion,Runaway Girl,1983
170,1963,The Earls,Eyes,1983
170,1963,The Earls,Look My Way,1983
171,1961,Fats Domino,Let The Four Winds Blow,1983
171,1961,Fats Domino,Good Hearted Man,1983
172,1956,Sonny James (The Southern Gentleman),Young Love,1983
172,1956,Sonny James (The Southern Gentleman),You're The Reason I'm In Love,1983
173,1963,The Shirelles,Foolish Little Girl,1983
173,1963,The Shirelles,Not For All The Money In The World,1983
174,1958,The Chantels,I Love You So,1983
174,1958,The Chantels,How Could You Call It Off,1983
175,1969,Elvis Presley,In The Ghetto,1983
175,1969,Elvis Presley,Any Day Now,1983
176,1957,The Bobbettes,Mr. Lee,1983
176,1957,The Bobbettes,Look At The Stars,1983
177,1957,Lee Andrews And The Hearts,Long Lonely Nights,1983
177,1957,Lee Andrews And The Hearts,The Clock,1983
178,1958,The Teddy Bears,"To Know Him, Is To Love Him",1983
178,1958,The Teddy Bears,Don't You Worry My Little Pet,1983
179,1959,The Knockouts,Darling Lorraine,1983
179,1959,The Knockouts,Riot In Room 3C,1983
180,1958,The Fascinators,Chapel Bells,1983
180,1958,The Fascinators,I Wonder Who,1983
181,1957,Lee Andrews And The Hearts,Teardrops,1983
181,1957,Lee Andrews And The Hearts,The Girl Around The Corner,1983
182,1965,The Mama's And The Papa's,California Dreamin',1983
182,1965,The Mama's And The Papa's,Somebody Groovy,1983
183,1959,The Passions,Just To Be With You,1983
183,1959,The Passions,Oh Melancholy Me,1983
184,1962,Freddy Cannon,Palisades Park,1983
184,1962,Freddy Cannon,"June, July, And August",1983
185,1957,The Deltairs,Lullaby Of The Bells,1983
185,1957,The Deltairs,It's Only You Dear,1983
186,1956,The Clovers,Devil Or Angel,1983
186,1956,The Clovers,"Hey, Doll Baby",1983
187,1958,Elvis Presley,Don't,1983
187,1958,Elvis Presley,I Beg Of You,1983
188,1961,Shep And The Limelites,Daddy's Home,1983
188,1961,Shep And The Limelites,This I Know,1983
189,1959,Rock-A-Teens,Woo-Hoo,1983
189,1959,Rock-A-Teens,Untrue,1983
190,1973,Barbra Streisand,The Way We Were,1983
190,1973,Barbra Streisand,What Are You Doing The Rest Of Your Life?,1983
191,1977,Heatwave,Always And Forever,1983
191,1977,Heatwave,Super Soul Sister,1983
192,1957,Connie Francis,Who's Sorry Now,1983
192,1957,Connie Francis,You Were Only Fooling (While I Was Falling In Love),1983
193,1960,The Jesters [doowop],The Wind,1983
193,1960,The Jesters [doowop],Sally Green,1983
194,1962,The Excellents,Coney Island Baby,1983
194,1962,The Excellents,You Baby You,1983
195,1963,The Crystals,Da Doo Ron Ron (When He Walked Me Home),1983
195,1963,The Crystals,Git' It,1983
196,1957,Johnny Mathis,Chances Are,1983
196,1957,Johnny Mathis,The Twelfth Of Never,1983
197,1959,Paul Anka,Put Your Head On My Shoulder,1983
197,1959,Paul Anka,Don't Ever Leave Me,1983
198,1964,The Animals,The House Of The Rising Sun,1983
198,1964,The Animals,Talkin' 'Bout You,1983
199,1961,The Earls,Life Is But A Dream,1983
199,1961,The Earls,It's You,1983
200,1969,The Beatles,Something,1983
200,1969,The Beatles,Come Together,1983
201,1963,The Orlons,South Street,1983
201,1963,The Orlons,Them Terrible Boots,1983
202,1969,The Jackson 5,I Want You Back,1983
202,1969,The Jackson 5,Who's Lovin' You,1983
203,1962,Marcie Blane,Bobby's Girl,1983
203,1962,Marcie Blane,A Time To Dream,1983
204,1957,Johnnie And Joe,Over The Mountain Across The Sea,1983
204,1957,Johnnie And Joe,"My Baby's Gone, On, On",1983
205,1957,Bobby Helms,My Special Angel,1983
205,1957,Bobby Helms,Standing At The End Of My World,1983
206,1960,The Shells,Baby Oh Baby,1983
206,1960,The Shells,What's In An Angel's Eyes,1983
207,1962,The Crystals,He's A Rebel,1983
207,1962,The Crystals,I Love You Eddie,1983
208,1958,The Monotones,Book Of Love,1983
208,1958,The Monotones,You Never Loved Me,1983
209,1960,The Drifters,Save The Last Dance For Me,1983
209,1960,The Drifters,Nobody But Me,1983
210,1965,The Beach Boys,Barbara Ann,1983
210,1965,The Beach Boys,Girl Don't Tell Me,1983
211,1967,Frankie Valli,Can't Take My Eyes Off You,1983
211,1967,Frankie Valli,The Trouble With Me,1983
212,1973,Dawn Featuring Tony Orlando,Tie A Yellow Ribbon Round The Ole Oak Tree,1983
212,1973,Dawn Featuring Tony Orlando,I Can't Believe How Much I Love You,1983
213,1964,The 4 Seasons,Dawn (Go Away),1983
213,1964,The 4 Seasons,No Surfin' Today,1983
214,1961,Roy Orbison,Crying,1983
214,1961,Roy Orbison,Candy Man,1983
215,1972,Roberta Flack,The First Time Ever I Saw Your Face,1983
215,1972,Roberta Flack,Trade Winds,1983
216,1975,Bruce Springsteen,Born To Run,1983
216,1975,Bruce Springsteen,Meeting Across The River,1983
217,1963,Elvis Presley With The JordanairesElvis Sings - Vol. 1A,Blue HawaiiA,1983
217,1963,Elvis Presley With The JordanairesElvis Sings - Vol. 1A,No MoreB1,1983
218,1963,The Angels,My Boyfriend's Back,1983
218,1963,The Angels,(Love Me) Now,1983
219,1964,The Beatles,And I Love Her,1983
219,1964,The Beatles,If I Fell,1983
220,1956,The Dells,Oh What A Nite,1983
220,1956,The Dells,Jo-Jo,1983
221,1972,The Stylistics Featuring Russell Thompkins Jr.,"Betcha By Golly, Wow",1983
221,1972,The Stylistics Featuring Russell Thompkins Jr.,Ebony Eyes,1983
222,1963,Lesley Gore,It's My Party,1983
222,1963,Lesley Gore,Danny,1983
223,1974,Barry Manilow,Mandy,1983
223,1974,Barry Manilow,Something's Comin' Up,1983
224,1958,Elvis Presley With The Jordanaires,Hard Headed Woman,1983
224,1958,Elvis Presley With The Jordanaires,Don't Ask Me Why,1983
225,1967,Engelbert Humperdinck,Release Me (And Let Me Love Again),1983
225,1967,Engelbert Humperdinck,Ten Guitars,1983
226,1964,Roy Orbison And The Candy Men,Pretty Woman,1983
226,1964,Roy Orbison And The Candy Men,Yo Te Amo Maria,1983
227,1962,Brian Hyland,Sealed With A Kiss,1983
227,1962,Brian Hyland,Summer Job,1983
228,1956,Elvis Presley,Blue Suede Shoes,1983
228,1956,Elvis Presley,Tutti Frutti,1983
229,1963,Lenny Welch,Since I Fell For You,1983
229,1963,Lenny Welch,Are You Sincere,1983
230,1956,The 3 Friends,Blanche,1983
230,1956,The 3 Friends,Baby I'll Cry,1983
231,1980,Bette Midler,The Rose,1983
231,1980,Bette Midler,Stay With Me,1983
232,1958,Conway Twitty,It's Only Make Believe,1983
232,1958,Conway Twitty,I'll Try,1983
233,1962,Jive Five With Eugene Pitt,What Time Is It?,1983
233,1962,Jive Five With Eugene Pitt,Beggin' You Please,1983
234,1966,The Cyrkle,Red Rubber Ball,1983
234,1966,The Cyrkle,How Can I Leave Her,1983
235,1957,Robert And Johnny,We Belong Together,1983
235,1957,Robert And Johnny,Walking In The Rain,1983
236,1958,The Students,I'm So Young,1983
236,1958,The Students,Every Day Of The Week,1983
237,1956,Gene Vincent And His Blue Caps,Be-Bop-A-Lula,1983
237,1956,Gene Vincent And His Blue Caps,Woman Love,1983
238,1959,Jan And Dean,Baby Talk,1983
238,1959,Jan And Dean,"Jeanette, Get Your Hair Done",1983
239,1960,Rosie And The Originals,Angel Baby,1983
239,1960,Rosie And The Originals,Give Me Love,1983
240,1963,The Classics [Brooklyn],Till Then,1983
240,1963,The Classics [Brooklyn],Enie Minie Mo,1983
241,1964,The Dixie Cups,People Say,1983
241,1964,The Dixie Cups,Girls Can Tell,1983
242,1963,Little Peggy March,I Will Follow Him,1983
242,1963,Little Peggy March,Wind-Up Doll,1983
243,1970,Smokey Robinson And The Miracles,The Tears Of A Clown,1983
243,1970,Smokey Robinson And The Miracles,Promise Me,1983
244,1965,Barry McGuire,Eve Of Destruction,1983
244,1965,Barry McGuire,What Exactly's The Matter With Me,1983
245,1960,Bobby Darin,Beyond The Sea,1983
245,1960,Bobby Darin,That's The Way Love Is,1983
246,1968,The Foundations,Build Me Up Buttercup,1983
246,1968,The Foundations,New Direction,1983
247,1960,The Passions,I Only Want You,1983
247,1960,The Passions,This Is My Love,1983
248,1959,The Drifters,There Goes My Baby,1983
248,1959,The Drifters,Oh My Love,1983
249,1953,The Orioles,Crying In The Chapel,1983
249,1953,The Orioles,Don't You Think I Ought To Know,1983
250,1978,The BeatlesA,Sgt. Pepper's Lonely Hearts Club BandA,1983
250,1978,The BeatlesA,With A Little Help From My FriendsB1,1983
251,1972,Luther Ingram,(If Loving You Is Wrong) I Don't Want To Be Right,1983
251,1972,Luther Ingram,Puttin' Game Down,1983
252,1957,The Channels,That's My Desire,1983
252,1957,The Channels,Stay As You Are,1983
253,1958,Cozy Cole,Topsy I,1983
253,1958,Cozy Cole,Topsy II,1983
254,1965,The Beatles,Help!,1983
254,1965,The Beatles,I'm Down,1983
255,1983,The Police,Every Breath You Take,1983
255,1983,The Police,Murder By Numbers,1983
256,1963,The Chiffons,One Fine Day,1983
256,1963,The Chiffons,Why Am I So Shy,1983
257,1964,The Beach Boys,"Fun, Fun, Fun",1983
257,1964,The Beach Boys,Why Do Fools Fall In Love,1983
258,1958,The Flamingos,Lovers Never Say Goodbye,1983
258,1958,The Flamingos,That Love Is You,1983
259,1963,The 4 Seasons,Walk Like A Man,1983
259,1963,The 4 Seasons,Lucky Ladybug,1983
260,1981,Diana Ross And Lionel Richie,Endless Love (Vocal),1983
260,1981,Diana Ross And Lionel Richie,Endless Love (Instrumental),1983
261,1960,The Crests,Step By Step,1983
261,1960,The Crests,Gee (But I'd Give The World),1983
262,1979,Commodores,Still,1983
262,1979,Commodores,Such A Woman,1983
263,1958,Dion And The Belmonts,No One Knows,1983
263,1958,Dion And The Belmonts,I Can't Go On (Rosalie),1983
264,1970,The Beatles,The Long And Winding Road,1983
264,1970,The Beatles,For You Blue,1983
265,1956,The Schoolboys [DooWop],Shirley,1983
265,1956,The Schoolboys [DooWop],Please Say You Want Me,1983
266,1962,The 4 Seasons,Big Girls Don't Cry,1983
266,1962,The 4 Seasons,Connie-O,1983
267,1963,Bobby Vinton,Blue Velvet,1983
267,1963,Bobby Vinton,Is There A Place (Where I Can Go),1983
268,1965,Four Tops,It's The Same Old Song,1983
268,1965,Four Tops,Your Love Is Amazing,1983
269,1958,The Students,I'm So Young,1983
269,1958,The Students,Everyday Of The Week,1983
270,1963,The Murmaids,Popsicles And IciclesThe Murmaids Band,1983
270,1963,The Murmaids,Huntington Flats,1983
271,1967,Procol Harum,A Whiter Shade Of Pale,1983
271,1967,Procol Harum,Lime Street Blues,1983
272,1964,The Supremes,Where Did Our Love Go,1983
272,1964,The Supremes,He Means The World To Me,1983
273,1976,Elvis Presley,Moody Blue,1983
273,1976,Elvis Presley,She Thinks I Still Care,1983
274,1969,The Rolling Stones,Honky Tonk Women,1983
274,1969,The Rolling Stones,You Can't Always Get What You Want,1983
275,1958,The Coasters,Yakety Yak,1983
275,1958,The Coasters,Zing! Went The Strings Of My Heart,1983
