Rank,Year,Artist,Song1,Chart_Year
1,1956,The Five Satins,In The Still Of The Nite,1983
1,1956,The Five Satins,The Jones Girl,1983
2,1954,The Penguins,Hey Senorita,1983
2,1954,The Penguins,Earth Angel,1983
3,1960,The Shirelles,Will You Love Me Tomorrow,1983
3,1960,The Shirelles,Boys,1983
4,1977,Elvis Presley,My Way,1983
4,1977,Elvis Presley,America,1983
5,1957,Mello-Kings,"Tonite, Tonite",1983
5,1957,Mello-Kings,Do Baby Do,1983
6,1961,Elvis Presley,Can't Help Falling In Love,1983
6,1961,Elvis Presley,Rock-A-Hula Baby,1983
7,1962,The Shirelles,Soldier Boy,1983
7,1962,The Shirelles,Love Is A Swingin' Thing,1983
8,1958,The Fidelity's,The Things I Love,1983
8,1958,The Fidelity's,Hold On To What'Cha Got (And Get One More),1983
9,1958,The Skyliners,Since I Don't Have You,1983
9,1958,The Skyliners,"One Night, One Night",1983
10,1966,The Happenings,See You In September,1983
10,1966,The Happenings,He Thinks He's A Hero,1983
11,1970,Elvis Presley,The Wonder Of You,1983
11,1970,Elvis Presley,Mama Liked The Roses,1983
12,1959,The Shirelles,Dedicated To The One I Love,1983
12,1959,The Shirelles,Look A Here Baby,1983
13,1959,Bobby Darin,Mack The Knife,1983
13,1959,Bobby Darin,Was There A Call For Me,1983
14,1956,Elvis Presley,Don't Be Cruel,1983
14,1956,Elvis Presley,Hound Dog,1983
15,1969,Zager And Evans,In The Year 2525 (Exordium & Terminus),1983
15,1969,Zager And Evans,Little Kids,1983
16,1971,Climax,Precious And Few,1983
16,1971,Climax,Park Preserve,1983
17,1954,Bill Haley And His Comets,Thirteen Women (And Only One Man In Town),1983
17,1954,Bill Haley And His Comets,(We're Gonna) Rock Around The Clock,1983
18,1963,Earls,I Believe,1983
18,1963,Earls,Don't Forget,1983
19,1968,The Beatles,Hey Jude,1983
19,1968,The Beatles,Revolution,1983
20,1959,Dion And The Belmonts,Where Or When,1983
20,1959,Dion And The Belmonts,That's My Desire,1983
21,1957,Elvis Presley,Jailhouse Rock,1983
21,1957,Elvis Presley,Treat Me Nice,1983
22,1956,Elvis Presley,Love Me Tender,1983
22,1956,Elvis Presley,Anyway You Want Me (That's How I'll Be),1983
23,1967,Lulu,The Boat That I Row,1983
23,1967,Lulu,To Sir With Love,1983
24,1956,The Platters,My Prayer,1983
24,1956,The Platters,Heaven On Earth,1983
25,1961,Gene Chandler,Duke Of Earl,1983
25,1961,Gene Chandler,Kissin' In The Kitchen,1983
26,1957,Billy Ward And His Dominoes,Star Dust,1983
26,1957,Billy Ward And His Dominoes,Lucinda,1983
27,1955,The Platters,The Great Pretender,1983
27,1955,The Platters,I'm Just A Dancing Partner,1983
28,1967,The Turtles,Happy Together,1983
28,1967,The Turtles,Like The Seasons,1983
29,1958,The Crests,16 Candles,1983
29,1958,The Crests,Beside You,1983
30,1962,The Duprees,You Belong To Me,1983
30,1962,The Duprees,Take Me As I Am,1983
31,1966,The Casinos,Then You Can Tell Me Goodbye,1983
31,1966,The Casinos,I Still Love You,1983
32,1965,The Miracles,Ooo Baby Baby,1983
32,1965,The Miracles,All That's Good,1983
33,1957,The Dell-Vikings,Whispering Bells,1983
33,1957,The Dell-Vikings,Don't Be A Fool,1983
34,1957,The Dell-Vikings,Come Go With Me,1983
34,1957,The Dell-Vikings,How Can I Find True Love,1983
35,1955,The Platters,Only You (And You Alone),1983
35,1955,The Platters,"Bark, Battle And Ball",1983
36,1960,Elvis Presley With The Jordanaires,Are You Lonesome To-night?,1983
36,1960,Elvis Presley With The Jordanaires,I Gotta Know,1983
37,1958,Little Anthony And The Imperials,Tears On My Pillow,1983
37,1958,Little Anthony And The Imperials,Two People In The World,1983
38,1958,The Danleers,One Summer Night,1983
38,1958,The Danleers,Wheelin' And A-Dealin',1983
39,1957,The Rays,Silhouettes,1983
39,1957,The Rays,Daddy Cool,1983
40,1957,Danny And The Juniors,At The Hop,1983
40,1957,Danny And The Juniors,Sometimes (When I'm All Alone),1983
41,1958,The Elegants,Little Star,1983
41,1958,The Elegants,Getting Dizzy,1983
42,1965,Jay And The Americans,"Cara, Mia",1983
42,1965,Jay And The Americans,When It's All Over,1983
43,1964,Dionne Warwick,Walk On By,1983
43,1964,Dionne Warwick,Any Old Time Of Day,1983
44,1969,Elvis Presley,Suspicious Minds,1983
44,1969,Elvis Presley,You'll Think Of Me,1983
45,1957,The Chantels,Maybe,1983
45,1957,The Chantels,Come My Little Baby,1983
46,1959,The Flamingos,I Only Have Eyes For You,1983
46,1959,The Flamingos,Goodnight Sweetheart,1983
47,1962,The Earls,Remember Then,1983
47,1962,The Earls,Let's Waddle,1983
48,1965,The Beatles,Yesterday,1983
48,1965,The Beatles,Act Naturally,1983
49,1958,Jackie Wilson,Lonely Teardrops,1983
49,1958,Jackie Wilson,In The Blue Of Evening,1983
50,1962,The 4 Seasons,Sherry,1983
50,1962,The 4 Seasons,I've Cried Before,1983
51,1965,The Rolling Stones,(I Can't Get No) Satisfaction,1983
51,1965,The Rolling Stones,The Under Assistant West Coast Promotion Man,1983
52,1957,The Dubs,Could This Be Magic,1983
52,1957,The Dubs,Such Lovin',1983
53,1964,The 4 Seasons,Rag Doll,1983
53,1964,The 4 Seasons,Silence Is Golden,1983
54,1956,Fats Domino,Blueberry Hill,1983
54,1956,Fats Domino,Honey Chile,1983
55,1969,Frank Sinatra,My Way,1983
55,1969,Frank Sinatra,Blue Lace,1983
56,1970,Simon And Garfunkel,Bridge Over Troubled Water,1983
56,1970,Simon And Garfunkel,Keep The Customer Satisfied,1983
57,1971,Don McLean,American Pie - Part I,1983
57,1971,Don McLean,American Pie - Part II,1983
58,1971,John Lennon / Plastic Ono Band,Imagine,1983
58,1971,John Lennon / Plastic Ono Band,It's So Hard,1983
59,1957,Johnny Mathis,Chances Are,1983
59,1957,Johnny Mathis,The Twelfth Of Never,1983
60,1960,Elvis Presley With The Jordanaires,It's Now Or Never,1983
60,1960,Elvis Presley With The Jordanaires,A Mess Of Blues,1983
61,1958,Dion And The Belmonts,I Wonder Why,1983
61,1958,Dion And The Belmonts,Teen Angel,1983
62,1958,The Platters,Smoke Gets In Your Eyes,1983
62,1958,The Platters,No Matter What You Are,1983
63,1967,The Doors,Light My Fire,1983
63,1967,The Doors,The Crystal Ship,1983
64,1957,The Five Satins,To The Aisle,1983
64,1957,The Five Satins,Wish I Had My Baby,1983
65,1961,The Angels,Til,1983
65,1961,The Angels,A Moment Ago,1983
66,1958,Chuck Berry,Johnny B. Goode,1983
66,1958,Chuck Berry,Around And Around,1983
