Rank,Year,Artist,Song1,Chart_Year
62,1982,The Capris [New York],Morse Code Of Love,1987
63,1957,Johnny Mathis,Chances Are,1987
64,1957,Billy Ward And His Dominoes,Star Dust,1987
65,1969,Elvis Presley,Memories,1987
66,1957,The Dubs,Could This Be Magic,1987
67,1968,Brooklyn Bridge,Worst That Could Happen,1987
68,1969,Elvis Presley,Suspicious Minds,1987
69,1958,The Danleers,One Summer Night,1987
70,1964,The Drifters,Under The Boardwalk,1987
71,1966,The Association,Cherish,1987
72,1961,Gene Chandler,Duke Of Earl,1987
73,1958,Chuck Berry,Johnny B. Goode,1987
74,1965,The Rolling Stones,(I Can't Get No) Satisfaction,1987
75,1959,Dion And The Belmonts,Where Or When,1987
76,1957,The Charts,Deserie,1987
77,1962,The Shirelles,Soldier Boy,1987
78,1967,The Turtles,Happy Together,1987
79,1977,Heatwave,Always And Forever,1987
80,1959,The Isley Brothers,Shout - Part 1,1987
81,1967,The Doors,Light My Fire,1987
82,1972,Led Zeppelin,Stairway To Heaven [Mono],1987
83,1972,Elvis Presley,Burning Love,1987
84,1958,Lee Andrews And The Hearts,Try The Impossible,1987
85,1956,Elvis Presley,Heartbreak Hotel,1987
86,1964,The Beatles,Twist And Shout,1987
87,1957,Buddy Holly,Peggy Sue,1987
88,1968,Marvin Gaye,I Heard It Through The Grapevine,1987
89,1958,The Platters,Smoke Gets In Your Eyes,1987
90,1958,Jackie Wilson,Lonely Teardrops,1987
91,1963,The Beatles,I Want To Hold Your Hand,1987
92,1959,Percy Faith And His Orchestra,"The Theme From ""A Summer Place""",1987
93,1961,The Tokens,The Lion Sleeps Tonight,1987
94,1960,Safaris,Image Of A Girl,1987
95,1958,Ritchie Valens,Donna,1987
96,1959,Dion And The Belmonts,A Teenager In Love,1987
97,1971,John Lennon / Plastic Ono Band,Imagine,1987
98,1970,Carpenters,(They Long To Be) Close To You,1987
99,1956,Elvis Presley,Hound Dog,1987
100,1961,Connie Francis,Where The Boys Are,1987
51,1961,The Marcels,Goodbye To Love,1987
52,1954,Johnny Ace,No Money,1987
53,1961,The Angels,A Moment Ago,1987
54,1957,Danny And The Juniors,Sometimes (When I'm All Alone),1987
55,1964,The Temptations,(Talking 'Bout) Nobody But My Baby,1987
56,1965,The Righteous Brothers,Unchained Melody,1987
57,1965,The Beatles,Act Naturally,1987
58,1970,Simon And Garfunkel,Keep The Customer Satisfied,1987
59,1955,The Platters,I'm Just A Dancing Partner,1987
60,1954,The Cadillacs,I Wonder Why,1987
61,1958,Little Anthony And The Imperials,Two People In The World,1987
62,1982,The Capris [New York],There's A Moon Out Again,1987
63,1957,Johnny Mathis,The Twelfth Of Never,1987
64,1957,Billy Ward And His Dominoes,Lucinda,1987
65,1969,Elvis Presley,Charro,1987
66,1957,The Dubs,Such Lovin',1987
67,1968,Brooklyn Bridge,"Your Kite, My Kite.",1987
68,1969,Elvis Presley,You'll Think Of Me,1987
69,1958,The Danleers,Wheelin' And A-Dealin',1987
70,1964,The Drifters,I Don't Want To Go On Without You,1987
71,1966,The Association,Don't Blame It On Me,1987
72,1961,Gene Chandler,Kissin' In The Kitchen,1987
73,1958,Chuck Berry,Around And Around,1987
74,1965,The Rolling Stones,The Under Assistant West Coast Promotion Man,1987
75,1959,Dion And The Belmonts,That's My Desire,1987
76,1957,The Charts,Zoop,1987
77,1962,The Shirelles,Love Is A Swingin' Thing,1987
78,1967,The Turtles,Like The Seasons,1987
79,1977,Heatwave,Super Soul Sister,1987
80,1959,The Isley Brothers,Shout - Part 2,1987
81,1967,The Doors,The Crystal Ship,1987
82,1972,Led Zeppelin,Stairway To Heaven [Stereo],1987
83,1972,Elvis Presley,It's A Matter Of Time,1987
84,1958,Lee Andrews And The Hearts,Nobody's Home,1987
85,1956,Elvis Presley,I Was The One,1987
86,1964,The Beatles,There's A Place,1987
87,1957,Buddy Holly,Everyday,1987
88,1968,Marvin Gaye,You're What's Happening (In The World Today),1987
89,1958,The Platters,No Matter What You Are,1987
90,1958,Jackie Wilson,In The Blue Of Evening,1987
91,1963,The Beatles,I Saw Her Standing There,1987
92,1959,Percy Faith And His Orchestra,Go-Go-Po-Go,1987
93,1961,The Tokens,Tina,1987
94,1960,Safaris,4 Steps To Love,1987
95,1958,Ritchie Valens,La Bamba,1987
96,1959,Dion And The Belmonts,I've Cried Before,1987
97,1971,John Lennon / Plastic Ono Band,It's So Hard,1987
98,1970,Carpenters,I Kept On Loving You,1987
99,1956,Elvis Presley,Don't Be Cruel,1987
100,1961,Connie Francis,No One,1987
101,1959,The Dubs,Chapel Of Dreams,1987
102,1956,The Channels,The Closer You Are,1987
103,1957,The Five Satins,To The Aisle,1987
104,1963,The Duprees,Have You Heard,1987
105,1961,Chubby Checker,The Twist,1987
106,1961,Shep And The Limelites,Daddy's Home,1987
107,1964,Roy Orbison And The Candy Men,Pretty Woman,1987
108,1963,The Tymes,So Much In Love,1987
109,1971,Chicago,Beginnings,1987
110,1958,Elvis Presley,Don't,1987
111,1956,The Schoolboys [DooWop],Shirley,1987
112,1980,Frank Sinatra,"Theme From New York, New York",1987
113,1958,The Platters,Twilight Time,1987
114,1957,Elvis Presley,All Shook Up,1987
115,1954,The Chords [New York],Sh-boom,1987
116,1960,Bobby Darin,Beyond The Sea,1987
117,1963,Dion (Di Muci),Donna The Prima Donna,1987
118,1954,The Moonglows,Sincerely,1987
119,1958,The Aquatones,She's The One For Me,1987
120,1968,Elvis Presley,If I Can Dream,1987
121,1968,Tommy James And The Shondells,Mony Mony,1987
122,1965,Simon And Garfunkel,The Sounds Of Silence,1987
123,1959,The Fireflies,You Were Mine,1987
124,1962,The 4 Seasons,Big Girls Don't Cry,1987
125,1962,Vito And The Salutations,Gloria,1987
126,1968,Jay And The Americans,This Magic Moment,1987
127,1966,The Critters,Mr. Dieingly Sad,1987
128,1958,Bobby Day,Rock-In Robin,1987
129,1958,Harvey And The Moonglows,Ten Commandments Of Love,1987
130,1955,The Teenagers Featuring Frankie Lymon,Why Do Fools Fall In Love,1987
131,1956,Elvis Presley,"I Want You, I Need You, I Love You",1987
132,1970,The Beatles,Let It Be,1987
133,1972,The Moody Blues,Nights In White Satin,1987
134,1957,Robert And Johnny,We Belong Together,1987
135,1957,Johnny Mathis,Chances Are,1987
136,1963,Elvis Presley With The JordanairesElvis Sings - Vol. 1A,Blue HawaiiA,1987
137,1966,Percy Sledge,When A Man Loves A Woman,1987
138,1966,The Beach Boys,Good Vibrations,1987
139,1968,Richard Harris,Mac Arthur Park,1987
140,1960,The Capris [New York],There's A Moon Out Tonight,1987
141,1966,The Temptations,Ain't Too Proud To Beg,1987
142,1961,Roy Orbison,Crying,1987
143,1959,Bobby Darin,Dream Lover,1987
144,1965,Mel Carter,"Hold Me, Thrill Me, Kiss Me",1987
145,1960,Elvis Presley With The Jordanaires,It's Now Or Never,1987
146,1959,The Everly Brothers,Let It Be Me,1987
147,1969,The Beatles,Something,1987
148,1959,Frankie Avalon,Venus,1987
149,1958,The Shields,You Cheated,1987
150,1959,Paul Anka,Put Your Head On My Shoulder,1987
101,1959,The Dubs,Is There A Love For Me,1987
102,1956,The Channels,Now You Know (I Love You So),1987
103,1957,The Five Satins,Wish I Had My Baby,1987
104,1963,The Duprees,Love Eyes,1987
105,1961,Chubby Checker,Twistin' U.S.A.,1987
106,1961,Shep And The Limelites,This I Know,1987
107,1964,Roy Orbison And The Candy Men,Yo Te Amo Maria,1987
108,1963,The Tymes,Roscoe James McClain,1987
109,1971,Chicago,Colour My World,1987
110,1958,Elvis Presley,I Beg Of You,1987
111,1956,The Schoolboys [DooWop],Please Say You Want Me,1987
112,1980,Frank Sinatra,That's What God Looks Like To Me,1987
113,1958,The Platters,Out Of My Mind,1987
114,1957,Elvis Presley,That's When Your Heartaches Begin,1987
115,1954,The Chords [New York],Little Maiden,1987
116,1960,Bobby Darin,That's The Way Love Is,1987
117,1963,Dion (Di Muci),You're Mine,1987
118,1954,The Moonglows,Tempting,1987
119,1958,The Aquatones,You,1987
120,1968,Elvis Presley,Edge Of Reality,1987
121,1968,Tommy James And The Shondells,One Two Three And I Fell,1987
122,1965,Simon And Garfunkel,We've Got A Groovey Thing Goin',1987
123,1959,The Fireflies,Stella Got A Fella,1987
124,1962,The 4 Seasons,Connie-O,1987
125,1962,Vito And The Salutations,Let's Untwist The Twist,1987
126,1968,Jay And The Americans,Since I Don't Have You,1987
127,1966,The Critters,It Just Won't Be That Way,1987
128,1958,Bobby Day,Over And Over,1987
129,1958,Harvey And The Moonglows,Mean Old Blues,1987
130,1955,The Teenagers Featuring Frankie Lymon,Please Be Mine,1987
131,1956,Elvis Presley,My Baby Left Me,1987
132,1970,The Beatles,You Know My Name (Look Up My Number),1987
133,1972,The Moody Blues,Cities,1987
134,1957,Robert And Johnny,Walking In The Rain,1987
135,1957,Johnny Mathis,The Twelfth Of Never,1987
136,1963,Elvis Presley With The JordanairesElvis Sings - Vol. 1A,No MoreB1,1987
137,1966,Percy Sledge,Love Me Like You Mean It,1987
138,1966,The Beach Boys,Let's Go Away For Awhile,1987
139,1968,Richard Harris,Didn't We,1987
140,1960,The Capris [New York],Indian Girl,1987
141,1966,The Temptations,You'll Lose A Precious Love,1987
142,1961,Roy Orbison,Candy Man,1987
143,1959,Bobby Darin,Bullmoose,1987
144,1965,Mel Carter,A Sweet Little Girl,1987
145,1960,Elvis Presley With The Jordanaires,A Mess Of Blues,1987
146,1959,The Everly Brothers,Since You Broke My Heart,1987
147,1969,The Beatles,Come Together,1987
148,1959,Frankie Avalon,I'm Broke,1987
149,1958,The Shields,That's The Way It's Gonna Be,1987
150,1959,Paul Anka,Don't Ever Leave Me,1987
151,1958,Buddy Holly,Rave On,1987
152,1963,The Crystals,Then He Kissed Me,1987
153,1967,Lulu,The Boat That I Row,1987
154,1967,Frankie Valli,Can't Take My Eyes Off You,1987
155,1964,The Dave Clark Five,Because,1987
156,1965,The Mama's And The Papa's,California Dreamin',1987
157,1968,The Grass Roots,Midnight Confessions,1987
158,1963,Dusty Springfield,I Only Want To Be With You,1987
159,1964,The Dixie Cups,Chapel Of Love,1987
160,1963,The Earls,Never,1987
161,1972,Harry Chapin,Taxi,1987
162,1957,Paul Anka,Diana,1987
163,1956,Carl Perkins,Blue Suede Shoes,1987
164,1979,Bob Seger And The Silver Bullet Band,Old Time Rock & RollBob Seger,1987
165,1964,Petula Clark,Downtown,1987
166,1965,Barry McGuire,Eve Of Destruction,1987
167,1957,Lee Andrews And The Hearts,Teardrops,1987
168,1956,The Dells,Oh What A Nite,1987
169,1960,Ray Peterson,Tell Laura I Love Her,1987
170,1967,The Monkees,Daydream Believer,1987
171,1976,Barbra Streisand,"Love Theme From ""A Star Is Born"" (Evergreen)",1987
172,1961,Ricky Nelson,Travelin' Man,1987
173,1957,The Tune Weavers,"Happy, Happy Birthday BabyPaul Gayten",1987
174,1983,The Police,Every Breath You Take,1987
175,1953,The Harp-Tones,A Sunday Kind Of Love,1987
176,1961,The Cleftones,Heart And Soul,1987
177,1971,Derek And The Dominos,Layla,1987
178,1970,The Beatles,The Long And Winding Road,1987
179,1958,Elvis Presley,One NightElvis Presley With The Jordanaires,1987
180,1964,The Devotions,Rip Van Winkle,1987
181,1957,Elvis Presley With The Jordanaires,Loving You,1987
182,1956,The 3 Friends,Blanche,1987
183,1960,The Platters,Harbor Lights,1987
184,1971,Rod Stewart,Reason To Believe,1987
185,1963,Randy And The Rainbows,Denise,1987
186,1958,Conway Twitty,It's Only Make Believe,1987
187,1957,The Crickets,That'll Be The Day,1987
188,1957,Sam Cooke,You Send Me,1987
189,1958,The Everly Brothers,All I Have To Do Is Dream,1987
190,1965,The Beatles,Help!,1987
191,1965,The Beach Boys,California Girls,1987
192,1956,Clyde McPhatter,Treasure Of Love,1987
193,1960,Rosie And The Originals,Angel Baby,1987
194,1963,Paul And Paula,Young Lovers,1987
195,1957,The Everly Brothers,Bye Bye Love,1987
196,1984,Stevie Wonder,I Just Called To Say I Love You,1987
197,1964,J. Frank Wilson And The Cavaliers,Last Kiss,1987
198,1958,The Students,I'm So Young,1987
199,1981,John Lennon,WomanYoko Ono,1987
200,1959,Johnny Mathis,Misty,1987
151,1958,Buddy Holly,Take Your Time,1987
152,1963,The Crystals,Brother Julius,1987
153,1967,Lulu,To Sir With Love,1987
154,1967,Frankie Valli,The Trouble With Me,1987
155,1964,The Dave Clark Five,Theme Without A Name,1987
156,1965,The Mama's And The Papa's,Somebody Groovy,1987
157,1968,The Grass Roots,Who Will You Be Tomorrow,1987
158,1963,Dusty Springfield,Once Upon A Time,1987
159,1964,The Dixie Cups,Ain't That Nice,1987
160,1963,The Earls,I Keep A Tellin' You,1987
161,1972,Harry Chapin,Empty,1987
162,1957,Paul Anka,Don't Gamble With Love,1987
163,1956,Carl Perkins,"Honey, Don't!",1987
164,1979,Bob Seger And The Silver Bullet Band,Sunspot Baby,1987
165,1964,Petula Clark,You'd Better Love Me,1987
166,1965,Barry McGuire,What Exactly's The Matter With Me,1987
167,1957,Lee Andrews And The Hearts,The Girl Around The Corner,1987
168,1956,The Dells,Jo-Jo,1987
169,1960,Ray Peterson,Wedding Day,1987
170,1967,The Monkees,Goin' Down,1987
171,1976,Barbra Streisand,I Believe In Love,1987
172,1961,Ricky Nelson,Hello Mary Lou,1987
173,1957,The Tune Weavers,Yo Yo Walk,1987
174,1983,The Police,Murder By Numbers,1987
175,1953,The Harp-Tones,I'll Never Tell,1987
176,1961,The Cleftones,How Do You Feel,1987
177,1971,Derek And The Dominos,I Am Yours,1987
178,1970,The Beatles,For You Blue,1987
179,1958,Elvis Presley,I Got Stung,1987
180,1964,The Devotions,(I Love You) For Sentimental Reasons,1987
181,1957,Elvis Presley With The Jordanaires,(Let Me Be Your) Teddy Bear,1987
182,1956,The 3 Friends,Baby I'll Cry,1987
183,1960,The Platters,Sleepy Lagoon,1987
184,1971,Rod Stewart,Maggie May,1987
185,1963,Randy And The Rainbows,Come Back,1987
186,1958,Conway Twitty,I'll Try,1987
187,1957,The Crickets,I'm Lookin' For Someone To Love,1987
188,1957,Sam Cooke,Summertime,1987
189,1958,The Everly Brothers,Claudette,1987
190,1965,The Beatles,I'm Down,1987
191,1965,The Beach Boys,Let Him Run Wild,1987
192,1956,Clyde McPhatter,When You're Sincere,1987
193,1960,Rosie And The Originals,Give Me Love,1987
194,1963,Paul And Paula,Ba-Hey-Be,1987
195,1957,The Everly Brothers,I Wonder If I Care As Much,1987
196,1984,Stevie Wonder,I Just Called To Say I Love You (Instrumental),1987
197,1964,J. Frank Wilson And The Cavaliers,That's How Much I Love You,1987
198,1958,The Students,Every Day Of The Week,1987
199,1981,John Lennon,Beautiful Boys,1987
200,1959,Johnny Mathis,The Story Of Our Love,1987
201,1966,Frank Sinatra,Strangers In The Night,1987
202,1965,Lou Christie,Lightnin' Strikes,1987
203,1969,Brooklyn Bridge,Your Husband - My Wife,1987
204,1959,Connie Francis,God Bless America,1987
205,1977,Billy Joel,Just The Way You Are,1987
206,1961,Barry Mann,"Who Put The Bomp (In The Bomp, Bomp, Bomp)",1987
207,1958,Big Bopper,Chantilly Lace,1987
208,1960,Roy Orbison,Only The Lonely (Know The Way I Feel),1987
209,1968,Creedence Clearwater Revival,Proud Mary,1987
210,1967,Aretha Franklin,Respect,1987
211,1975,Bruce Springsteen,Born To Run,1987
212,1960,The Drifters,Save The Last Dance For Me,1987
213,1959,Mark Dinning,Teen Angel,1987
214,1970,Elton John,Your Song,1987
215,1966,The Left Banke,Walk Away Renee,1987
216,1956,Frankie Lymon And The Teenagers,The A B C's Of Love,1987
217,1960,The Jesters [doowop],The Wind,1987
218,1960,Jimmy Charles And The Revelletts,A Million To One,1987
219,1958,Eddie Cochran,Summertime Blues,1987
220,1959,The Knockouts,Darling Lorraine,1987
221,1956,The Teen Queens,Eddie My Love,1987
222,1958,The Flamingos,Lovers Never Say Goodbye,1987
223,1963,Lenny Welch,Since I Fell For You,1987
224,1966,Swingin' Medallions,Double Shot (Of My Baby's Love),1987
225,1965,The Beach Boys,"Help Me, Rhonda",1987
226,1976,Elvis Presley,Moody Blue,1987
227,1959,The Mystics [New York],Hushabye,1987
228,1966,The Righteous Brothers,(You're My) Soul And Inspiration,1987
229,1960,The Skyliners,Pennies From Heaven,1987
230,1967,Tommy James And The Shondells,I Think We're Alone Now,1987
231,1963,Beach Boys,Surfin' U.S.A.,1987
232,1966,Four Tops,Reach Out I'll Be There,1987
233,1958,The Teddy Bears,"To Know Him, Is To Love Him",1987
234,1978,The BeatlesA,Sgt. Pepper's Lonely Hearts Club BandA,1987
235,1969,Neil Diamond,Sweet Caroline (Good Times Never Seemed So Good),1987
236,1962,Elvis Presley With The Jordanaires,Return To Sender,1987
237,1968,Diana Ross And The Supremes,Love Child,1987
238,1969,The Brooklyn Bridge,Blessed Is The Rain,1987
239,1964,The 4 Seasons,Dawn (Go Away),1987
240,1957,Connie Francis,Who's Sorry Now,1987
241,1955,Chuck Berry And His Combo,Maybellene,1987
242,1962,Marcie Blane,Bobby's Girl,1987
243,1969,Elvis Presley,In The Ghetto,1987
244,1964,The Shangri-Las,Leader Of The Pack,1987
245,1957,The Dubs,Don't Ask Me (To Be Lonely),1987
246,1965,Sam The Sham And The Pharaohs,Wooly Bully,1987
247,1961,Curtis Lee,Pretty Little Angel Eyes,1987
248,1964,The Beatles,And I Love Her,1987
249,1968,Dion,"Abraham, Martin And John",1987
250,1982,Barbra Streisand,Memory,1987
201,1966,Frank Sinatra,"Oh, You Crazy Moon",1987
202,1965,Lou Christie,Cryin' In The Streets,1987
203,1969,Brooklyn Bridge,Upside Down (Inside Out),1987
204,1959,Connie Francis,Among My Souvenirs,1987
205,1977,Billy Joel,Get It Right The First Time,1987
206,1961,Barry Mann,"Love, True Love",1987
207,1958,Big Bopper,Purple People Eater Meets Witch Doctor,1987
208,1960,Roy Orbison,Here Comes That Song Again,1987
209,1968,Creedence Clearwater Revival,Born On The Bayou,1987
210,1967,Aretha Franklin,Dr. Feelgood,1987
211,1975,Bruce Springsteen,Meeting Across The River,1987
212,1960,The Drifters,Nobody But Me,1987
213,1959,Mark Dinning,Bye Now Baby,1987
214,1970,Elton John,Take Me To The Pilot,1987
215,1966,The Left Banke,I Haven't Got The Nerve,1987
216,1956,Frankie Lymon And The Teenagers,Share,1987
217,1960,The Jesters [doowop],Sally Green,1987
218,1960,Jimmy Charles And The Revelletts,Hop Scotch Hop,1987
219,1958,Eddie Cochran,Love Again,1987
220,1959,The Knockouts,Riot In Room 3C,1987
221,1956,The Teen Queens,Just Goofed,1987
222,1958,The Flamingos,That Love Is You,1987
223,1963,Lenny Welch,Are You Sincere,1987
224,1966,Swingin' Medallions,Here It Comes Again,1987
225,1965,The Beach Boys,"Kiss Me, Baby",1987
226,1976,Elvis Presley,She Thinks I Still Care,1987
227,1959,The Mystics [New York],Adam And Eve,1987
228,1966,The Righteous Brothers,B Side Blues,1987
229,1960,The Skyliners,I'll Be Seeing You,1987
230,1967,Tommy James And The Shondells,"Gone, Gone, Gone.",1987
231,1963,Beach Boys,Shut Down,1987
232,1966,Four Tops,Until You Love Someone,1987
233,1958,The Teddy Bears,Don't You Worry My Little Pet,1987
234,1978,The BeatlesA,With A Little Help From My FriendsB1,1987
235,1969,Neil Diamond,Dig In,1987
236,1962,Elvis Presley With The Jordanaires,Where Do You Come From,1987
237,1968,Diana Ross And The Supremes,Will This Be The Day,1987
238,1969,The Brooklyn Bridge,Welcome Me Love,1987
239,1964,The 4 Seasons,No Surfin' Today,1987
240,1957,Connie Francis,You Were Only Fooling (While I Was Falling In Love),1987
241,1955,Chuck Berry And His Combo,Wee Wee Hours,1987
242,1962,Marcie Blane,A Time To Dream,1987
243,1969,Elvis Presley,Any Day Now,1987
244,1964,The Shangri-Las,What Is Love,1987
245,1957,The Dubs,Darling,1987
246,1965,Sam The Sham And The Pharaohs,Ain't Gonna Move,1987
247,1961,Curtis Lee,Gee How I Wish You Were Here,1987
248,1964,The Beatles,If I Fell,1987
249,1968,Dion,Daddy Rollin' (In Your Arms),1987
250,1982,Barbra Streisand,"Evergreen (Love Theme From ""A Star Is Born"")",1987
251,1963,The Surfaris,Wipe Out,1987
252,1964,The Supremes,Baby Love,1987
253,1966,? (Question Mark) And The Mysterians,96 Tears,1987
254,1973,Billy Joel,Piano Man,1987
255,1957,Jerry Lee Lewis,Whole Lot Of Shakin' Going On,1987
256,1958,The Videos,"Trickle, Trickle",1987
257,1966,The Monkees,I'm A Believer,1987
258,1968,The Beatles,Hey Jude,1987
259,1960,The Everly Brothers,Cathy's Clown,1987
260,1959,The Shirelles,Dedicated To The One I Love,1987
261,1960,Fats Domino,Walking To New Orleans,1987
262,1961,The Regents [New York],Barbara-Ann,1987
263,1977,Van Morrison,Moondance,1987
264,1966,The Beatles,Run For Your Life,1987
265,1962,Jay And The Americans,Dawning,1987
266,1963,Vito And The Salutations,Unchained Melody,1987
267,1960,Bobby Rydell,Volare,1987
268,1961,The Corsairs,Smoky Places,1987
269,1966,Isley Brothers,This Old Heart Of Mine (Is Weak For You),1987
270,1957,The Everly Brothers,Wake Up Little Susie,1987
271,1962,The Five Discs,Never Let You Go,1987
272,1967,Procol Harum,A Whiter Shade Of Pale,1987
273,1960,The Shells,Baby Oh Baby,1987
274,1962,The Contours,Do You Love Me,1987
275,1963,Jan And Dean,Surf City,1987
276,1958,Ricky Nelson,Poor Little Fool,1987
277,1958,The Fascinators,Chapel Bells,1987
278,1957,Jerry Lee Lewis And His Pumping Piano,Great Balls Of Fire,1987
279,1964,The Beach Boys,I Get Around,1987
280,1957,Crest's,My Juanita,1987
281,1966,The Happenings,See You In September,1987
282,1962,Jive Five With Eugene Pitt,What Time Is It?,1987
283,1958,The Monotones,Book Of Love,1987
284,1957,Johnnie And Joe,Over The Mountain Across The Sea,1987
285,1964,Jay And The Americans,Come A Little Bit Closer,1987
286,1964,The Supremes,Where Did Our Love Go,1987
287,1959,The Fleetwoods,Mr. Blue,1987
288,1984,Bruce Springsteen,Born In The U.S.A.,1987
289,1964,The Beatles,She Loves You,1987
290,1964,The Ronettes,Walking In The Rain,1987
291,1966,The 4 Seasons,Opus 17 (Don't You Worry 'Bout Me),1987
292,1967,The Beatles,Penny Lane,1987
293,1972,Elvis Presley,Always On My Mind,1987
294,1955,Moonglows,Most Of All,1987
295,1960,Maurice Williams And The Zodiacs,Stay,1987
