Rank,Year,Artist,Song1,Chart_Year
1,1956,The Five Satins,In The Still Of The Nite,1987
2,1954,The Penguins,Hey Senorita,1987
3,1977,Elvis Presley,My Way,1987
4,1960,"The Chimes [60s, Brooklyn]",Once In Awhile,1987
5,1957,Mello-Kings,"Tonite, Tonite",1987
6,1961,Elvis Presley,Can't Help Falling In Love,1987
7,1959,Bobby Darin,Mack The Knife,1987
8,1962,The Duprees,You Belong To Me,1987
9,1958,The Skyliners,Since I Don't Have You,1987
10,1957,Elvis Presley,Jailhouse Rock,1987
11,1963,Earls,I Believe,1987
12,1958,Ritchie Valens,Donna,1987
13,1968,The Beatles,Hey Jude,1987
14,1970,Elvis Presley,The Wonder Of You,1987
15,1956,Elvis Presley,Don't Be Cruel,1987
16,1958,The Fidelity's,The Things I Love,1987
17,1954,Bill Haley And His Comets,Thirteen Women (And Only One Man In Town),1987
18,1961,Dion,The Wanderer,1987
19,1956,Elvis Presley,Love Me Tender,1987
20,1955,The Platters,Only You (And You Alone),1987
21,1963,The Ronettes,Be My Baby,1987
22,1961,Dion,Runaround Sue,1987
23,1956,The Platters,My Prayer,1987
24,1964,The 4 Seasons,Rag Doll,1987
25,1965,Jay And The Americans,"Cara, Mia",1987
26,1957,The Chantels,Maybe,1987
27,1958,The Crests,16 Candles,1987
28,1958,Dion And The Belmonts,I Wonder Why,1987
29,1971,Don McLean,American Pie - Part I,1987
30,1956,Fats Domino,Blueberry Hill,1987
31,1960,Elvis Presley With The Jordanaires,Are You Lonesome To-night?,1987
32,1959,Dion And The Belmonts,Where Or When,1987
33,1958,The Elegants,Little Star,1987
34,1963,The Classics [Brooklyn],Till Then,1987
35,1961,"The Chimes [60s, Brooklyn]",Only Love,1987
36,1957,The Diamonds,Little Darlin',1987
37,1959,The Flamingos,I Only Have Eyes For You,1987
38,1957,The Dell-Vikings,Whispering Bells,1987
39,1962,The 4 Seasons,Sherry,1987
40,1957,The Dell-Vikings,Come Go With Me,1987
41,1962,The Earls,Remember Then,1987
42,1957,The Rays,Silhouettes,1987
43,1962,The Excellents,Coney Island Baby,1987
44,1959,The Skyliners,This I Swear,1987
45,1959,The Passions,Just To Be With You,1987
46,1960,The Shirelles,Will You Love Me Tomorrow,1987
47,1961,Del Shannon,Runaway,1987
48,1964,The Righteous Brothers,You've Lost That Lovin' Feelin',1987
49,1960,The Passions,I Only Want You,1987
50,1961,Ben E. King,Stand By Me,1987
1,1956,The Five Satins,The Jones Girl,1987
2,1954,The Penguins,Earth Angel,1987
3,1977,Elvis Presley,America,1987
4,1960,"The Chimes [60s, Brooklyn]",Summer Night,1987
5,1957,Mello-Kings,Do Baby Do,1987
6,1961,Elvis Presley,Rock-A-Hula Baby,1987
7,1959,Bobby Darin,Was There A Call For Me,1987
8,1962,The Duprees,Take Me As I Am,1987
9,1958,The Skyliners,"One Night, One Night",1987
10,1957,Elvis Presley,Treat Me Nice,1987
11,1963,Earls,Don't Forget,1987
12,1958,Ritchie Valens,La Bamba,1987
13,1968,The Beatles,Revolution,1987
14,1970,Elvis Presley,Mama Liked The Roses,1987
15,1956,Elvis Presley,Hound Dog,1987
16,1958,The Fidelity's,Hold On To What'Cha Got (And Get One More),1987
17,1954,Bill Haley And His Comets,(We're Gonna) Rock Around The Clock,1987
18,1961,Dion,The Majestic,1987
19,1956,Elvis Presley,Anyway You Want Me (That's How I'll Be),1987
20,1955,The Platters,"Bark, Battle And Ball",1987
21,1963,The Ronettes,Tedesco And Pitman,1987
22,1961,Dion,Runaway Girl,1987
23,1956,The Platters,Heaven On Earth,1987
24,1964,The 4 Seasons,Silence Is Golden,1987
25,1965,Jay And The Americans,When It's All Over,1987
26,1957,The Chantels,Come My Little Baby,1987
27,1958,The Crests,Beside You,1987
28,1958,Dion And The Belmonts,Teen Angel,1987
29,1971,Don McLean,American Pie - Part II,1987
30,1956,Fats Domino,Honey Chile,1987
31,1960,Elvis Presley With The Jordanaires,I Gotta Know,1987
32,1959,Dion And The Belmonts,That's My Desire,1987
33,1958,The Elegants,Getting Dizzy,1987
34,1963,The Classics [Brooklyn],Enie Minie Mo,1987
35,1961,"The Chimes [60s, Brooklyn]",I'm In The Mood For Love,1987
36,1957,The Diamonds,Faithful And True,1987
37,1959,The Flamingos,Goodnight Sweetheart,1987
38,1957,The Dell-Vikings,Don't Be A Fool,1987
39,1962,The 4 Seasons,I've Cried Before,1987
40,1957,The Dell-Vikings,How Can I Find True Love,1987
41,1962,The Earls,Let's Waddle,1987
42,1957,The Rays,Daddy Cool,1987
43,1962,The Excellents,You Baby You,1987
44,1959,The Skyliners,Tomorrow,1987
45,1959,The Passions,Oh Melancholy Me,1987
46,1960,The Shirelles,Boys,1987
47,1961,Del Shannon,Jody,1987
48,1964,The Righteous Brothers,There's A Woman,1987
49,1960,The Passions,This Is My Love,1987
50,1961,Ben E. King,On The Horizon,1987
51,1961,The Marcels,Blue Moon,1987
52,1954,Johnny Ace,Pledging My Love,1987
53,1961,The Angels,Til,1987
54,1957,Danny And The Juniors,At The Hop,1987
55,1964,The Temptations,My Girl,1987
56,1965,The Righteous Brothers,Hung On You,1987
57,1965,The Beatles,Yesterday,1987
58,1970,Simon And Garfunkel,Bridge Over Troubled Water,1987
59,1955,The Platters,The Great Pretender,1987
60,1954,The Cadillacs,Gloria,1987
61,1958,Little Anthony And The Imperials,Tears On My Pillow,1987
